service,endpoint,p50_ms,p95_ms,p99_ms,rps,error_rate
payments,/health,42,103,173,592,0.0039
payments,/process,24,81,222,1242,0.02
payments,/reconcile,40,78,240,1391,0.0132
payments,/batch,10,65,92,1810,0.0191
billing,/health,32,76,225,1811,0.0078
billing,/process,52,113,163,278,0.011
billing,/reconcile,43,131,271,519,0.0045
billing,/batch,19,49,120,1527,0.0112
ledger,/health,66,162,362,1203,0.0015
ledger,/process,37,99,141,294,0.0115
ledger,/reconcile,20,108,155,656,0.0089
ledger,/batch,80,115,224,1184,0.0011
reports,/health,61,155,330,1187,0.005
reports,/process,70,141,196,1673,0.0161
reports,/reconcile,11,35,68,1115,0.0126
reports,/batch,55,130,180,624,0.0197
