asset_tag,device_category,serial_number,hospital,acquisition_year,condition_rating
ARCH2024-0001,Echocardiograph,ECH-A1B2C3,Hosp-B,2022,Good
ARCH2024-0002,Echocardiograph,ECH-D4E5F6,Hosp-A,2016,Good
ARCH2024-0003,Echocardiograph,ECH-G7H8I9,Hosp-A,2018,Good
ARCH2024-0004,Echocardiograph,ECH-J0K1L2,Hosp-B,2022,Fair
ARCH2024-0005,Echocardiograph,ECH-M3N4O5,Hosp-A,2020,Good
ARCH2024-0006,Echocardiograph,ECH-P6Q7R8,Hosp-A,2016,Good
ARCH2024-0007,Echocardiograph,ECH-S9T0U1,Hosp-B,2018,Good
ARCH2024-0008,Echocardiograph,ECH-V2W3X4,Hosp-A,2016,Fair
ARCH2024-0009,Defibrillator,DEF-Y5Z6A7,Hosp-B,2019,Fair
ARCH2024-0010,Defibrillator,DEF-B8C9D0,Hosp-B,2020,Good
ARCH2024-0011,Defibrillator,DEF-E1F2G3,Hosp-A,2019,Fair
ARCH2024-0012,Defibrillator,DEF-H4I5J6,Hosp-A,2016,Good
ARCH2024-0013,Defibrillator,DEF-K7L8M9,Hosp-B,2021,Fair
ARCH2024-0014,Defibrillator,DEF-N0O1P2,Hosp-A,2020,Fair
ARCH2024-0015,Cardiac Monitor,MON-Q3R4S5,Hosp-B,2016,Good
ARCH2024-0016,Cardiac Monitor,MON-T6U7V8,Hosp-A,2017,Good
ARCH2024-0017,Cardiac Monitor,MON-W9X0Y1,Hosp-B,2019,Good
ARCH2024-0018,Cardiac Monitor,MON-Z2A3B4,Hosp-A,2021,Fair
ARCH2024-0019,Cardiac Monitor,MON-C5D6E7,Hosp-A,2022,Fair
ARCH2024-0020,Ventilator,GEN-MG2MSG,Hosp-B,2017,Fair
ARCH2024-0021,EP Recording System,GEN-4T9Z5S,Hosp-B,2016,Fair
ARCH2024-0022,Cardiac Monitor,GEN-YKV3AR,Hosp-A,2018,Fair
ARCH2024-0023,Infusion Pump,GEN-2EBCS9,Hosp-A,2018,Good
ARCH2024-0024,Echocardiograph,GEN-028GF1,Hosp-B,2016,Poor
ARCH2024-0025,Echocardiograph,GEN-JBG3K2,Hosp-A,2016,Poor
ARCH2024-0026,Infusion Pump,GEN-X88ZLH,Hosp-A,2021,Fair
ARCH2024-0027,Ventilator,GEN-NJEMC7,Hosp-A,2014,Good
ARCH2024-0028,EP Recording System,GEN-U3OMXA,Hosp-A,2014,Fair
ARCH2024-0029,Defibrillator,GEN-UUSRMD,Hosp-A,2018,Poor
ARCH2024-0030,Cardiac Monitor,GEN-US19UI,Hosp-B,2020,Good
ARCH2024-0031,Defibrillator,GEN-ACORO8,Hosp-B,2023,Good
ARCH2024-0032,Ventilator,GEN-2H8FII,Hosp-A,2015,Poor
ARCH2024-0033,Ventilator,GEN-5WC1AK,Hosp-B,2020,Good
ARCH2024-0034,Ventilator,GEN-8DT87W,Hosp-B,2022,Good
ARCH2024-0035,Defibrillator,GEN-4VOM2J,Hosp-A,2022,Fair
ARCH2024-0036,Cardiac Monitor,GEN-J6EQ5E,Hosp-B,2023,Fair
ARCH2024-0037,EP Recording System,GEN-9KTC0M,Hosp-B,2021,Poor
ARCH2024-0038,Echocardiograph,GEN-GU6O0A,Hosp-B,2019,Fair
ARCH2024-0039,Ventilator,GEN-5LML34,Hosp-B,2021,Poor
ARCH2024-0040,Defibrillator,GEN-NT87D7,Hosp-A,2021,Good
ARCH2024-0041,EP Recording System,GEN-4YU4XX,Hosp-A,2020,Fair
ARCH2024-0042,Ventilator,GEN-Y6V1B9,Hosp-A,2015,Poor
ARCH2024-0043,EP Recording System,GEN-V7JUAS,Hosp-A,2016,Poor
ARCH2024-0044,EP Recording System,GEN-UUONNQ,Hosp-B,2019,Good
ARCH2024-0045,Cardiac Monitor,GEN-ZL6MU8,Hosp-A,2017,Good
ARCH2024-0046,Defibrillator,GEN-X457F8,Hosp-B,2023,Good
ARCH2024-0047,Ventilator,GEN-Y337FI,Hosp-B,2018,Good
ARCH2024-0048,Echocardiograph,GEN-LG8XZZ,Hosp-B,2019,Poor
ARCH2024-0049,Ventilator,GEN-RKCS87,Hosp-A,2021,Fair
ARCH2024-0050,Defibrillator,GEN-AXE9HB,Hosp-A,2021,Fair
ARCH2024-0051,Ventilator,GEN-L4K8N3,Hosp-B,2018,Good
ARCH2024-0052,Defibrillator,GEN-YVSO9H,Hosp-B,2023,Fair
ARCH2024-0053,EP Recording System,GEN-JVRGPZ,Hosp-B,2018,Poor
ARCH2024-0054,EP Recording System,GEN-DG09KM,Hosp-B,2017,Fair
ARCH2024-0055,EP Recording System,GEN-TE1CFM,Hosp-A,2017,Good
ARCH2024-0056,Ventilator,GEN-BHMJQ5,Hosp-A,2021,Good
ARCH2024-0057,Cardiac Monitor,GEN-S63382,Hosp-B,2015,Poor
ARCH2024-0058,Infusion Pump,GEN-5BECIZ,Hosp-B,2017,Fair
ARCH2024-0059,Cardiac Monitor,GEN-81MY50,Hosp-A,2017,Fair
ARCH2024-0060,Ventilator,GEN-4MS4UT,Hosp-A,2018,Poor
ARCH2024-0061,EP Recording System,GEN-2HA7KD,Hosp-A,2018,Good
ARCH2024-0062,Infusion Pump,GEN-0QBF6D,Hosp-A,2015,Good
ARCH2024-0063,Defibrillator,GEN-HSTC70,Hosp-A,2023,Fair
ARCH2024-0064,Ventilator,GEN-QEXCGD,Hosp-B,2019,Good
ARCH2024-0065,Infusion Pump,GEN-1HWQV9,Hosp-B,2019,Fair
ARCH2024-0066,EP Recording System,GEN-GI6L0K,Hosp-B,2016,Good
ARCH2024-0067,Defibrillator,GEN-Z76LIS,Hosp-A,2015,Fair
ARCH2024-0068,Infusion Pump,GEN-BW9U7H,Hosp-A,2020,Good
ARCH2024-0069,Echocardiograph,GEN-NU1J9K,Hosp-A,2017,Fair
ARCH2024-0070,EP Recording System,GEN-2V0LR8,Hosp-B,2018,Good
ARCH2024-0071,Infusion Pump,GEN-ZKXK09,Hosp-A,2017,Good
ARCH2024-0072,Ventilator,GEN-GCGT85,Hosp-B,2017,Fair
ARCH2024-0073,Infusion Pump,GEN-S7VZ3S,Hosp-B,2021,Good
ARCH2024-0074,EP Recording System,GEN-7WTRNK,Hosp-A,2022,Poor
ARCH2024-0075,EP Recording System,GEN-6FDPXK,Hosp-B,2019,Fair
ARCH2024-0076,Ventilator,GEN-EHDS5M,Hosp-B,2017,Fair
ARCH2024-0077,Infusion Pump,GEN-FDI0H2,Hosp-B,2018,Good
ARCH2024-0078,Echocardiograph,GEN-TATF7W,Hosp-B,2015,Good
ARCH2024-0079,Ventilator,GEN-0EFPPA,Hosp-B,2022,Poor
ARCH2024-0080,EP Recording System,GEN-ANL5SJ,Hosp-A,2022,Good
ARCH2024-0081,EP Recording System,GEN-6WUI6W,Hosp-A,2022,Fair
ARCH2024-0082,Infusion Pump,GEN-EQCXL1,Hosp-A,2018,Fair
ARCH2024-0083,Echocardiograph,GEN-5QLOZD,Hosp-A,2021,Fair
ARCH2024-0084,Defibrillator,GEN-2E4Z10,Hosp-B,2016,Good
ARCH2024-0085,Ventilator,GEN-6M5BL7,Hosp-A,2023,Fair
ARCH2024-0086,Cardiac Monitor,GEN-6XA98H,Hosp-A,2016,Poor
ARCH2024-0087,Defibrillator,GEN-KTXG3D,Hosp-B,2023,Fair
