asset_id,device_type,make,model,serial_no,year_acquired,condition,ward
RGH-ASSET-0034,IV Pump,GE,IV -902,INF-EKNKBF,2024,Excellent,CICU
RGH-ASSET-0160,Vent,Philips,Ven-243,VNT-IB86KT,2024,Excellent,Echo Room
RGH-ASSET-0073,Echo,Siemens,Ech-144,ECH-BEKGV1,2015,Fair,Cath Suite
RGH-ASSET-0010,Defib,Zoll,Def-523,DEF-B8C9D0,2021,Fair,Cardiology Ward 1
RGH-ASSET-0086,EPR,Mindray,EPR-986,EPR-31AX98,2021,Fair,Cath Suite
RGH-ASSET-0154,Vent,Mindray,Ven-491,VNT-19YDQ3,2019,Excellent,EP Lab
RGH-ASSET-0006,Echo,Philips,Ech-481,ECH-P6Q7R8,2020,Excellent,Equipment Bay
RGH-ASSET-0050,Monitor,BSci,Mon-436,MON-ZJXLH8,2015,Fair,Echo Room
RGH-ASSET-0030,Monitor,Mindray,Mon-587,MON-DZ3CC5,2018,Excellent,CICU
RGH-ASSET-0007,Echo,Philips,Ech-469,ECH-S9T0U1,2021,Excellent,Echo Room
RGH-ASSET-0084,Monitor,GE,Mon-409,MON-DCBHHL,2025,Poor,Cath Suite
RGH-ASSET-0015,Monitor,GE,Mon-268,MON-Q3R4S5,2024,Fair,CICU
RGH-ASSET-0139,EPR,BSci,EPR-218,EPR-D399Q6,2022,Fair,Cath Suite
RGH-ASSET-0082,IV Pump,Siemens,IV -476,INF-IBSMQP,2022,Poor,EP Lab
RGH-ASSET-0037,Vent,Siemens,Ven-146,VNT-DWWN6M,2025,Excellent,Echo Room
RGH-ASSET-0142,Defib,Zoll,Def-490,DEF-1VXNZ0,2025,Excellent,Equipment Bay
RGH-ASSET-0023,EPR,Siemens,EPR-817,EPR-O7P8Q9,2019,Fair,Cardiology Ward 1
RGH-ASSET-0072,IV Pump,GE,IV -288,INF-I08L0H,2015,Poor,CICU
RGH-ASSET-0166,Monitor,Medtronic,Mon-200,MON-D62F2J,2021,Fair,Cardiology Ward 1
RGH-ASSET-0097,EPR,Siemens,EPR-355,EPR-ZZKW3G,2017,Excellent,Cardiology Ward 1
RGH-ASSET-0078,Monitor,BSci,Mon-909,MON-ESVR02,2025,Good,Cath Suite
RGH-ASSET-0116,EPR,Medtronic,EPR-309,EPR-A5CGWF,2017,Good,Cath Suite
RGH-ASSET-0028,Monitor,GE,Mon-709,MON-29U6WT,2018,Poor,EP Lab
RGH-ASSET-0017,Monitor,GE,Mon-254,MON-W9X0Y1,2023,Excellent,CICU
RGH-ASSET-0012,Defib,Zoll,Def-553,DEF-H4I5J6,2018,Good,Equipment Bay
RGH-ASSET-0042,Defib,GE,Def-433,DEF-JDLOGW,2017,Good,Echo Room
RGH-ASSET-0118,Defib,Zoll,Def-181,DEF-IKQWJ2,2020,Excellent,Cardiology Ward 1
RGH-ASSET-0065,EPR,GE,EPR-735,EPR-52WQQP,2024,Good,EP Lab
RGH-ASSET-0126,Echo,Medtronic,Ech-997,ECH-ZNZ9C6,2021,Fair,Equipment Bay
RGH-ASSET-0168,Monitor,Zoll,Mon-794,MON-DBL1G3,2023,Excellent,Cardiology Ward 1
RGH-ASSET-0081,Defib,Siemens,Def-869,DEF-PNF4JD,2016,Poor,Cardiology Ward 1
RGH-ASSET-0102,Echo,Philips,Ech-274,ECH-TI8F34,2015,Good,Cath Suite
RGH-ASSET-0038,Monitor,Medtronic,Mon-760,MON-DFAW1L,2016,Good,Cath Suite
RGH-ASSET-0025,Echo,Philips,Ech-318,ECH-TOZ5ST,2016,Poor,Cardiology Ward 2
RGH-ASSET-0122,EPR,Mindray,EPR-518,EPR-78NRXV,2015,Good,Cardiology Ward 1
RGH-ASSET-0054,Vent,Siemens,Ven-471,VNT-G3W3H9,2015,Poor,Cardiology Ward 1
RGH-ASSET-0074,Monitor,GE,Mon-280,MON-HJG4IH,2019,Good,CICU
RGH-ASSET-0133,IV Pump,BSci,IV -445,INF-AV917R,2024,Excellent,EP Lab
RGH-ASSET-0041,Echo,Siemens,Ech-201,ECH-PO4LJE,2023,Fair,EP Lab
RGH-ASSET-0036,EPR,Siemens,EPR-571,EPR-2RZV1S,2022,Excellent,Cath Suite
RGH-ASSET-0170,Defib,Medtronic,Def-382,DEF-VZG92S,2021,Fair,EP Lab
RGH-ASSET-0088,Defib,Mindray,Def-691,DEF-1ZHQUN,2017,Poor,Echo Room
RGH-ASSET-0108,Defib,GE,Def-325,DEF-DLAXAH,2016,Poor,Echo Room
RGH-ASSET-0147,Vent,Zoll,Ven-441,VNT-R3RZN9,2017,Fair,Equipment Bay
RGH-ASSET-0099,Echo,Medtronic,Ech-477,ECH-066O1E,2016,Good,Cardiology Ward 2
RGH-ASSET-0163,IV Pump,Siemens,IV -811,INF-JXFQ8Y,2017,Fair,CICU
RGH-ASSET-0153,Vent,Siemens,Ven-600,VNT-V8WOBI,2019,Fair,Echo Room
RGH-ASSET-0107,Defib,Philips,Def-654,DEF-ODLUGH,2021,Excellent,CICU
RGH-ASSET-0092,Vent,Zoll,Ven-495,VNT-G3VAH6,2019,Fair,Cath Suite
RGH-ASSET-0062,EPR,GE,EPR-714,EPR-833SIC,2024,Excellent,Equipment Bay
RGH-ASSET-0022,EPR,Siemens,EPR-386,EPR-L4M5N6,2024,Excellent,Cardiology Ward 2
RGH-ASSET-0114,Monitor,Medtronic,Mon-334,MON-2B2O31,2020,Poor,Cath Suite
RGH-ASSET-0027,Echo,BSci,Ech-405,ECH-NWMBXE,2024,Good,Cardiology Ward 1
RGH-ASSET-0129,Echo,Philips,Ech-290,ECH-1PPKPG,2017,Fair,Cardiology Ward 1
RGH-ASSET-0009,Defib,Zoll,Def-333,DEF-Y5Z6A7,2024,Good,Equipment Bay
RGH-ASSET-0003,Echo,Philips,Ech-887,ECH-G7H8I9,2024,Good,Cath Suite
RGH-ASSET-0019,Monitor,GE,Mon-529,MON-C5D6E7,2020,Fair,Echo Room
RGH-ASSET-0117,IV Pump,Zoll,IV -838,INF-37IC0L,2018,Fair,Cardiology Ward 1
RGH-ASSET-0112,Echo,Zoll,Ech-240,ECH-1EIPIC,2020,Excellent,EP Lab
RGH-ASSET-0141,Vent,Siemens,Ven-603,VNT-X8YX7W,2016,Poor,Equipment Bay
RGH-ASSET-0138,EPR,Medtronic,EPR-632,EPR-460KHF,2024,Good,Cath Suite
RGH-ASSET-0090,IV Pump,Philips,IV -918,INF-UBF99U,2024,Excellent,Cardiology Ward 1
RGH-ASSET-0070,Defib,Medtronic,Def-714,DEF-62MYZ9,2020,Poor,Cardiology Ward 2
RGH-ASSET-0067,Defib,Medtronic,Def-145,DEF-SMRWGE,2015,Fair,EP Lab
RGH-ASSET-0085,Vent,Zoll,Ven-406,VNT-99106A,2019,Poor,Equipment Bay
RGH-ASSET-0095,IV Pump,Zoll,IV -246,INF-7VSYJA,2022,Good,Equipment Bay
RGH-ASSET-0143,Defib,GE,Def-218,DEF-JKEMVG,2024,Poor,Cath Suite
RGH-ASSET-0018,Monitor,GE,Mon-830,MON-Z2A3B4,2023,Excellent,Cardiology Ward 2
RGH-ASSET-0021,EPR,Siemens,EPR-421,EPR-I1J2K3,2023,Fair,CICU
RGH-ASSET-0071,Monitor,Mindray,Mon-754,MON-LD56R7,2018,Fair,Cardiology Ward 1
RGH-ASSET-0057,Vent,BSci,Ven-797,VNT-J4A8YW,2023,Excellent,CICU
RGH-ASSET-0169,IV Pump,GE,IV -373,INF-JYZXFU,2015,Poor,Echo Room
RGH-ASSET-0149,IV Pump,Mindray,IV -389,INF-MY91OT,2019,Fair,Echo Room
RGH-ASSET-0069,Monitor,Philips,Mon-155,MON-SXFI3U,2021,Poor,Cath Suite
RGH-ASSET-0100,Monitor,Mindray,Mon-867,MON-QJSQCZ,2022,Excellent,EP Lab
RGH-ASSET-0131,EPR,Mindray,EPR-383,EPR-WW5FKN,2016,Poor,CICU
RGH-ASSET-0047,EPR,Philips,EPR-593,EPR-AQ3K8A,2019,Poor,Equipment Bay
RGH-ASSET-0134,Monitor,Medtronic,Mon-158,MON-6937XN,2020,Poor,Equipment Bay
RGH-ASSET-0048,Vent,Mindray,Ven-646,VNT-94H4KF,2024,Good,EP Lab
RGH-ASSET-0051,Echo,Zoll,Ech-880,ECH-R6YO6Z,2021,Good,Equipment Bay
RGH-ASSET-0061,Echo,Medtronic,Ech-960,ECH-WBPA27,2019,Fair,CICU
RGH-ASSET-0140,Defib,GE,Def-434,DEF-1XDPZF,2021,Poor,Cath Suite
RGH-ASSET-0033,EPR,Philips,EPR-223,EPR-07N8VO,2020,Poor,CICU
RGH-ASSET-0162,Defib,Siemens,Def-846,DEF-4HETVJ,2024,Excellent,CICU
RGH-ASSET-0103,Monitor,Philips,Mon-466,MON-TOC1YF,2017,Fair,Echo Room
RGH-ASSET-0150,IV Pump,Mindray,IV -411,INF-DL25B7,2022,Fair,Cardiology Ward 2
RGH-ASSET-0016,Monitor,GE,Mon-877,MON-T6U7V8,2021,Good,Echo Room
RGH-ASSET-0053,Defib,BSci,Def-326,DEF-1ZAQ7Q,2015,Poor,Echo Room
RGH-ASSET-0151,Defib,Mindray,Def-109,DEF-ZKFH00,2020,Good,Echo Room
RGH-ASSET-0121,IV Pump,Zoll,IV -982,INF-RLZH6A,2023,Poor,Cardiology Ward 1
RGH-ASSET-0148,Vent,BSci,Ven-406,VNT-I07140,2025,Fair,CICU
RGH-ASSET-0167,Echo,BSci,Ech-641,ECH-7G0L3R,2020,Poor,Cardiology Ward 2
RGH-ASSET-0026,Monitor,BSci,Mon-411,MON-WA6TJ3,2021,Good,Echo Room
RGH-ASSET-0113,Defib,GE,Def-998,DEF-NXI09P,2020,Fair,EP Lab
RGH-ASSET-0128,IV Pump,BSci,IV -106,INF-23JH0Z,2017,Excellent,CICU
RGH-ASSET-0013,Defib,Zoll,Def-834,DEF-K7L8M9,2018,Excellent,CICU
RGH-ASSET-0165,Defib,Siemens,Def-212,DEF-9PAVCE,2025,Excellent,CICU
RGH-ASSET-0105,Monitor,Mindray,Mon-344,MON-BA117N,2018,Good,CICU
RGH-ASSET-0052,Vent,Medtronic,Ven-932,VNT-CB3YYM,2021,Poor,Cardiology Ward 1
RGH-ASSET-0024,Vent,GE,Ven-764,VNT-5WWPM3,2021,Fair,EP Lab
RGH-ASSET-0093,Monitor,Medtronic,Mon-500,MON-SQNAL6,2017,Good,Cath Suite
RGH-ASSET-0152,Defib,Mindray,Def-283,DEF-8P47D9,2015,Good,Cardiology Ward 2
RGH-ASSET-0110,Echo,Zoll,Ech-279,ECH-LWN71E,2025,Poor,Equipment Bay
RGH-ASSET-0146,EPR,GE,EPR-416,EPR-VFX2ZV,2023,Good,EP Lab
RGH-ASSET-0111,Vent,Mindray,Ven-615,VNT-CA6QS0,2024,Good,Cath Suite
RGH-ASSET-0039,IV Pump,Zoll,IV -223,INF-UBUGR6,2025,Fair,CICU
RGH-ASSET-0043,Echo,Siemens,Ech-223,ECH-OLOLN3,2015,Fair,Cath Suite
RGH-ASSET-0059,Monitor,Zoll,Mon-105,MON-15IKPQ,2021,Fair,EP Lab
RGH-ASSET-0079,IV Pump,Mindray,IV -482,INF-1XSRQL,2023,Excellent,Echo Room
RGH-ASSET-0130,Defib,Zoll,Def-877,DEF-8Q3GCG,2018,Poor,Equipment Bay
RGH-ASSET-0046,IV Pump,Mindray,IV -272,INF-Q4S2FT,2018,Excellent,Cardiology Ward 2
RGH-ASSET-0008,Echo,Philips,Ech-255,ECH-V2W3X4,2019,Excellent,Cardiology Ward 1
RGH-ASSET-0161,Monitor,Zoll,Mon-145,MON-69VSYX,2018,Good,Cath Suite
RGH-ASSET-0145,Vent,Zoll,Ven-403,VNT-VDA4L3,2018,Excellent,Echo Room
RGH-ASSET-0080,EPR,Mindray,EPR-307,EPR-JO7VBH,2022,Fair,Cardiology Ward 1
RGH-ASSET-0125,Vent,Medtronic,Ven-778,VNT-FV7FIU,2017,Good,CICU
RGH-ASSET-0060,Echo,Zoll,Ech-301,ECH-39IY87,2017,Poor,EP Lab
RGH-ASSET-0005,Echo,Philips,Ech-617,ECH-M3N4O5,2020,Good,CICU
RGH-ASSET-0157,IV Pump,GE,IV -165,INF-OZO32T,2023,Good,Equipment Bay
RGH-ASSET-0106,EPR,Philips,EPR-916,EPR-9MGYH5,2025,Fair,Echo Room
RGH-ASSET-0066,Vent,Medtronic,Ven-169,VNT-2QLGDV,2024,Fair,Cardiology Ward 2
RGH-ASSET-0083,EPR,Philips,EPR-625,EPR-GIXMC4,2023,Good,Equipment Bay
RGH-ASSET-0123,IV Pump,GE,IV -600,INF-GPJ60S,2025,Poor,Echo Room
RGH-ASSET-0120,Echo,BSci,Ech-413,ECH-6KTTGN,2022,Poor,Cardiology Ward 1
RGH-ASSET-0144,Monitor,Mindray,Mon-427,MON-UACT49,2020,Fair,Cardiology Ward 2
RGH-ASSET-0040,Monitor,BSci,Mon-428,MON-H34UDT,2021,Good,Cardiology Ward 1
RGH-ASSET-0119,Defib,Mindray,Def-120,DEF-PS0132,2021,Excellent,Equipment Bay
RGH-ASSET-0056,Defib,Medtronic,Def-230,DEF-0YVGV0,2019,Fair,Cardiology Ward 2
RGH-ASSET-0101,Vent,Mindray,Ven-866,VNT-4OAE7L,2022,Excellent,Cardiology Ward 1
RGH-ASSET-0001,Echo,Philips,Ech-938,ECH-A1B2C3,2020,Good,CICU
RGH-ASSET-0055,Vent,Medtronic,Ven-612,VNT-VA9WDJ,2022,Fair,Cardiology Ward 2
RGH-ASSET-0068,IV Pump,Mindray,IV -580,INF-SXMVTF,2019,Poor,EP Lab
RGH-ASSET-0076,IV Pump,Mindray,IV -487,INF-5CF72G,2020,Poor,Cardiology Ward 2
RGH-ASSET-0124,Echo,Medtronic,Ech-823,ECH-NPIR7N,2025,Good,Echo Room
RGH-ASSET-0077,EPR,Medtronic,EPR-435,EPR-IBWGT2,2018,Good,Echo Room
RGH-ASSET-0075,Vent,GE,Ven-928,VNT-N2D7KI,2020,Fair,Cardiology Ward 2
RGH-ASSET-0031,Monitor,Medtronic,Mon-533,MON-SVSOJR,2022,Excellent,Echo Room
RGH-ASSET-0064,EPR,Philips,EPR-490,EPR-KWCYUK,2021,Good,Cardiology Ward 2
RGH-ASSET-0087,Vent,Medtronic,Ven-448,VNT-HIVTQ3,2016,Poor,Equipment Bay
RGH-ASSET-0029,Monitor,Medtronic,Mon-435,MON-2ZYZSI,2023,Fair,Equipment Bay
RGH-ASSET-0096,EPR,Zoll,EPR-854,EPR-3S65QU,2016,Poor,Echo Room
RGH-ASSET-0155,Echo,Philips,Ech-686,ECH-EEX6IV,2022,Poor,Echo Room
RGH-ASSET-0098,EPR,Medtronic,EPR-380,EPR-GUO8I5,2025,Poor,Echo Room
RGH-ASSET-0127,EPR,Siemens,EPR-870,EPR-YST5V0,2016,Good,Echo Room
