txn_id,order_id,txn_date,txn_type,amount_usd,card_last4,gateway_ref,acquirer_code,response_code,auth_code,arn,is_disputed
TXN-231190,NW-2026-02-A804,2026-03-28,refund,182.11,6857,GW-6787095,4246,51,AUTH668424,ARN59458263358,N
TXN-827610,NW-2026-04-J592,2026-03-27,capture,149.78,7175,GW-9984116,2096,14,AUTH164037,ARN82307959942,N
TXN-915042,NW-2026-02-F809,2026-03-05,capture,116.12,9066,GW-7270321,4212,00,AUTH398145,ARN20983658917,N
TXN-122335,NW-2026-03-H875,2026-03-16,capture,292.23,9433,GW-9553652,3791,00,AUTH603359,ARN66408652719,Y
TXN-511439,NW-2026-03-I895,2026-02-17,capture,412.45,5454,GW-7491560,4633,00,AUTH684709,ARN14761096127,N
TXN-818720,NW-2026-04-C876,2026-02-10,chargeback,370.66,3590,GW-4689169,8758,05,AUTH218067,ARN59093064064,N
TXN-693022,NW-2026-03-K360,2026-04-26,capture,74.32,7428,GW-7047464,5244,05,AUTH183990,ARN17530702397,N
TXN-548456,NW-2026-03-K938,2026-03-17,chargeback,85.06,4366,GW-1339602,5807,51,AUTH263523,ARN50356508270,Y
TXN-447061,NW-2026-02-E592,2026-02-16,auth,244.61,8910,GW-6497456,6119,05,AUTH870539,ARN53003809024,N
TXN-938259,NW-2026-04-G463,2026-03-10,chargeback,464.00,7318,GW-4864045,2011,00,AUTH182823,ARN95192989879,N
TXN-123669,NW-2026-02-K863,2026-02-05,auth,305.27,5365,GW-9866606,3265,51,AUTH550526,ARN73079785641,N
TXN-378836,NW-2026-02-G295,2026-04-16,capture,491.79,2790,GW-9995486,6573,05,AUTH773993,ARN38870167234,N
TXN-409785,NW-2026-04-G115,2026-03-28,capture,439.28,8380,GW-6031878,6454,57,AUTH904046,ARN68317862156,N
TXN-979506,NW-2026-04-G507,2026-04-17,reversal,253.11,3017,GW-1053541,6215,05,AUTH197685,ARN62637665826,N
TXN-410648,NW-2026-04-G990,2026-03-06,reversal,163.80,1191,GW-8934957,8852,00,AUTH495376,ARN16265016549,N
TXN-710682,NW-2026-03-F384,2026-03-18,reversal,366.21,5578,GW-1356200,1562,14,AUTH781899,ARN90687677263,N
TXN-250601,NW-2026-04-A559,2026-02-28,reversal,468.93,6349,GW-3814750,4208,05,AUTH268980,ARN82337245404,N
TXN-812671,NW-2026-04-K489,2026-03-15,refund,210.97,3079,GW-4243387,3939,57,AUTH376746,ARN38694337220,N
TXN-504762,NW-2026-03-D567,2026-02-17,refund,228.15,2978,GW-7997496,6404,51,AUTH383963,ARN39872005543,N
TXN-775347,NW-2026-03-D979,2026-04-15,chargeback,351.37,6407,GW-2143676,2369,57,AUTH298653,ARN99696477911,N
TXN-930702,NW-2026-04-B722,2026-03-23,chargeback,296.05,9631,GW-5351985,3570,14,AUTH887597,ARN29542461163,N
TXN-864465,NW-2026-02-J962,2026-02-09,auth,289.83,8501,GW-2009947,9247,00,AUTH232330,ARN61120506311,N
TXN-377396,NW-2026-04-F966,2026-03-07,capture,304.05,5595,GW-6846983,7590,00,AUTH310234,ARN22089132916,Y
