return_id,order_id,request_date,resolution_date,type,amount_usd,reason,approved_by,status
RET-37146,NW-2026-03-A269,2026-03-18,2026-03-13,store_credit,142.78,unauthorized,agent_001,escalated
RET-40543,NW-2026-03-A796,2026-04-14,2026-04-12,refund,391.49,unauthorized,agent_003,denied
RET-68833,NW-2026-04-J840,2026-02-26,2026-04-05,replacement,203.03,wrong_item,agent_002,approved
RET-42553,NW-2026-02-H186,2026-03-11,2026-02-24,replacement,32.22,not_as_described,agent_002,denied
RET-76806,NW-2026-04-C258,2026-02-08,2026-04-12,store_credit,134.46,not_as_described,supervisor_01,escalated
RET-32580,NW-2026-02-I238,2026-03-23,2026-03-11,refund,72.42,damaged,agent_002,denied
RET-92221,NW-2026-03-E319,2026-03-06,2026-03-07,refund,107.61,never_received,agent_003,denied
RET-93129,NW-2026-04-C622,2026-03-25,2026-04-14,refund,20.56,never_received,agent_002,denied
RET-81923,NW-2026-02-H239,2026-02-03,2026-03-20,refund,366.23,unauthorized,supervisor_01,pending
RET-93536,NW-2026-03-H488,2026-03-23,2026-02-22,store_credit,207.86,unauthorized,agent_001,approved
RET-35255,NW-2026-04-K363,2026-02-05,2026-04-08,refund,186.70,never_received,agent_002,approved
RET-78487,NW-2026-04-C497,2026-03-20,2026-02-14,store_credit,309.30,never_received,agent_001,approved
RET-59550,NW-2026-04-D908,2026-03-22,2026-02-14,replacement,135.03,not_as_described,agent_001,pending
RET-83251,NW-2026-02-J653,2026-02-04,2026-02-21,store_credit,254.39,damaged,agent_002,denied
RET-73506,NW-2026-04-J977,2026-02-05,2026-03-14,replacement,220.84,damaged,agent_001,approved
RET-33682,NW-2026-02-B248,2026-03-06,2026-03-27,store_credit,190.89,never_received,agent_003,approved
RET-70743,NW-2026-04-E745,2026-04-12,2026-02-26,refund,69.01,not_as_described,agent_002,pending
RET-73461,NW-2026-04-D263,2026-03-17,2026-03-12,refund,301.50,unauthorized,supervisor_01,pending
RET-51428,NW-2026-03-J118,2026-04-27,2026-03-19,replacement,377.50,wrong_item,supervisor_01,escalated
RET-12354,NW-2026-04-B301,2026-04-22,2026-03-28,replacement,398.85,never_received,supervisor_01,escalated
RET-96093,NW-2026-04-B711,2026-03-20,2026-04-02,replacement,199.25,never_received,agent_002,pending
RET-28533,NW-2026-04-H468,2026-02-18,2026-02-25,refund,126.09,never_received,agent_001,denied
RET-78805,NW-2026-02-C863,2026-02-11,2026-04-05,repair,60.87,not_as_described,agent_002,escalated
RET-22787,NW-2026-03-A475,2026-03-20,2026-03-16,repair,391.80,wrong_item,agent_002,escalated
RET-16317,NW-2026-02-B632,2026-03-25,2026-03-21,replacement,354.11,damaged,agent_001,denied
RET-75498,NW-2026-03-F453,2026-04-06,2026-04-10,replacement,357.20,not_as_described,supervisor_01,escalated
RET-79262,NW-2026-04-J635,2026-04-26,2026-04-24,store_credit,141.67,unauthorized,agent_003,escalated
RET-91762,NW-2026-02-E556,2026-02-18,2026-04-15,store_credit,179.40,unauthorized,supervisor_01,denied
RET-86114,NW-2026-03-C989,2026-04-12,2026-04-07,store_credit,127.76,wrong_item,supervisor_01,denied
RET-55647,NW-2026-02-E243,2026-02-22,2026-02-18,store_credit,207.24,wrong_item,agent_002,pending
RET-50600,NW-2026-02-C938,2026-04-11,2026-03-04,replacement,12.17,unauthorized,agent_003,approved
RET-46826,NW-2026-02-G237,2026-04-20,2026-03-05,refund,194.64,not_as_described,agent_001,pending
RET-47916,NW-2026-02-K732,2026-04-02,2026-03-10,refund,12.63,wrong_item,agent_002,approved
RET-79906,NW-2026-02-G561,2026-02-26,2026-02-03,refund,312.65,unauthorized,agent_002,pending
RET-85744,NW-2026-02-F822,2026-03-27,2026-03-06,replacement,140.80,wrong_item,agent_001,escalated
RET-20665,NW-2026-04-B832,2026-03-19,2026-02-22,refund,50.63,never_received,agent_001,escalated
RET-43567,NW-2026-02-A207,2026-04-20,2026-04-14,store_credit,52.39,unauthorized,supervisor_01,denied
RET-20292,NW-2026-02-B560,2026-02-02,2026-02-08,repair,283.01,unauthorized,agent_002,approved
RET-13052,NW-2026-04-I333,2026-04-23,2026-04-26,store_credit,14.64,never_received,agent_003,pending
RET-17715,NW-2026-04-J786,2026-02-16,2026-03-24,repair,160.99,not_as_described,supervisor_01,pending
RET-20462,NW-2026-03-G172,2026-02-01,2026-02-13,refund,339.42,wrong_item,agent_001,pending
RET-56145,NW-2026-03-D579,2026-04-22,2026-04-14,repair,357.11,not_as_described,agent_001,approved
RET-34909,NW-2026-04-F889,2026-03-27,2026-04-24,refund,12.56,never_received,agent_003,escalated
RET-21487,NW-2026-04-D316,2026-02-24,2026-04-25,replacement,286.83,wrong_item,agent_003,pending
RET-37966,NW-2026-02-D279,2026-03-18,2026-03-09,repair,245.23,unauthorized,agent_001,escalated
RET-14834,NW-2026-03-J226,2026-02-06,2026-02-26,store_credit,259.28,never_received,agent_003,escalated
RET-66320,NW-2026-02-H841,2026-03-13,2026-02-23,store_credit,298.48,wrong_item,agent_001,pending
RET-71378,NW-2026-03-G487,2026-04-14,2026-02-19,repair,325.45,wrong_item,agent_002,escalated
RET-76721,NW-2026-03-J987,2026-02-20,2026-04-12,refund,325.15,unauthorized,agent_001,pending
RET-55631,NW-2026-04-B127,2026-03-23,2026-04-24,store_credit,120.74,damaged,supervisor_01,denied
RET-53848,NW-2026-04-K545,2026-04-03,2026-03-24,store_credit,130.49,never_received,agent_002,escalated
RET-40068,NW-2026-03-B692,2026-02-27,2026-04-18,store_credit,85.19,damaged,agent_001,pending
RET-71050,NW-2026-04-D530,2026-04-17,2026-02-28,refund,360.99,not_as_described,agent_003,approved
RET-18110,NW-2026-03-B150,2026-04-20,2026-04-22,replacement,257.96,unauthorized,agent_003,denied
RET-74703,NW-2026-02-I259,2026-04-03,2026-04-14,replacement,307.83,not_as_described,agent_002,pending
RET-85850,NW-2026-04-C561,2026-04-07,2026-03-22,replacement,265.98,damaged,agent_001,escalated
RET-91463,NW-2026-02-H549,2026-03-09,2026-02-15,replacement,283.71,damaged,agent_001,denied
RET-18223,NW-2026-03-A124,2026-04-05,2026-03-05,store_credit,371.44,wrong_item,agent_002,denied
RET-45270,NW-2026-04-J199,2026-04-24,2026-02-14,repair,93.95,never_received,agent_001,approved
RET-42806,NW-2026-02-A145,2026-02-28,2026-02-22,refund,145.26,wrong_item,agent_003,approved
RET-21792,NW-2026-02-H561,2026-02-13,2026-04-18,refund,176.38,never_received,agent_003,approved
RET-39647,NW-2026-04-C326,2026-02-14,2026-03-08,store_credit,122.44,unauthorized,agent_003,approved
RET-43267,NW-2026-02-J658,2026-02-27,2026-03-27,refund,247.25,wrong_item,agent_001,escalated
RET-18947,NW-2026-04-B164,2026-02-16,2026-03-22,store_credit,290.11,never_received,agent_001,pending
RET-33319,NW-2026-04-J938,2026-03-16,2026-04-26,repair,378.28,damaged,agent_001,pending
RET-70863,NW-2026-03-D949,2026-02-23,2026-02-17,refund,177.83,wrong_item,agent_001,denied
RET-80953,NW-2026-02-H153,2026-03-04,2026-04-13,replacement,203.42,damaged,agent_001,denied
RET-59465,NW-2026-04-E923,2026-02-06,2026-03-24,refund,233.55,not_as_described,supervisor_01,escalated
RET-76275,NW-2026-03-I906,2026-04-08,2026-03-15,store_credit,282.21,damaged,agent_001,escalated
RET-30939,NW-2026-03-G170,2026-03-14,2026-02-26,store_credit,103.57,wrong_item,agent_002,approved
RET-63168,NW-2026-02-E365,2026-03-13,2026-03-11,store_credit,107.67,never_received,agent_003,pending
RET-43749,NW-2026-02-G350,2026-03-01,2026-02-11,store_credit,345.61,never_received,agent_001,approved
RET-19632,NW-2026-02-F574,2026-04-28,2026-04-07,store_credit,388.44,wrong_item,supervisor_01,escalated
RET-85938,NW-2026-04-D744,2026-02-06,2026-02-16,repair,242.98,damaged,supervisor_01,approved
RET-47355,NW-2026-02-E389,2026-03-02,2026-03-18,store_credit,26.51,never_received,supervisor_01,escalated
RET-80321,NW-2026-03-B857,2026-04-04,2026-03-16,refund,263.90,damaged,agent_001,approved
RET-40805,NW-2026-03-G656,2026-02-10,2026-02-26,repair,131.90,wrong_item,agent_002,denied
RET-16836,NW-2026-02-J701,2026-03-20,2026-03-18,refund,114.91,unauthorized,agent_002,denied
RET-20559,NW-2026-02-F818,2026-03-28,2026-04-10,refund,392.75,never_received,agent_002,approved
RET-85524,NW-2026-04-A640,2026-04-09,2026-04-11,repair,377.28,not_as_described,supervisor_01,denied
RET-78409,NW-2026-04-I118,2026-03-03,2026-04-12,store_credit,295.90,wrong_item,supervisor_01,approved
RET-64842,NW-2026-02-G699,2026-04-17,2026-02-24,refund,68.39,not_as_described,agent_002,denied
RET-34335,NW-2026-04-K114,2026-02-26,2026-04-04,refund,265.27,unauthorized,agent_002,pending
RET-47471,NW-2026-03-B618,2026-04-23,2026-04-20,store_credit,61.45,not_as_described,agent_002,escalated
RET-70283,NW-2026-03-B445,2026-02-13,2026-04-19,refund,357.46,wrong_item,agent_001,denied
RET-21342,NW-2026-03-K678,2026-03-23,2026-02-21,replacement,143.95,damaged,supervisor_01,pending
RET-99489,NW-2026-03-D638,2026-04-14,2026-03-02,repair,268.51,not_as_described,supervisor_01,escalated
RET-67481,NW-2026-02-J752,2026-04-27,2026-02-16,replacement,323.67,wrong_item,agent_001,denied
RET-30061,NW-2026-04-J768,2026-02-09,2026-03-16,replacement,378.61,damaged,agent_002,escalated
RET-36989,NW-2026-04-H533,2026-04-21,2026-04-22,store_credit,95.34,not_as_described,agent_002,pending
RET-55842,NW-2026-04-I618,2026-02-01,2026-03-05,store_credit,160.61,unauthorized,agent_001,escalated
RET-27960,NW-2026-03-C594,2026-04-06,2026-02-19,store_credit,283.96,damaged,supervisor_01,denied
RET-92008,NW-2026-04-K137,2026-03-12,2026-04-17,store_credit,397.57,never_received,agent_002,pending
RET-53463,NW-2026-02-G312,2026-02-06,2026-02-04,refund,114.31,never_received,agent_001,pending
RET-26156,NW-2026-04-G844,2026-02-28,2026-02-27,refund,198.32,unauthorized,agent_002,escalated
RET-93575,NW-2026-03-K240,2026-03-06,2026-02-12,refund,293.25,not_as_described,agent_002,escalated
RET-62045,NW-2026-04-I904,2026-02-26,2026-03-22,store_credit,398.54,not_as_described,agent_001,escalated
RET-68053,NW-2026-02-D457,2026-04-18,2026-03-28,repair,42.53,unauthorized,agent_002,approved
RET-17509,NW-2026-04-E653,2026-04-17,2026-02-15,repair,213.62,not_as_described,agent_003,approved
RET-80036,NW-2026-02-B911,2026-02-23,2026-02-15,repair,14.58,wrong_item,agent_001,denied
RET-45968,NW-2026-04-J328,2026-04-27,2026-02-03,repair,338.27,damaged,agent_002,pending
RET-19264,NW-2026-02-A544,2026-02-02,2026-02-21,replacement,40.38,never_received,supervisor_01,pending
RET-82850,NW-2026-03-G244,2026-03-02,2026-02-05,store_credit,274.78,damaged,agent_003,denied
RET-97715,NW-2026-03-B499,2026-03-12,2026-03-22,refund,387.03,damaged,agent_003,approved
RET-38954,NW-2026-02-J135,2026-04-05,2026-03-07,replacement,180.94,never_received,agent_003,approved
RET-41220,NW-2026-02-I121,2026-03-08,2026-02-07,refund,126.05,damaged,agent_003,denied
RET-43664,NW-2026-03-E808,2026-02-17,2026-03-15,store_credit,313.29,damaged,supervisor_01,denied
RET-29400,NW-2026-04-H483,2026-04-08,2026-03-24,refund,198.16,not_as_described,agent_001,pending
RET-47925,NW-2026-03-B730,2026-03-04,2026-03-03,store_credit,237.34,damaged,agent_002,escalated
RET-77308,NW-2026-04-I221,2026-04-16,2026-03-02,repair,34.07,never_received,agent_001,denied
RET-91438,NW-2026-03-K335,2026-04-28,2026-03-14,replacement,382.59,damaged,supervisor_01,pending
RET-34059,NW-2026-04-F575,2026-04-20,2026-04-18,repair,221.89,unauthorized,agent_002,pending
RET-72322,NW-2026-02-E422,2026-03-02,2026-03-01,store_credit,126.01,unauthorized,supervisor_01,approved
RET-19650,NW-2026-04-H985,2026-02-22,2026-03-11,refund,279.16,damaged,agent_001,denied
RET-49142,NW-2026-02-J449,2026-03-21,2026-02-21,replacement,68.73,not_as_described,agent_001,denied
RET-64986,NW-2026-03-I100,2026-04-09,2026-02-20,replacement,356.94,never_received,agent_001,denied
RET-27083,NW-2026-03-E662,2026-03-16,2026-03-02,repair,398.92,wrong_item,agent_002,denied
RET-72989,NW-2026-03-J502,2026-02-12,2026-03-05,refund,256.61,unauthorized,agent_001,approved
RET-12092,NW-2026-02-E590,2026-02-17,2026-02-25,repair,91.08,not_as_described,agent_002,escalated
RET-55349,NW-2026-03-C121,2026-04-27,2026-03-04,repair,51.54,damaged,supervisor_01,approved
RET-24273,NW-2026-04-D230,2026-03-02,2026-04-24,repair,203.14,wrong_item,agent_001,pending
RET-28696,NW-2026-02-E642,2026-03-13,2026-03-10,replacement,362.46,wrong_item,agent_002,approved
RET-94912,NW-2026-03-A484,2026-04-16,2026-02-13,replacement,31.19,wrong_item,supervisor_01,denied
RET-35615,NW-2026-03-I240,2026-04-08,2026-02-14,repair,143.47,unauthorized,supervisor_01,escalated
RET-47456,NW-2026-04-H794,2026-04-22,2026-02-05,store_credit,366.64,unauthorized,agent_003,approved
RET-14541,NW-2026-02-J947,2026-03-05,2026-04-28,repair,355.20,wrong_item,agent_001,pending
RET-37182,NW-2026-04-I802,2026-02-12,2026-03-07,replacement,192.00,never_received,agent_001,approved
RET-21701,NW-2026-04-I844,2026-02-01,2026-03-25,repair,123.66,damaged,agent_003,approved
RET-43789,NW-2026-03-A845,2026-04-10,2026-04-06,repair,379.17,damaged,agent_001,approved
RET-45763,NW-2026-04-J247,2026-02-19,2026-04-21,store_credit,163.04,never_received,agent_001,pending
RET-25619,NW-2026-03-I935,2026-03-08,2026-04-02,refund,87.41,wrong_item,agent_002,pending
RET-65308,NW-2026-04-C448,2026-02-28,2026-02-10,repair,162.43,damaged,supervisor_01,escalated
RET-19474,NW-2026-04-J140,2026-04-08,2026-04-21,refund,363.56,not_as_described,agent_002,escalated
RET-15554,NW-2026-03-G223,2026-04-19,2026-03-15,repair,146.72,wrong_item,agent_001,approved
RET-48299,NW-2026-03-I798,2026-04-12,2026-02-06,refund,248.45,unauthorized,agent_002,denied
RET-22820,NW-2026-02-F231,2026-03-11,2026-02-26,refund,394.20,never_received,agent_003,pending
