date,sigma_30d,sigma_60d,sigma_90d
2025-10-01,0.1772,0.1811,0.1807
2025-10-02,0.1834,0.1801,0.1785
2025-10-03,0.1744,0.1831,0.1754
2025-10-04,0.1772,0.1769,0.1801
2025-10-05,0.1774,0.1786,0.1816
2025-10-06,0.1772,0.1765,0.182
2025-10-07,0.1842,0.1836,0.1811
2025-10-08,0.1763,0.1835,0.1792
2025-10-09,0.1809,0.1767,0.1787
2025-10-10,0.1823,0.182,0.1801
2025-10-11,0.1862,0.1798,0.1758
2025-10-12,0.1825,0.1735,0.1766
2025-10-13,0.1778,0.1816,0.181
2025-10-14,0.1786,0.181,0.1774
2025-10-15,0.1919,0.1792,0.1797
2025-10-16,0.1788,0.1834,0.1803
2025-10-17,0.1809,0.1789,0.1792
2025-10-18,0.181,0.1799,0.1802
2025-10-19,0.1771,0.1832,0.1811
2025-10-20,0.1884,0.1819,0.1805
2025-10-21,0.1798,0.183,0.1802
2025-10-22,0.1753,0.1777,0.1757
2025-10-23,0.1868,0.1844,0.1773
2025-10-24,0.1751,0.1776,0.1787
2025-10-25,0.1823,0.181,0.1806
2025-10-26,0.1828,0.1812,0.1811
2025-10-27,0.172,0.1781,0.1811
2025-10-28,0.1708,0.1841,0.1825
2025-10-29,0.1808,0.1811,0.1794
2025-10-30,0.1865,0.182,0.1804
2025-11-01,0.1725,0.1833,0.1783
2025-11-02,0.1831,0.1791,0.1806
2025-11-03,0.1882,0.1753,0.1796
2025-11-04,0.175,0.1776,0.1806
2025-11-05,0.1759,0.1764,0.1785
2025-11-06,0.1895,0.1796,0.1786
2025-11-07,0.1827,0.1758,0.18
2025-11-08,0.1842,0.18,0.1792
2025-11-09,0.1681,0.1829,0.1799
2025-11-10,0.1859,0.1851,0.1778
2025-11-11,0.1815,0.1764,0.1814
2025-11-12,0.1784,0.1823,0.1786
2025-11-13,0.1763,0.1765,0.1794
2025-11-14,0.1874,0.173,0.1764
2025-11-15,0.1773,0.1772,0.177
2025-11-16,0.1872,0.1775,0.1824
2025-11-17,0.1756,0.1727,0.181
2025-11-18,0.1869,0.182,0.1825
2025-11-19,0.1755,0.1759,0.181
2025-11-20,0.1773,0.1818,0.1786
2025-11-21,0.178,0.1809,0.1799
2025-11-22,0.1799,0.1783,0.1828
2025-11-23,0.18,0.1782,0.1805
2025-11-24,0.1747,0.1814,0.1832
2025-11-25,0.1796,0.1766,0.1773
2025-11-26,0.1787,0.1765,0.1775
2025-11-27,0.1804,0.178,0.1809
2025-11-28,0.1803,0.1786,0.1825
2025-11-29,0.185,0.1792,0.1783
2025-11-30,0.1847,0.1838,0.1792
2025-12-01,0.1776,0.1848,0.1835
2025-12-02,0.1795,0.1785,0.1807
2025-12-03,0.1775,0.1804,0.1815
2025-12-04,0.184,0.1827,0.1775
2025-12-05,0.1692,0.1837,0.1807
2025-12-06,0.1834,0.1794,0.1826
2025-12-07,0.1838,0.1781,0.1822
2025-12-08,0.1696,0.1737,0.1806
2025-12-09,0.1844,0.1778,0.1804
2025-12-10,0.1817,0.1802,0.1822
2025-12-11,0.1845,0.1803,0.1782
2025-12-12,0.1802,0.1796,0.1774
2025-12-13,0.1731,0.1791,0.1782
2025-12-14,0.1774,0.182,0.1823
2025-12-15,0.1813,0.1802,0.1792
2025-12-16,0.183,0.1801,0.1788
2025-12-17,0.1728,0.1817,0.1769
2025-12-18,0.1845,0.1814,0.1808
2025-12-19,0.1792,0.1828,0.1788
2025-12-20,0.1788,0.1757,0.1789
2025-12-21,0.1747,0.1755,0.1826
2025-12-22,0.1837,0.1791,0.1763
2025-12-23,0.1812,0.181,0.1802
2025-12-24,0.1728,0.183,0.1835
2025-12-25,0.1786,0.1759,0.1802
2025-12-26,0.1731,0.1795,0.1806
2025-12-27,0.1762,0.1835,0.1805
2025-12-28,0.1829,0.1827,0.1815
2025-12-29,0.1879,0.179,0.1819
2025-12-30,0.1804,0.1794,0.1792
