month,gross_return_pct,net_return_pct,nav_gross,nav_net,benchmark_return_pct,excess_gross_pct
2024-01,2.31,1.84,102.31,101.84,1.89,0.42
2024-02,1.76,1.41,104.1107,103.2759,0.6,1.16
2024-03,3.12,2.49,107.359,105.8475,1.84,1.28
2024-04,-0.43,-0.54,106.8974,105.2759,1.85,-2.28
2024-05,2.89,2.31,109.9867,107.7078,0.76,2.13
2024-06,1.54,1.23,111.6805,109.0326,0.74,0.8
2024-07,2.67,2.13,114.6624,111.355,1.98,0.69
2024-08,-1.22,-1.38,113.2635,109.8183,1.8,-3.02
2024-09,1.98,1.58,115.5061,111.5534,1.21,0.77
2024-10,3.44,2.75,119.4795,114.6211,1.66,1.78
2024-11,0.87,0.7,120.519,115.4234,1.93,-1.06
2024-12,2.18,1.74,123.1463,117.4318,1.54,0.64
