sample_id,read1_path,read2_path,size_gb,md5_stub
SAMPLE-0001,/seq_data/raw/SAMPLE-0001_R1.fastq.gz,/seq_data/raw/SAMPLE-0001_R2.fastq.gz,3.73,57475426
SAMPLE-0002,/seq_data/raw/SAMPLE-0002_R1.fastq.gz,/seq_data/raw/SAMPLE-0002_R2.fastq.gz,6.79,0d408428
SAMPLE-0003,/seq_data/raw/SAMPLE-0003_R1.fastq.gz,/seq_data/raw/SAMPLE-0003_R2.fastq.gz,7.31,d48b7fdb
SAMPLE-0004,/seq_data/raw/SAMPLE-0004_R1.fastq.gz,/seq_data/raw/SAMPLE-0004_R2.fastq.gz,7.7,a3b8e4ee
SAMPLE-0005,/seq_data/raw/SAMPLE-0005_R1.fastq.gz,/seq_data/raw/SAMPLE-0005_R2.fastq.gz,5.48,965b8be8
SAMPLE-0006,/seq_data/raw/SAMPLE-0006_R1.fastq.gz,/seq_data/raw/SAMPLE-0006_R2.fastq.gz,5.91,c4f776b4
SAMPLE-0007,/seq_data/raw/SAMPLE-0007_R1.fastq.gz,/seq_data/raw/SAMPLE-0007_R2.fastq.gz,2.56,ec0d174f
SAMPLE-0008,/seq_data/raw/SAMPLE-0008_R1.fastq.gz,/seq_data/raw/SAMPLE-0008_R2.fastq.gz,7.18,e85d8b6b
SAMPLE-0009,/seq_data/raw/SAMPLE-0009_R1.fastq.gz,/seq_data/raw/SAMPLE-0009_R2.fastq.gz,5.38,47f611ba
SAMPLE-0010,/seq_data/raw/SAMPLE-0010_R1.fastq.gz,/seq_data/raw/SAMPLE-0010_R2.fastq.gz,3.25,653752d1
SAMPLE-0011,/seq_data/raw/SAMPLE-0011_R1.fastq.gz,/seq_data/raw/SAMPLE-0011_R2.fastq.gz,8.22,a20493d9
SAMPLE-0012,/seq_data/raw/SAMPLE-0012_R1.fastq.gz,/seq_data/raw/SAMPLE-0012_R2.fastq.gz,7.81,2fb10aa4
SAMPLE-0013,/seq_data/raw/SAMPLE-0013_R1.fastq.gz,/seq_data/raw/SAMPLE-0013_R2.fastq.gz,5.23,f7691c54
SAMPLE-0014,/seq_data/raw/SAMPLE-0014_R1.fastq.gz,/seq_data/raw/SAMPLE-0014_R2.fastq.gz,3.73,68d7b79d
SAMPLE-0015,/seq_data/raw/SAMPLE-0015_R1.fastq.gz,/seq_data/raw/SAMPLE-0015_R2.fastq.gz,3.38,bd1ace22
SAMPLE-0016,/seq_data/raw/SAMPLE-0016_R1.fastq.gz,/seq_data/raw/SAMPLE-0016_R2.fastq.gz,6.88,096efca1
SAMPLE-0017,/seq_data/raw/SAMPLE-0017_R1.fastq.gz,/seq_data/raw/SAMPLE-0017_R2.fastq.gz,3.92,d4413b56
SAMPLE-0018,/seq_data/raw/SAMPLE-0018_R1.fastq.gz,/seq_data/raw/SAMPLE-0018_R2.fastq.gz,4.04,c91b43bf
SAMPLE-0019,/seq_data/raw/SAMPLE-0019_R1.fastq.gz,/seq_data/raw/SAMPLE-0019_R2.fastq.gz,4.88,d1b941a5
SAMPLE-0020,/seq_data/raw/SAMPLE-0020_R1.fastq.gz,/seq_data/raw/SAMPLE-0020_R2.fastq.gz,7.73,40742fb2
SAMPLE-0021,/seq_data/raw/SAMPLE-0021_R1.fastq.gz,/seq_data/raw/SAMPLE-0021_R2.fastq.gz,4.27,6177e6c1
SAMPLE-0022,/seq_data/raw/SAMPLE-0022_R1.fastq.gz,/seq_data/raw/SAMPLE-0022_R2.fastq.gz,7.39,134bc949
SAMPLE-0023,/seq_data/raw/SAMPLE-0023_R1.fastq.gz,/seq_data/raw/SAMPLE-0023_R2.fastq.gz,3.74,b1050382
SAMPLE-0024,/seq_data/raw/SAMPLE-0024_R1.fastq.gz,/seq_data/raw/SAMPLE-0024_R2.fastq.gz,8.4,d591339c
SAMPLE-0025,/seq_data/raw/SAMPLE-0025_R1.fastq.gz,/seq_data/raw/SAMPLE-0025_R2.fastq.gz,8.38,fc844e90
SAMPLE-0026,/seq_data/raw/SAMPLE-0026_R1.fastq.gz,/seq_data/raw/SAMPLE-0026_R2.fastq.gz,5.42,88a77bd5
SAMPLE-0027,/seq_data/raw/SAMPLE-0027_R1.fastq.gz,/seq_data/raw/SAMPLE-0027_R2.fastq.gz,8.36,fd84ee6c
SAMPLE-0028,/seq_data/raw/SAMPLE-0028_R1.fastq.gz,/seq_data/raw/SAMPLE-0028_R2.fastq.gz,6.6,601f5430
SAMPLE-0029,/seq_data/raw/SAMPLE-0029_R1.fastq.gz,/seq_data/raw/SAMPLE-0029_R2.fastq.gz,5.81,92f16d00
SAMPLE-0030,/seq_data/raw/SAMPLE-0030_R1.fastq.gz,/seq_data/raw/SAMPLE-0030_R2.fastq.gz,6.99,4941d87f
SAMPLE-0031,/seq_data/raw/SAMPLE-0031_R1.fastq.gz,/seq_data/raw/SAMPLE-0031_R2.fastq.gz,2.24,37a0ea71
SAMPLE-0032,/seq_data/raw/SAMPLE-0032_R1.fastq.gz,/seq_data/raw/SAMPLE-0032_R2.fastq.gz,5.41,d703b4eb
SAMPLE-0033,/seq_data/raw/SAMPLE-0033_R1.fastq.gz,/seq_data/raw/SAMPLE-0033_R2.fastq.gz,7.34,b7928445
SAMPLE-0034,/seq_data/raw/SAMPLE-0034_R1.fastq.gz,/seq_data/raw/SAMPLE-0034_R2.fastq.gz,5.86,140ebcfd
SAMPLE-0035,/seq_data/raw/SAMPLE-0035_R1.fastq.gz,/seq_data/raw/SAMPLE-0035_R2.fastq.gz,2.52,e8ac36ac
SAMPLE-0036,/seq_data/raw/SAMPLE-0036_R1.fastq.gz,/seq_data/raw/SAMPLE-0036_R2.fastq.gz,5.75,fd90ecdf
SAMPLE-0037,/seq_data/raw/SAMPLE-0037_R1.fastq.gz,/seq_data/raw/SAMPLE-0037_R2.fastq.gz,5.65,128604a9
SAMPLE-0038,/seq_data/raw/SAMPLE-0038_R1.fastq.gz,/seq_data/raw/SAMPLE-0038_R2.fastq.gz,7.39,6d906234
SAMPLE-0039,/seq_data/raw/SAMPLE-0039_R1.fastq.gz,/seq_data/raw/SAMPLE-0039_R2.fastq.gz,8.12,c6a50551
SAMPLE-0040,/seq_data/raw/SAMPLE-0040_R1.fastq.gz,/seq_data/raw/SAMPLE-0040_R2.fastq.gz,2.45,d5d2f431
SAMPLE-0041,/seq_data/raw/SAMPLE-0041_R1.fastq.gz,/seq_data/raw/SAMPLE-0041_R2.fastq.gz,4.3,152d9d97
SAMPLE-0042,/seq_data/raw/SAMPLE-0042_R1.fastq.gz,/seq_data/raw/SAMPLE-0042_R2.fastq.gz,3.75,d9863251
SAMPLE-0043,/seq_data/raw/SAMPLE-0043_R1.fastq.gz,/seq_data/raw/SAMPLE-0043_R2.fastq.gz,7.5,847933fe
SAMPLE-0044,/seq_data/raw/SAMPLE-0044_R1.fastq.gz,/seq_data/raw/SAMPLE-0044_R2.fastq.gz,5.87,1d4f7fab
SAMPLE-0045,/seq_data/raw/SAMPLE-0045_R1.fastq.gz,/seq_data/raw/SAMPLE-0045_R2.fastq.gz,2.89,f238e0d4
