sample_id	ref_genome	variant_count	snp_count	indel_count	pass_rate	run_date
SAMPLE-0001	GRCh38.p14	4475	4068	407	0.916	2024-11-10
SAMPLE-0002	GRCh38.p14	5762	5410	352	0.979	2024-11-16
SAMPLE-0003	GRCh38.p14	5899	5266	633	0.928	2024-11-26
SAMPLE-0004	GRCh38.p14	3813	3359	454	0.973	2024-11-14
SAMPLE-0005	GRCh38.p14	4083	3634	449	0.953	2024-11-08
SAMPLE-0006	GRCh38.p14	3973	3617	356	0.979	2024-11-25
SAMPLE-0007	GRCh38.p14	5466	5045	421	0.874	2024-11-11
SAMPLE-0008	GRCh38.p14	6012	5499	513	0.883	2024-11-12
SAMPLE-0009	GRCh38.p14	3895	3469	426	0.96	2024-11-04
SAMPLE-0010	GRCh38.p14	3880	3537	343	0.931	2024-11-11
SAMPLE-0011	GRCh38.p14	5443	4974	469	0.891	2024-11-02
SAMPLE-0012	GRCh38.p14	5724	5384	340	0.896	2024-11-25
SAMPLE-0013	GRCh38.p14	4608	4122	486	0.977	2024-11-22
SAMPLE-0014	GRCh38.p14	6178	5864	314	0.878	2024-11-18
SAMPLE-0015	GRCh38.p14	5751	5285	466	0.913	2024-11-11
SAMPLE-0016	GRCh38.p14	4398	4143	255	0.915	2024-11-12
SAMPLE-0017	GRCh38.p14	5648	5168	480	0.905	2024-11-16
SAMPLE-0018	GRCh38.p14	5383	4837	546	0.962	2024-11-06
SAMPLE-0019	GRCh38.p14	5831	5132	699	0.878	2024-11-20
SAMPLE-0020	GRCh38.p14	5938	5317	621	0.937	2024-11-18
SAMPLE-0021	GRCh38.p14	6350	5638	712	0.944	2024-11-21
SAMPLE-0022	GRCh38.p14	5226	4903	323	0.907	2024-11-25
SAMPLE-0023	GRCh38.p14	6246	5902	344	0.897	2024-11-06
SAMPLE-0024	GRCh38.p14	4068	3842	226	0.889	2024-11-14
SAMPLE-0025	GRCh38.p14	5335	4754	581	0.874	2024-11-17
SAMPLE-0026	GRCh38.p14	6495	6151	344	0.915	2024-11-06
SAMPLE-0027	GRCh38.p14	6218	5478	740	0.908	2024-11-17
SAMPLE-0028	GRCh38.p14	5338	4946	392	0.973	2024-11-08
SAMPLE-0029	GRCh38.p14	4464	4103	361	0.918	2024-11-14
SAMPLE-0030	GRCh38.p14	5779	5108	671	0.902	2024-11-28
SAMPLE-0031	GRCh38.p14	4856	4497	359	0.874	2024-11-08
SAMPLE-0032	GRCh38.p14	4498	4082	416	0.966	2024-11-21
SAMPLE-0033	GRCh38.p14	4398	4173	225	0.952	2024-11-16
SAMPLE-0034	GRCh38.p14	4002	3592	410	0.975	2024-11-17
SAMPLE-0035	GRCh38.p14	5762	5081	681	0.893	2024-11-27
SAMPLE-0036	GRCh38.p14	5298	4957	341	0.967	2024-11-20
SAMPLE-0037	GRCh38.p14	5545	5067	478	0.969	2024-11-16
SAMPLE-0038	GRCh38.p14	5061	4502	559	0.935	2024-11-05
SAMPLE-0039	GRCh38.p14	3841	3482	359	0.884	2024-11-23
SAMPLE-0040	GRCh38.p14	3896	3500	396	0.906	2024-11-08
SAMPLE-0041	GRCh38.p14	6193	5632	561	0.945	2024-11-25
