sample_id,contamination_pct,coverage_x,qc_status,flagged_by
SAMPLE-0001,2.04,41.4,PASS,fastqc
SAMPLE-0002,1.29,78.9,PASS,fastqc
SAMPLE-0003,1.94,73.8,PASS,kraken2
SAMPLE-0004,11.20,60.8,FAIL,kraken2
SAMPLE-0005,3.04,42.5,PASS,kraken2
SAMPLE-0006,1.9,54.0,PASS,kraken2
SAMPLE-0007,0.83,72.3,PASS,kraken2
SAMPLE-0008,1.73,91.4,PASS,kraken2
SAMPLE-0009,3.82,59.4,PASS,kraken2
SAMPLE-0010,1.39,28.5,PASS,fastqc
SAMPLE-0011,5.47,63.8,FAIL,kraken2
SAMPLE-0012,4.42,68.6,PASS,kraken2
SAMPLE-0013,1.82,42.5,PASS,kraken2
SAMPLE-0014,0.87,81.1,PASS,kraken2
SAMPLE-0015,6.88,91.2,FAIL,kraken2
SAMPLE-0016,0.28,29.6,PASS,kraken2
SAMPLE-0017,4.03,33.4,PASS,kraken2
SAMPLE-0018,0.51,48.8,PASS,fastqc
SAMPLE-0019,1.68,63.1,PASS,fastqc
SAMPLE-0020,3.88,31.7,PASS,fastqc
SAMPLE-0021,1.34,55.1,PASS,kraken2
SAMPLE-0022,1.8,74.6,PASS,kraken2
SAMPLE-0023,0.73,85.9,PASS,kraken2
SAMPLE-0024,3.69,68.7,PASS,kraken2
SAMPLE-0025,0.56,37.6,PASS,fastqc
SAMPLE-0026,0.95,37.7,PASS,fastqc
SAMPLE-0027,2.79,79.6,PASS,kraken2
SAMPLE-0028,4.16,35.9,PASS,kraken2
SAMPLE-0029,0.99,32.9,PASS,fastqc
SAMPLE-0030,2.91,31.2,PASS,fastqc
SAMPLE-0031,2.02,83.1,PASS,fastqc
SAMPLE-0032,2.09,52.9,PASS,fastqc
SAMPLE-0033,4.32,89.8,PASS,kraken2
SAMPLE-0034,2.01,57.7,PASS,fastqc
SAMPLE-0035,3.24,71.8,PASS,fastqc
SAMPLE-0036,4.3,76.3,PASS,fastqc
SAMPLE-0037,3.98,73.2,PASS,fastqc
SAMPLE-0038,1.52,78.4,PASS,fastqc
SAMPLE-0039,2.2,92.6,PASS,fastqc
SAMPLE-0040,2.52,88.8,PASS,kraken2
SAMPLE-0041,15.82,63.7,FAIL,kraken2
SAMPLE-0042,1.33,87.1,PASS,kraken2
SAMPLE-0043,3.26,68.9,PASS,fastqc
SAMPLE-0044,3.36,68.5,PASS,kraken2
SAMPLE-0045,3.3,57.5,PASS,fastqc
SAMPLE-0046,4.36,51.1,PASS,kraken2
SAMPLE-0047,3.43,92.6,PASS,fastqc
SAMPLE-0048,3.29,39.5,PASS,kraken2
SAMPLE-0049,3.25,77.8,PASS,kraken2
SAMPLE-0050,1.21,85.7,PASS,fastqc
SAMPLE-0051,2.02,35.5,PASS,kraken2
SAMPLE-0052,0.11,48.8,PASS,kraken2
SAMPLE-0053,3.69,39.2,PASS,kraken2
SAMPLE-0054,2.23,41.8,PASS,kraken2
SAMPLE-0055,3.65,59.4,PASS,kraken2
SAMPLE-0056,3.08,70.3,PASS,kraken2
SAMPLE-0057,3.79,41.4,PASS,fastqc
SAMPLE-0058,0.6,48.6,PASS,kraken2
SAMPLE-0059,8.95,55.9,FAIL,fastqc
SAMPLE-0060,2.77,91.5,PASS,kraken2
SAMPLE-0061,1.52,78.7,PASS,kraken2
SAMPLE-0062,3.91,54.7,PASS,fastqc
SAMPLE-0063,2.31,36.6,PASS,fastqc
SAMPLE-0064,2.24,85.0,PASS,kraken2
SAMPLE-0065,2.11,91.9,PASS,fastqc
SAMPLE-0066,1.3,46.3,PASS,kraken2
SAMPLE-0067,4.37,53.6,PASS,kraken2
SAMPLE-0068,4.6,60.1,PASS,kraken2
SAMPLE-0069,4.37,59.9,PASS,fastqc
SAMPLE-0070,0.46,44.1,PASS,kraken2
SAMPLE-0071,0.17,50.1,PASS,kraken2
SAMPLE-0072,1.71,77.2,PASS,kraken2
SAMPLE-0073,2.66,70.4,PASS,kraken2
SAMPLE-0074,2.09,39.1,PASS,kraken2
SAMPLE-0075,0.33,30.4,PASS,fastqc
SAMPLE-0076,1.2,78.6,PASS,fastqc
SAMPLE-0077,2.21,74.6,PASS,kraken2
SAMPLE-0078,3.97,35.9,PASS,fastqc
SAMPLE-0079,1.42,52.5,PASS,kraken2
SAMPLE-0080,1.05,65.5,PASS,kraken2
