date,donor,amount_eur,category,notes
2019-04-28,Anon,90418,Project,donation cycle 4
2019-03-28,Hartmann Family Foundation,81355,Project,donation cycle 1
2024-05-19,Regional Dev Fund,282641,Restricted,donation cycle 2
2021-05-03,Anon,273404,Project,donation cycle 3
2023-05-01,Anon,93698,General,donation cycle 5
2023-01-19,Regional Dev Fund,18568,Project,donation cycle 3
2020-08-18,Biz Assoc,155698,Project,donation cycle 7
2020-11-21,Biz Assoc,35577,Project,donation cycle 3
2022-03-27,Anon,114608,Project,donation cycle 1
2021-06-06,Anon,59596,Project,donation cycle 4
2023-01-19,Biz Assoc,169835,Restricted,donation cycle 1
2019-09-18,Biz Assoc,59842,Project,donation cycle 6
2023-06-18,Anon,290518,Project,donation cycle 8
2022-09-05,Biz Assoc,189079,General,donation cycle 5
2023-02-11,Regional Dev Fund,292354,Restricted,donation cycle 5
2024-04-04,Regional Dev Fund,251390,Restricted,donation cycle 5
2019-03-23,Regional Dev Fund,71964,Restricted,donation cycle 8
2023-08-24,Anon,259625,Project,donation cycle 3
2024-02-17,Anon,110364,Project,donation cycle 3
2021-05-19,Regional Dev Fund,55056,Project,donation cycle 1
2021-05-11,Regional Dev Fund,115841,Restricted,donation cycle 2
2024-08-16,Hartmann Family Foundation,87045,General,donation cycle 8
2022-09-24,Regional Dev Fund,78918,Restricted,donation cycle 5
2022-05-22,Hartmann Family Foundation,50192,Project,donation cycle 4
2022-03-22,Regional Dev Fund,219605,General,donation cycle 8
2022-06-16,Hartmann Family Foundation,124215,General,donation cycle 1
2023-11-28,Hartmann Family Foundation,27243,Restricted,donation cycle 6
2019-02-23,Biz Assoc,139328,Restricted,donation cycle 4
2021-12-16,Hartmann Family Foundation,277638,Restricted,donation cycle 7
2019-11-04,Hartmann Family Foundation,252346,Project,donation cycle 7
2022-01-16,Biz Assoc,9090,Project,donation cycle 2
2024-03-11,Anon,17153,General,donation cycle 1
2020-11-04,Hartmann Family Foundation,118011,Restricted,donation cycle 8
2024-11-20,Biz Assoc,234187,General,donation cycle 1
2020-01-19,Anon,17487,Project,donation cycle 4
2024-07-08,Anon,183248,General,donation cycle 8
2020-10-07,Biz Assoc,38951,Project,donation cycle 6
2020-08-10,Biz Assoc,175862,Restricted,donation cycle 7
2019-02-05,Biz Assoc,75459,General,donation cycle 5
2019-03-14,Biz Assoc,73511,General,donation cycle 6
2022-02-28,Anon,193617,General,donation cycle 8
2023-10-26,Biz Assoc,30926,General,donation cycle 4
2023-09-23,Regional Dev Fund,223513,General,donation cycle 3
2020-01-16,Biz Assoc,18941,General,donation cycle 3
2020-05-08,Anon,89094,Project,donation cycle 4
2024-06-12,Anon,127061,Project,donation cycle 6
2024-11-21,Biz Assoc,155866,Project,donation cycle 3
2020-10-28,Anon,137573,General,donation cycle 4
2019-02-03,Regional Dev Fund,31759,Restricted,donation cycle 3
2021-08-09,Hartmann Family Foundation,112258,Project,donation cycle 7
2019-12-18,Anon,229060,Restricted,donation cycle 2
2021-07-27,Biz Assoc,200060,Project,donation cycle 5
2024-07-19,Regional Dev Fund,141236,Restricted,donation cycle 3
2019-04-05,Anon,173764,Project,donation cycle 6
2024-06-02,Regional Dev Fund,145295,Restricted,donation cycle 5
2024-02-05,Regional Dev Fund,157924,Restricted,donation cycle 3
2021-02-02,Hartmann Family Foundation,108958,Restricted,donation cycle 8
2021-04-09,Hartmann Family Foundation,69834,Project,donation cycle 6
2022-11-24,Biz Assoc,52045,Restricted,donation cycle 3
2023-06-11,Regional Dev Fund,228904,Project,donation cycle 6
2020-08-06,Anon,151912,General,donation cycle 5
2020-08-23,Regional Dev Fund,13232,Restricted,donation cycle 7
2024-05-20,Regional Dev Fund,85285,Project,donation cycle 1
2021-04-22,Regional Dev Fund,157908,General,donation cycle 2
2023-10-21,Anon,288231,Restricted,donation cycle 8
2019-06-15,Hartmann Family Foundation,187435,Restricted,donation cycle 5
2019-04-22,Hartmann Family Foundation,250177,Restricted,donation cycle 6
2019-06-10,Regional Dev Fund,229660,Project,donation cycle 1
2022-11-02,Regional Dev Fund,54139,General,donation cycle 4
2024-02-27,Hartmann Family Foundation,201596,Restricted,donation cycle 1
2021-10-07,Anon,175665,Project,donation cycle 5
2024-02-14,Biz Assoc,279904,Restricted,donation cycle 6
2022-05-20,Anon,119966,Restricted,donation cycle 5
2023-02-07,Hartmann Family Foundation,231061,Project,donation cycle 6
2021-07-22,Regional Dev Fund,97559,General,donation cycle 7
2023-06-10,Biz Assoc,273961,Project,donation cycle 6
2020-01-06,Hartmann Family Foundation,137783,General,donation cycle 4
2019-12-07,Anon,79008,Restricted,donation cycle 8
2022-12-11,Biz Assoc,33869,Restricted,donation cycle 5
2019-12-10,Biz Assoc,76119,General,donation cycle 2
2022-04-04,Biz Assoc,223852,General,donation cycle 6
2024-11-21,Biz Assoc,25076,Project,donation cycle 6
2023-03-28,Regional Dev Fund,123777,Project,donation cycle 1
2019-07-20,Biz Assoc,67967,Restricted,donation cycle 3
2022-06-26,Regional Dev Fund,22146,Restricted,donation cycle 2
2019-11-26,Regional Dev Fund,31955,Project,donation cycle 1
2019-07-08,Anon,224783,General,donation cycle 6
2019-12-14,Anon,19728,Restricted,donation cycle 3
2021-10-23,Hartmann Family Foundation,6410,Project,donation cycle 7
2020-06-02,Anon,217473,General,donation cycle 2
2020-09-19,Anon,171069,Restricted,donation cycle 2
2023-11-28,Regional Dev Fund,71712,Project,donation cycle 3
2021-12-12,Regional Dev Fund,68497,Project,donation cycle 4
2019-01-15,Hartmann Family Foundation,264037,Project,donation cycle 8
2022-11-26,Hartmann Family Foundation,200848,General,donation cycle 1
2023-03-28,Anon,236310,Restricted,donation cycle 4
2019-06-09,Regional Dev Fund,171239,Project,donation cycle 4
2022-07-04,Anon,67354,Restricted,donation cycle 1
2021-03-24,Biz Assoc,9126,Restricted,donation cycle 1
2022-07-06,Hartmann Family Foundation,252619,Restricted,donation cycle 6
2022-07-02,Regional Dev Fund,31019,Project,donation cycle 4
2019-06-21,Biz Assoc,257893,General,donation cycle 2
2020-11-12,Biz Assoc,259874,Project,donation cycle 2
2023-11-20,Biz Assoc,91299,General,donation cycle 8
2023-04-27,Biz Assoc,289351,Restricted,donation cycle 3
2021-06-20,Anon,27832,Project,donation cycle 3
2024-03-24,Regional Dev Fund,139618,General,donation cycle 7
2024-01-01,Regional Dev Fund,119538,Project,donation cycle 7
2019-02-10,Anon,48986,Restricted,donation cycle 5
2020-08-27,Regional Dev Fund,181262,General,donation cycle 7
2022-08-03,Anon,125214,General,donation cycle 8
2019-07-15,Hartmann Family Foundation,230800,Restricted,donation cycle 8
2021-06-25,Hartmann Family Foundation,224098,Restricted,donation cycle 1
2024-12-09,Anon,184658,Project,donation cycle 6
2020-09-18,Hartmann Family Foundation,143254,General,donation cycle 8
2022-10-14,Biz Assoc,51138,Restricted,donation cycle 3
2020-05-08,Biz Assoc,117227,Project,donation cycle 2
2024-01-07,Hartmann Family Foundation,269160,General,donation cycle 7
2020-02-13,Anon,187209,Restricted,donation cycle 3
2019-02-10,Hartmann Family Foundation,192421,Restricted,donation cycle 2
2021-12-03,Anon,152159,General,donation cycle 6
2024-11-28,Anon,155552,Restricted,donation cycle 4
2020-10-06,Hartmann Family Foundation,55046,General,donation cycle 2
2023-05-02,Biz Assoc,268923,Restricted,donation cycle 6
2020-11-01,Biz Assoc,136979,Restricted,donation cycle 7
2023-09-28,Anon,240953,Restricted,donation cycle 2
2023-06-01,Biz Assoc,134668,Restricted,donation cycle 1
2021-07-17,Regional Dev Fund,222383,Project,donation cycle 3
