deal_id,year,party_a_pct,party_b_pct,irr_realised,duration_months,exit_type
SOLAR-JV-2023-001,2023,55,45,26.3,24,trade_sale
SOLAR-JV-2023-007,2023,60,40,19.8,18,continuation
SOLAR-JV-2024-003,2024,50,50,22.1,18,licensing_out
SOLAR-JV-2024-011,2024,65,35,17.4,24,dissolution
SOLAR-JV-2025-002,2025,55,45,28.7,18,trade_sale
SOLAR-JV-2025-010,2023,53,37,19.7,18,trade_sale
SOLAR-JV-2023-011,2023,56,53,23.9,35,trade_sale
SOLAR-JV-2024-012,2022,46,51,23.0,15,trade_sale
SOLAR-JV-2025-013,2022,49,40,26.6,30,dissolution
SOLAR-JV-2025-014,2023,62,37,23.5,36,dissolution
SOLAR-JV-2022-015,2025,48,55,24.1,12,dissolution
SOLAR-JV-2022-016,2023,49,52,27.6,34,continuation
SOLAR-JV-2022-017,2023,56,47,30.0,16,dissolution
SOLAR-JV-2023-018,2022,50,40,23.5,29,licensing_out
SOLAR-JV-2025-019,2024,51,45,31.1,33,trade_sale
SOLAR-JV-2022-020,2025,63,44,27.5,20,continuation
SOLAR-JV-2022-021,2024,65,54,21.2,26,licensing_out
SOLAR-JV-2025-022,2024,48,41,26.5,18,continuation
SOLAR-JV-2023-023,2024,64,40,28.5,31,licensing_out
SOLAR-JV-2023-024,2024,56,53,24.4,36,dissolution
SOLAR-JV-2023-025,2022,60,39,21.9,15,licensing_out
SOLAR-JV-2024-026,2025,58,43,27.3,21,trade_sale
SOLAR-JV-2023-027,2025,61,36,26.1,15,trade_sale
SOLAR-JV-2024-028,2025,57,40,19.9,16,dissolution
SOLAR-JV-2025-029,2022,45,39,22.4,20,continuation
SOLAR-JV-2025-030,2023,61,45,21.3,35,continuation
SOLAR-JV-2024-031,2023,58,35,24.9,29,licensing_out
SOLAR-JV-2024-032,2022,58,41,26.4,26,dissolution
SOLAR-JV-2024-033,2025,49,38,23.9,13,dissolution
SOLAR-JV-2025-034,2023,60,54,28.8,18,trade_sale
