date,version,mercator_pct,helios_pct,irr_base,irr_upside,capex_eur_m,breakeven_month
2026-01-20,v1,50,50,18.2,24.1,13.8,16
2026-02-14,v2,60,40,21.4,28.6,12.9,15
2026-03-28,v3,55,45,23.9,31.2,12.4,14
2026-02-10,scenario-00,50,51,27.0,25.0,13.3,17
2026-02-14,scenario-01,64,38,15.3,30.5,12.3,15
2026-03-05,scenario-02,59,42,23.9,31.6,12.9,14
2026-03-07,scenario-03,52,51,27.6,24.2,12.6,14
2026-02-14,scenario-04,56,44,20.2,26.4,11.7,13
2026-01-22,scenario-05,60,53,17.4,34.2,11.0,15
2026-01-06,scenario-06,45,47,19.0,29.1,12.2,17
2026-03-12,scenario-07,51,39,20.6,25.3,13.9,16
2026-01-06,scenario-08,59,44,26.1,24.6,15.0,12
2026-03-15,scenario-09,48,39,16.5,25.2,11.5,16
2026-02-07,scenario-10,63,52,23.6,32.0,13.3,14
2026-03-09,scenario-11,48,53,22.0,29.8,11.9,15
2026-03-13,scenario-12,64,45,25.3,27.4,11.3,15
2026-02-21,scenario-13,57,43,19.8,25.0,11.9,18
2026-01-05,scenario-14,45,47,21.4,23.3,12.1,18
2026-03-16,scenario-15,48,55,22.5,24.5,14.4,12
2026-01-23,scenario-16,52,41,19.3,32.4,13.5,12
2026-03-26,scenario-17,50,39,17.3,34.1,15.0,18
2026-02-14,scenario-18,46,50,27.0,22.7,13.8,12
2026-01-18,scenario-19,47,35,20.9,26.3,11.6,17
2026-02-27,scenario-20,56,49,25.5,25.6,13.4,15
2026-02-02,scenario-21,64,42,22.4,23.5,12.2,17
2026-03-05,scenario-22,55,52,20.0,28.3,13.3,18
2026-03-22,scenario-23,64,48,16.3,22.4,14.4,12
2026-01-08,scenario-24,53,52,15.5,25.1,13.2,17
2026-03-09,scenario-25,64,54,21.3,23.2,12.8,18
2026-03-07,scenario-26,47,41,20.5,30.8,12.8,16
2026-01-25,scenario-27,57,44,19.3,32.7,14.4,15
2026-01-22,scenario-28,55,40,18.1,29.3,13.9,13
2026-02-02,scenario-29,53,41,17.9,28.6,12.5,15
