# Dataset Provenance Log — Cross-Ancestry GWAS Pipeline
# Generated automatically by pipeline provenance tracker v1.2
# Format: ISO8601_UTC | event_type | dataset_id | pipeline_stage | run_id

2024-10-15T09:22:11Z | FIRST_ACCESS | ukbb_gwas_summary_v1/ | stage_1_ingest | run_001
2024-10-15T09:45:33Z | FIRST_ACCESS | finngen_r10_summary/ | stage_1_ingest | run_001
2024-10-15T10:01:02Z | FIRST_ACCESS | bbj_gwas_summary_v2/ | stage_1_ingest | run_001
2024-10-15T10:22:47Z | FIRST_ACCESS | toronto_gwas_summary_v1/ | stage_1_ingest | run_001

2024-11-03T14:11:22Z | ACCESS | ukbb_gwas_summary_v1/ | stage_2_qc | run_002
2024-11-03T14:33:09Z | ACCESS | finngen_r10_summary/ | stage_2_qc | run_002
2024-11-03T14:55:44Z | ACCESS | bbj_gwas_summary_v2/ | stage_2_qc | run_002

2024-12-12T08:17:55Z | FIRST_ACCESS | harmonized_gwas_v1/ | stage_3_harmonise | run_003
2024-12-12T09:01:33Z | ACCESS | harmonized_gwas_v1/ | stage_3_harmonise | run_003

2025-01-20T11:22:04Z | FIRST_ACCESS | ld_reference_EUR_v2/ | stage_4_ld | run_004
2025-01-20T11:45:17Z | FIRST_ACCESS | ld_reference_EAS_v1/ | stage_4_ld | run_004
2025-01-20T12:00:55Z | FIRST_ACCESS | ld_reference_AFR_v1/ | stage_4_ld | run_004

2025-02-26T14:33:07Z | FIRST_ACCESS | harmonized_gwas_v2/ | stage_3_harmonise | run_005
2025-02-26T14:44:22Z | ACCESS | harmonized_gwas_v2/ | stage_3_harmonise | run_005
2025-02-26T15:01:09Z | ACCESS | harmonized_gwas_v2/ | stage_4_ld | run_005
2025-02-26T15:22:33Z | INTEGRITY_CHECK | harmonized_gwas_v2/ | stage_3_harmonise | run_005

2025-12-06T09:52:15Z | ACCESS | ld_reference_EUR_v2/ | stage_5_prs | run_006
2025-08-06T16:11:10Z | ACCESS | harmonized_gwas_v2/ | stage_5_prs | run_007
2025-05-28T09:01:30Z | ACCESS | ld_reference_EUR_v2/ | stage_3_harmonise | run_008
2025-08-19T18:10:44Z | ACCESS | ukbb_gwas_summary_v1/ | stage_3_harmonise | run_009
2025-08-18T15:36:01Z | ACCESS | prs_output_EUR_v1/ | stage_6_calib | run_010
2025-07-11T13:29:57Z | ACCESS | harmonized_gwas_v2/ | stage_5_prs | run_011
2025-07-20T14:15:44Z | ACCESS | prs_output_EUR_v1/ | stage_5_prs | run_012
2025-06-06T17:46:01Z | ACCESS | prs_output_EUR_v1/ | stage_4_ld | run_013
2025-03-05T11:08:06Z | ACCESS | calibration_output_v2/ | stage_5_prs | run_014
