# Imagery Analysis Supplement — area-7
Prepared by: Remote Sensing Unit | Supplement ID: RSU-2026-0712-SUPP
Analysis Date: 2026-05-03 | Reference Imagery: T1 (2024-08-12), T2 (2026-04-23)

## Purpose

This supplement provides detailed pixel-level change statistics for the
area-7 ROI (pixel coordinates: x0=140, y0=200, x1=380, y1=420).
The analysis supports the cross-reference validation required under
DB37/T 4122-2021 Section 2.3.

## NDVI Analysis

T1 (2024-08-12) mean NDVI in ROI: 0.612
T2 (2026-04-23) mean NDVI in ROI: 0.487
Delta NDVI: -0.125 (land-use conversion detected)

Changed pixels (Delta NDVI > 0.15 threshold): 14,823 pixels
Unchanged pixels:                             37,577 pixels
Area conversion rate: 13.3 ha (28.3% of ROI)

## Spectral Band Analysis

Band        | T1 mean | T2 mean | Change
------------|---------|---------|-------
Blue (0.45-0.52 um) | 0.083   | 0.112   | +0.029
Green (0.53-0.59 um)| 0.124   | 0.098   | -0.026
Red (0.63-0.69 um)  | 0.156   | 0.231   | +0.075
NIR (0.76-0.90 um)  | 0.412   | 0.321   | -0.091
SWIR1 (1.55-1.75 um)| 0.198   | 0.267   | +0.069

## Object-Based Change Detection

Segmentation (scale 65) identified 38 changed objects in the ROI.
Mean object size: 0.484 ha | Total changed area: 18.4 ha
Shape index mean: 1.82 (elongated, consistent with field boundaries)
Compactness mean: 0.61

## Appendix A: Pixel-Level Statistics (Full ROI, every 2nd pixel)

Row | Col | T1_Blue | T1_Green | T1_Red | T1_NIR | T2_Blue | T2_Green | T2_Red | T2_NIR | Delta_NDVI | Class
----|-----|---------|----------|--------|--------|---------|----------|--------|--------|------------|------
200 | 140 | 0.0654  | 0.1761   | 0.1350 | 0.5588 | 0.0834  | 0.1482   | 0.1660 | 0.5141 | -0.0990    | stable
200 | 142 | 0.1033  | 0.1773   | 0.1863 | 0.4892 | 0.0878  | 0.1905   | 0.2202 | 0.3677 | -0.1975    | changed
200 | 144 | 0.0921  | 0.1505   | 0.1833 | 0.3144 | 0.0959  | 0.1816   | 0.1716 | 0.2018 | -0.1825    | changed
200 | 146 | 0.0631  | 0.1185   | 0.1702 | 0.5614 | 0.0746  | 0.1505   | 0.1885 | 0.4996 | -0.0826    | stable
200 | 148 | 0.1098  | 0.1086   | 0.2134 | 0.4087 | 0.1011  | 0.1189   | 0.1969 | 0.3441 | -0.0418    | stable
200 | 150 | 0.0733  | 0.1443   | 0.1640 | 0.4056 | 0.0945  | 0.1669   | 0.1749 | 0.3485 | -0.0925    | stable
200 | 152 | 0.0962  | 0.1086   | 0.2018 | 0.6118 | 0.0952  | 0.1454   | 0.2338 | 0.4999 | -0.1412    | stable
200 | 154 | 0.0762  | 0.1067   | 0.1614 | 0.4579 | 0.0534  | 0.1086   | 0.1866 | 0.3717 | -0.1473    | stable
200 | 156 | 0.0735  | 0.1447   | 0.1672 | 0.3610 | 0.0642  | 0.1995   | 0.2219 | 0.2196 | -0.3721    | changed
200 | 158 | 0.0813  | 0.1335   | 0.1905 | 0.4966 | 0.0779  | 0.1293   | 0.2258 | 0.3906 | -0.1781    | changed
