# Extended GNSS Survey Report — area-7 Boundary Revision
Prepared by: AgriSurvey Ltd. | Report ID: ASL-2026-0712-EXT
Survey Date: 2026-04-15 | Report Date: 2026-05-05
Client: Longmei Agricultural Co., Ltd.

## Executive Summary

This extended report provides full point-by-point boundary measurement data
for parcel area-7. The survey confirms a net area expansion of 18.1 hectares
relative to the 2024-01-10 cadastral baseline (142.30 ha).
Revised total area: 160.4 ha. This delta (18.1 ha) is within 0.3 ha of the
satellite-derived delta (18.4 ha), which is well within the applicable
tolerance of 0.5 ha under Provincial Standard DB37/T 4122-2021.

## Methodology

Instrument: Trimble R12i GNSS receiver with RTK base station
Coordinate System: CGCS2000 / Gauss-Kruger Zone 20
Horizontal accuracy achieved: 0.018 m (1-sigma)
Vertical accuracy achieved: 0.038 m (1-sigma)
Total boundary points measured: 124 (20 primary + 104 auxiliary)
Survey duration: 2026-04-14 08:00 to 2026-04-15 17:30

## Point-by-Point Data (Primary Boundary, 20 points)

Point ID | Lat        | Lon        | Elev (m) | Acc (m) | Timestamp
---------|------------|------------|----------|---------|----------
GP001      | 34.852  | 118.3265  | 45.34    | 0.021   | 2026-04-15T08:00:00Z
GP002      | 34.853258  | 118.326221  | 45.83    | 0.019   | 2026-04-15T08:15:00Z
GP003      | 34.854389  | 118.325412  | 45.5    | 0.022   | 2026-04-15T08:30:00Z
GP004      | 34.855277  | 118.324154  | 46.02    | 0.019   | 2026-04-15T08:45:00Z
GP005      | 34.855832  | 118.322577  | 45.5    | 0.021   | 2026-04-15T09:00:00Z
GP006      | 34.855998  | 118.320839  | 45.21    | 0.023   | 2026-04-15T09:15:00Z
GP007      | 34.855759  | 118.319118  | 45.26    | 0.02   | 2026-04-15T09:30:00Z
GP008      | 34.855137  | 118.317588  | 46.09    | 0.021   | 2026-04-15T09:45:00Z
GP009      | 34.854197  | 118.316404  | 44.8    | 0.02   | 2026-04-15T10:00:00Z
GP010      | 34.853034  | 118.315687  | 45.19    | 0.018   | 2026-04-15T10:15:00Z
GP011      | 34.851767  | 118.315509  | 45.42    | 0.022   | 2026-04-15T10:30:00Z
GP012      | 34.850522  | 118.315889  | 45.05    | 0.022   | 2026-04-15T10:45:00Z
GP013      | 34.849428  | 118.316788  | 46.06    | 0.021   | 2026-04-15T11:00:00Z
GP014      | 34.848595  | 118.318114  | 45.56    | 0.019   | 2026-04-15T11:15:00Z
GP015      | 34.848108  | 118.319733  | 44.31    | 0.023   | 2026-04-15T11:30:00Z
GP016      | 34.848015  | 118.321481  | 44.77    | 0.019   | 2026-04-15T11:45:00Z
GP017      | 34.848328  | 118.32318  | 45.99    | 0.022   | 2026-04-15T12:00:00Z
GP018      | 34.849013  | 118.324658  | 44.45    | 0.02   | 2026-04-15T12:15:00Z
GP019      | 34.850001  | 118.325764  | 44.69    | 0.019   | 2026-04-15T12:30:00Z
GP020      | 34.851193  | 118.326387  | 44.21    | 0.021   | 2026-04-15T12:45:00Z

## Auxiliary Points (104 points — 5m interval along boundary segments)

AX001      | 34.850043  | 118.319519  | 43.94    | 0.019   | 2026-04-14T13:55:40Z
AX002      | 34.854474  | 118.321835  | 43.7    | 0.019   | 2026-04-14T13:00:03Z
AX003      | 34.8511  | 118.318874  | 46.67    | 0.023   | 2026-04-15T15:38:30Z
AX004      | 34.854897  | 118.322255  | 45.02    | 0.025   | 2026-04-15T09:00:30Z
AX005      | 34.850798  | 118.32461  | 44.65    | 0.023   | 2026-04-14T08:59:34Z
AX006      | 34.853347  | 118.324122  | 46.69    | 0.025   | 2026-04-14T15:46:39Z
AX007      | 34.851834  | 118.323672  | 46.74    | 0.025   | 2026-04-15T15:17:27Z
AX008      | 34.856468  | 118.319689  | 45.09    | 0.023   | 2026-04-15T14:01:48Z
AX009      | 34.850971  | 118.325243  | 44.5    | 0.019   | 2026-04-14T13:39:18Z
AX010      | 34.856077  | 118.316415  | 46.1    | 0.021   | 2026-04-15T14:59:51Z
AX011      | 34.850348  | 118.323047  | 44.67    | 0.025   | 2026-04-14T08:14:30Z
AX012      | 34.847922  | 118.317785  | 45.53    | 0.023   | 2026-04-14T11:12:38Z
AX013      | 34.847715  | 118.32697  | 46.29    | 0.023   | 2026-04-15T08:54:09Z
AX014      | 34.851134  | 118.326833  | 46.46    | 0.019   | 2026-04-14T08:37:49Z
AX015      | 34.849099  | 118.321791  | 45.9    | 0.021   | 2026-04-14T15:55:19Z
AX016      | 34.85668  | 118.324566  | 46.54    | 0.018   | 2026-04-14T15:55:18Z
AX017      | 34.853187  | 118.318575  | 43.71    | 0.021   | 2026-04-15T14:31:48Z
AX018      | 34.851499  | 118.316831  | 43.53    | 0.02   | 2026-04-14T12:06:11Z
AX019      | 34.851145  | 118.315822  | 46.4    | 0.022   | 2026-04-15T13:40:47Z
AX020      | 34.849349  | 118.314328  | 43.51    | 0.021   | 2026-04-15T12:15:19Z
AX021      | 34.853143  | 118.325416  | 45.18    | 0.023   | 2026-04-15T12:14:48Z
AX022      | 34.847423  | 118.316233  | 47.11    | 0.021   | 2026-04-14T11:41:24Z
AX023      | 34.850314  | 118.32534  | 43.37    | 0.02   | 2026-04-14T16:10:50Z
AX024      | 34.856159  | 118.322629  | 46.21    | 0.025   | 2026-04-15T11:49:12Z
AX025      | 34.855733  | 118.32546  | 46.63    | 0.024   | 2026-04-15T14:58:19Z
AX026      | 34.853269  | 118.317284  | 45.87    | 0.026   | 2026-04-15T15:40:25Z
AX027      | 34.856645  | 118.319165  | 44.96    | 0.02   | 2026-04-14T09:10:11Z
AX028      | 34.850837  | 118.320673  | 43.9    | 0.021   | 2026-04-14T09:51:08Z
AX029      | 34.856467  | 118.319799  | 43.79    | 0.025   | 2026-04-14T14:06:57Z
AX030      | 34.852654  | 118.320191  | 43.21    | 0.019   | 2026-04-15T15:13:32Z
AX031      | 34.855522  | 118.316519  | 47.12    | 0.021   | 2026-04-15T11:26:16Z
AX032      | 34.84714  | 118.316366  | 45.13    | 0.026   | 2026-04-14T12:56:19Z
AX033      | 34.855044  | 118.316726  | 45.0    | 0.025   | 2026-04-14T12:38:27Z
AX034      | 34.85571  | 118.32707  | 44.6    | 0.019   | 2026-04-14T14:20:15Z
AX035      | 34.852471  | 118.317926  | 46.5    | 0.023   | 2026-04-15T12:22:01Z
AX036      | 34.849892  | 118.315605  | 46.35    | 0.025   | 2026-04-14T12:03:52Z
AX037      | 34.851176  | 118.318432  | 46.81    | 0.021   | 2026-04-15T12:22:15Z
AX038      | 34.856613  | 118.322341  | 45.33    | 0.022   | 2026-04-14T12:28:19Z
AX039      | 34.847788  | 118.320043  | 44.53    | 0.019   | 2026-04-14T12:08:45Z
AX040      | 34.84877  | 118.325339  | 44.69    | 0.02   | 2026-04-15T12:20:42Z
AX041      | 34.852888  | 118.318363  | 45.57    | 0.019   | 2026-04-15T10:55:09Z
AX042      | 34.856282  | 118.3232  | 44.85    | 0.019   | 2026-04-15T17:10:27Z
AX043      | 34.852324  | 118.316802  | 45.76    | 0.024   | 2026-04-14T17:40:39Z
AX044      | 34.848915  | 118.318718  | 46.09    | 0.026   | 2026-04-15T15:48:46Z
AX045      | 34.850468  | 118.327169  | 43.89    | 0.023   | 2026-04-14T09:35:04Z
AX046      | 34.854431  | 118.326785  | 46.26    | 0.022   | 2026-04-15T16:40:07Z
AX047      | 34.853484  | 118.322557  | 46.06    | 0.024   | 2026-04-15T14:01:51Z
