point_id	area_id	lat	lon	elev_m	accuracy_m	timestamp
GP001	area-7	34.852	118.3265	45.01	0.022	2026-04-15T08:00:00Z
GP002	area-7	34.853258	118.326221	44.56	0.022	2026-04-15T08:15:00Z
GP003	area-7	34.854389	118.325412	45.72	0.023	2026-04-15T08:30:00Z
GP004	area-7	34.855277	118.324154	44.97	0.027	2026-04-15T08:45:00Z
GP005	area-7	34.855832	118.322577	45.28	0.029	2026-04-15T09:00:00Z
GP006	area-7	34.855998	118.320839	45.18	0.024	2026-04-15T09:15:00Z
GP007	area-7	34.855759	118.319118	45.43	0.022	2026-04-15T09:30:00Z
GP008	area-7	34.855137	118.317588	46.0	0.024	2026-04-15T09:45:00Z
GP009	area-7	34.854197	118.316404	44.98	0.027	2026-04-15T10:00:00Z
GP010	area-7	34.853034	118.315687	44.5	0.027	2026-04-15T10:15:00Z
GP011	area-7	34.851767	118.315509	45.9	0.023	2026-04-15T10:30:00Z
GP012	area-7	34.850522	118.315889	46.09	0.025	2026-04-15T10:45:00Z
GP013	area-7	34.849428	118.316788	45.75	0.025	2026-04-15T11:00:00Z
GP014	area-7	34.848595	118.318114	45.01	0.023	2026-04-15T11:15:00Z
GP015	area-7	34.848108	118.319733	44.22	0.022	2026-04-15T11:30:00Z
GP016	area-7	34.848015	118.321481	46.18	0.025	2026-04-15T11:45:00Z
GP017	area-7	34.848328	118.32318	45.12	0.029	2026-04-15T12:00:00Z
GP018	area-7	34.849013	118.324658	45.41	0.03	2026-04-15T12:15:00Z
GP019	area-7	34.850001	118.325764	44.92	0.022	2026-04-15T12:30:00Z
GP020	area-7	34.851193	118.326387	46.04	0.022	2026-04-15T12:45:00Z
