# NetFlow v9 export — period 2026-05-22 18:00 to 2026-05-23 06:00 UTC
# Fields: timestamp|src_ip|dst_ip|src_port|dst_port|proto|bytes|packets|flags
1748000004|10.0.4.159|218.206.91.157|25739|3389|UDP|36585|55|SYN-ACK
1748000009|10.0.8.91|43.47.77.53|8936|8443|UDP|41532|31|RST
1748000018|10.0.4.8|19.74.6.247|20786|8080|UDP|14881|10|RST
1748000027|10.0.7.136|33.124.222.177|48137|25|UDP|5813|13|ACK
1748000034|10.0.10.26|19.74.6.247|18047|53|TCP|39751|45|RST
1748000041|10.0.10.177|43.47.77.53|33440|443|ICMP|35807|45|
1748000050|10.0.5.9|76.190.47.223|23321|443|TCP|1443|1|RST
1748000061|10.0.1.151|62.167.28.211|24432|25|UDP|45740|439|FIN
1748000064|10.0.9.14|41.57.18.19|7248|8080|ICMP|35480|75|SYN-ACK
1748000074|10.0.10.111|33.124.222.177|54841|3389|UDP|61896|45|SYN-ACK
1748000085|10.0.8.106|110.55.148.177|22085|53|TCP|21807|70|FIN
1748000093|10.0.10.111|62.39.17.103|47078|3389|ICMP|62639|49|ACK
1748000100|10.0.9.14|43.47.77.53|24307|22|UDP|3305|6|
1748000105|10.0.7.136|11.246.171.48|55763|80|ICMP|5938|14|ACK
1748000116|10.0.1.175|197.228.132.22|15824|80|UDP|60536|74|
1748000121|10.0.5.9|31.62.59.131|63004|80|UDP|52852|47|SYN
1748000129|10.0.1.4|64.16.96.112|56688|443|UDP|20974|15|SYN-ACK
1748000141|10.0.4.135|19.74.6.247|15418|22|ICMP|62295|53|SYN
1748000144|10.0.4.135|64.16.96.112|30943|3389|TCP|35704|147|ACK
1748000156|10.0.5.9|82.33.101.102|14408|53|ICMP|22907|72|FIN
1748000163|10.0.10.111|19.74.6.247|21429|80|ICMP|47680|41|FIN
1748000172|10.0.5.9|197.228.132.22|10818|25|ICMP|9303|6|SYN-ACK
1748000179|10.0.10.177|197.228.132.22|34971|443|ICMP|2596|1|RST
1748000184|10.0.5.92|114.204.7.164|38720|8443|ICMP|18095|50|SYN
1748000197|10.0.8.106|22.254.171.202|33650|8080|ICMP|14681|38|FIN
1748000203|10.0.7.136|19.74.6.247|61814|443|ICMP|14471|10|SYN
1748000209|10.0.10.111|102.133.182.72|17656|25|ICMP|11574|8|SYN
1748000216|10.0.1.175|197.228.132.22|26272|25|ICMP|30436|31|RST
1748000226|10.0.8.106|31.62.59.131|13874|3389|UDP|47365|607|FIN
1748000236|10.0.7.136|114.204.7.164|30070|53|UDP|7481|8|
1748000244|10.0.10.177|112.101.43.181|10269|80|ICMP|4123|4|SYN-ACK
1748000253|10.0.8.124|76.190.47.223|10732|22|ICMP|44805|389|RST
1748000258|10.0.4.27|160.201.232.208|59090|53|ICMP|7031|7|SYN
1748000268|10.0.5.9|173.28.24.138|46997|443|ICMP|62039|197|SYN-ACK
1748000276|10.0.7.136|114.204.7.164|59863|22|TCP|24082|26|SYN-ACK
1748000283|10.0.8.106|82.33.101.102|47652|25|UDP|22851|21|RST
1748000291|10.0.4.27|95.215.94.143|3182|8080|TCP|2693|2|
1748000296|10.0.8.106|110.55.148.177|9845|8443|UDP|4509|3|ACK
1748000306|10.0.1.4|62.39.17.103|36250|25|ICMP|52038|76|FIN
1748000316|10.0.1.151|102.133.182.72|55633|53|UDP|31699|88|ACK
1748000324|10.0.4.135|2.109.142.198|52950|53|ICMP|8828|122|RST
1748000328|10.0.4.27|45.99.169.200|13993|8080|UDP|31344|65|ACK
1748000340|10.0.1.151|95.215.94.143|31136|8443|ICMP|16359|29|FIN
1748000348|10.0.8.124|220.233.63.160|49181|443|TCP|18152|21|SYN-ACK
1748000353|10.0.1.4|82.33.101.102|49764|80|ICMP|2037|8|SYN
1748000360|10.0.10.177|43.47.77.53|31254|8080|ICMP|41937|60|SYN
1748000373|10.0.5.92|2.109.142.198|5231|25|TCP|45796|71|FIN
1748000379|10.0.4.27|19.74.6.247|35620|25|ICMP|16391|38|RST
1748000389|10.0.3.235|94.30.194.145|42835|53|UDP|17249|38|ACK
1748000392|10.0.4.159|114.204.7.164|27547|80|UDP|2833|2|
