DEPRECATED DEVICE LIST — IntegraTech SmartShield v1/v2
Status: SUPERSEDED by current device registry
Generated: 2024-01-01

MAC: e5:f4:cf:c5:21:79 | Device: geofence zone | Status: decommissioned
MAC: 18:bd:cc:93:09:d1 | Device: network gateway | Status: decommissioned
MAC: 39:59:0c:4c:76:47 | Device: syslog message | Status: decommissioned
MAC: e0:f1:5c:53:02:62 | Device: camera stream | Status: decommissioned
MAC: 9f:b9:b1:3d:64:0e | Device: device tracker | Status: decommissioned
MAC: b6:3f:e3:36:f4:ce | Device: cloud sync payload | Status: decommissioned
MAC: 14:14:0c:ed:77:4b | Device: presence simulation | Status: decommissioned
MAC: 3a:b9:16:e0:cc:63 | Device: entity state | Status: decommissioned
MAC: 3e:4b:23:47:7f:18 | Device: energy monitor | Status: decommissioned
MAC: b7:f1:bb:b1:93:e9 | Device: DHCP lease | Status: decommissioned
MAC: 2f:92:7f:78:f7:ba | Device: integration plugin | Status: decommissioned
MAC: c2:c2:79:7c:3c:5c | Device: dashboard panel | Status: decommissioned
MAC: e9:65:ce:ae:1e:78 | Device: smart lock | Status: decommissioned
MAC: eb:ba:c9:da:66:31 | Device: scene trigger | Status: decommissioned
MAC: a4:79:0b:c8:6c:a1 | Device: syslog message | Status: decommissioned
MAC: 16:ca:9b:52:fa:23 | Device: notification channel | Status: decommissioned
MAC: 1d:0a:7d:08:05:bb | Device: DHCP lease | Status: decommissioned
MAC: 7f:1a:82:f5:bd:c5 | Device: NAT table | Status: decommissioned
MAC: 0c:1b:76:a1:e7:62 | Device: home assistant instance | Status: decommissioned
MAC: 71:4d:eb:24:02:5e | Device: automation rule | Status: decommissioned
MAC: 98:63:1a:54:6c:8c | Device: geofence zone | Status: decommissioned
MAC: e4:a4:80:f8:71:13 | Device: cloud sync payload | Status: decommissioned
MAC: dc:48:7f:7e:5f:b4 | Device: contact sensor | Status: decommissioned
MAC: 5d:84:e7:32:c3:03 | Device: smart lock | Status: decommissioned
MAC: 70:ae:ce:ec:f2:8e | Device: SSID broadcast | Status: decommissioned
MAC: af:0b:70:b5:e3:3e | Device: scene trigger | Status: decommissioned
MAC: 58:d4:98:dc:e0:fe | Device: NAT table | Status: decommissioned
MAC: 27:16:72:40:2e:73 | Device: integration plugin | Status: decommissioned
MAC: ad:c1:c5:09:83:89 | Device: dashboard panel | Status: decommissioned
MAC: e9:8b:ec:0c:72:ad | Device: DHCP lease | Status: decommissioned
MAC: 6e:e7:51:17:06:62 | Device: webhook call | Status: decommissioned
MAC: 69:9d:95:dc:ea:1e | Device: scene trigger | Status: decommissioned
MAC: 96:57:16:34:63:f4 | Device: dashboard panel | Status: decommissioned
MAC: d5:43:ab:3d:e5:e6 | Device: energy monitor | Status: decommissioned
MAC: f6:cb:77:49:33:34 | Device: humidity sensor | Status: decommissioned
MAC: e2:89:fe:e3:6b:7f | Device: home assistant instance | Status: decommissioned
MAC: ec:64:89:8c:ee:35 | Device: camera stream | Status: decommissioned
MAC: 97:5e:05:11:c6:25 | Device: syslog message | Status: decommissioned
MAC: 07:ba:3e:b0:83:72 | Device: syslog message | Status: decommissioned
MAC: 43:ae:76:76:f6:51 | Device: firmware bundle | Status: decommissioned
MAC: d1:96:03:e4:e8:4b | Device: DHCP lease | Status: decommissioned
MAC: f2:da:82:09:be:cb | Device: entity state | Status: decommissioned
MAC: 65:a7:0d:f2:f2:a7 | Device: mDNS advertisement | Status: decommissioned
MAC: e4:94:0c:8b:5c:28 | Device: webhook call | Status: decommissioned
MAC: f6:d1:9d:f5:f3:ba | Device: contact sensor | Status: decommissioned
MAC: 8c:f1:e4:a2:bb:43 | Device: DHCP lease | Status: decommissioned
MAC: 0e:23:7f:8c:1d:c7 | Device: network gateway | Status: decommissioned
MAC: 95:4b:8f:71:2c:32 | Device: camera stream | Status: decommissioned
MAC: 02:2d:0a:c2:85:29 | Device: humidity sensor | Status: decommissioned
MAC: aa:06:0b:ea:98:26 | Device: automation rule | Status: decommissioned
