ticker,company_name,sector,listing_status,delisted_date,notes
BHGE,Baker Hughes GE,Energy,DELISTED,2019-07-01,excluded from backtest universe
FRBK,First Bank Corp,Financials,DELISTED,2020-03-15,excluded from backtest universe
NXPI,NXP Semiconductors (Old),Technology,DELISTED,2020-06-30,excluded from backtest universe
GE,General Electric,Industrials,DELISTED,2021-04-02,excluded from backtest universe
DXC,DXC Technology,Technology,DELISTED,2021-09-15,excluded from backtest universe
ESRX,Express Scripts,Healthcare,DELISTED,2022-01-10,excluded from backtest universe
WDC,Western Digital (Pre-merger),Technology,DELISTED,2022-05-20,excluded from backtest universe
JR,Delta Corp,Materials,ACTIVE,,active constituent
HEC,Omega Corp,Energy,ACTIVE,,active constituent
JACU,Beta Inc,Healthcare,DELISTED,2021-02-08,delisted — excluded from revised universe
NBVE,Alpha Corp,Real Estate,ACTIVE,,active constituent
EY,Gamma Inc,Communication Services,ACTIVE,,active constituent
QF,Delta Group,Healthcare,DELISTED,2019-04-19,delisted — excluded from revised universe
MQL,Beta Group,Communication Services,ACTIVE,,active constituent
PE,Omega Ltd,Materials,DELISTED,2020-02-01,delisted — excluded from revised universe
DBE,Omega Group,Materials,ACTIVE,,active constituent
CDC,Beta Inc,Healthcare,ACTIVE,,active constituent
SWVO,Gamma Ltd,Consumer Discretionary,ACTIVE,,active constituent
NUX,Omega Holdings,Consumer Discretionary,ACTIVE,,active constituent
QUGU,Omega Group,Communication Services,ACTIVE,,active constituent
ULT,Delta Holdings,Technology,ACTIVE,,active constituent
XAWN,Omega Ltd,Technology,ACTIVE,,active constituent
TL,Gamma Group,Materials,DELISTED,2018-02-15,delisted — excluded from revised universe
COOU,Gamma Group,Industrials,ACTIVE,,active constituent
SC,Omega Corp,Utilities,ACTIVE,,active constituent
RA,Alpha Inc,Technology,ACTIVE,,active constituent
EUNL,Alpha Ltd,Communication Services,ACTIVE,,active constituent
JB,Beta Group,Energy,ACTIVE,,active constituent
CI,Beta Inc,Utilities,ACTIVE,,active constituent
SOY,Omega Corp,Financials,ACTIVE,,active constituent
PDLL,Alpha Holdings,Technology,ACTIVE,,active constituent
DAY,Delta Inc,Healthcare,ACTIVE,,active constituent
ZTN,Gamma Holdings,Consumer Discretionary,ACTIVE,,active constituent
HZ,Gamma Group,Technology,ACTIVE,,active constituent
PDW,Alpha Group,Industrials,ACTIVE,,active constituent
LMUO,Beta Corp,Consumer Discretionary,ACTIVE,,active constituent
GJ,Beta Holdings,Communication Services,ACTIVE,,active constituent
VVJ,Alpha Group,Healthcare,DELISTED,2018-08-09,delisted — excluded from revised universe
TT,Delta Inc,Consumer Discretionary,ACTIVE,,active constituent
MMJT,Alpha Inc,Utilities,ACTIVE,,active constituent
FUE,Alpha Ltd,Financials,DELISTED,2018-03-06,delisted — excluded from revised universe
ZX,Alpha Corp,Healthcare,ACTIVE,,active constituent
RM,Beta Holdings,Materials,ACTIVE,,active constituent
QV,Gamma Holdings,Materials,ACTIVE,,active constituent
KUB,Omega Holdings,Financials,ACTIVE,,active constituent
GD,Delta Ltd,Technology,ACTIVE,,active constituent
IMW,Delta Corp,Technology,ACTIVE,,active constituent
MD,Omega Corp,Financials,ACTIVE,,active constituent
TR,Beta Group,Communication Services,DELISTED,2022-07-01,delisted — excluded from revised universe
KN,Omega Inc,Materials,ACTIVE,,active constituent
BAJZ,Omega Inc,Real Estate,ACTIVE,,active constituent
DPV,Alpha Corp,Energy,ACTIVE,,active constituent
JKLN,Beta Holdings,Healthcare,DELISTED,2020-06-09,delisted — excluded from revised universe
KMV,Omega Ltd,Industrials,ACTIVE,,active constituent
KU,Gamma Holdings,Industrials,ACTIVE,,active constituent
NN,Beta Inc,Utilities,ACTIVE,,active constituent
PSYV,Gamma Ltd,Utilities,ACTIVE,,active constituent
JXEH,Omega Ltd,Real Estate,ACTIVE,,active constituent
UE,Gamma Inc,Utilities,ACTIVE,,active constituent
EHOI,Delta Corp,Consumer Discretionary,DELISTED,2021-06-28,delisted — excluded from revised universe
AIYM,Alpha Group,Utilities,ACTIVE,,active constituent
YM,Beta Corp,Technology,ACTIVE,,active constituent
XCV,Omega Group,Materials,ACTIVE,,active constituent
VZ,Alpha Group,Financials,ACTIVE,,active constituent
NG,Beta Group,Communication Services,ACTIVE,,active constituent
ZOJ,Alpha Holdings,Technology,ACTIVE,,active constituent
MU,Gamma Inc,Utilities,ACTIVE,,active constituent
PIQ,Delta Corp,Industrials,ACTIVE,,active constituent
EVKV,Gamma Ltd,Real Estate,ACTIVE,,active constituent
TBKQ,Omega Inc,Healthcare,ACTIVE,,active constituent
NYG,Delta Inc,Utilities,ACTIVE,,active constituent
MHQ,Delta Inc,Healthcare,ACTIVE,,active constituent
ZCM,Alpha Group,Real Estate,ACTIVE,,active constituent
QYE,Beta Inc,Technology,ACTIVE,,active constituent
FT,Beta Group,Healthcare,DELISTED,2021-11-22,delisted — excluded from revised universe
VRHI,Omega Holdings,Real Estate,ACTIVE,,active constituent
VCYC,Omega Holdings,Utilities,DELISTED,2022-01-22,delisted — excluded from revised universe
YK,Omega Corp,Real Estate,ACTIVE,,active constituent
GODS,Delta Group,Technology,ACTIVE,,active constituent
ZDF,Omega Holdings,Consumer Discretionary,ACTIVE,,active constituent
EGR,Delta Corp,Financials,ACTIVE,,active constituent
