date,description,debit_eur,credit_eur,balance_eur
2026-01-10,Hausverwaltung GmbH Nebenkosten,102.28,,9097.72
2026-01-24,Lidl Berlin,152.05,,8945.67
2026-01-08,Deutsche Bank SEPA Transfer,108.96,,8836.71
2026-01-19,Finanzamt Steuererstattung 2025,107.15,,8729.56
2026-01-15,dm Drogerie Markt,197.32,,8532.24
2026-01-01,dm Drogerie Markt,121.63,,8410.61
2026-01-20,Deutsche Bank SEPA Transfer,99.54,,8311.07
2026-02-23,REWE Supermarkt Berlin,141.47,,8169.60
2026-02-26,Deutsche Bank SEPA Transfer,216.64,,7952.96
2026-02-26,Sparkasse Gebühren,145.82,,7807.14
2026-02-09,Berliner Wasserbetriebe,220.37,,7586.77
2026-02-28,Finanzamt Steuererstattung 2025,320.93,,7265.84
2026-02-17,Deutsche Bank SEPA Transfer,289.72,,6976.12
2026-02-16,Finanzamt Steuererstattung 2025,35.01,,6941.11
2026-02-11,dm Drogerie Markt,215.01,,6726.10
2026-02-20,USD Wire Konversion,,1602.70,8328.80
2026-03-05,Sparkasse Gebühren,277.55,,8051.25
2026-03-21,Sparkasse Gebühren,340.69,,7710.56
2026-03-14,Deutsche Bank SEPA Transfer,73.64,,7636.92
2026-03-18,dm Drogerie Markt,264.73,,7372.19
2026-03-17,BVG Monatskarte U-Bahn,297.98,,7074.21
2026-03-12,Deutsche Bank SEPA Transfer,179.57,,6894.64
2026-03-04,Amazon.de Purchase,71.49,,6823.15
2026-03-09,dm Drogerie Markt,250.52,,6572.63
2026-03-20,USD Wire Konversion,,1994.66,8567.29
2026-04-24,Deutsche Bank SEPA Transfer,40.57,,8526.72
2026-04-08,Amazon.de Purchase,218.43,,8308.29
2026-04-12,dm Drogerie Markt,189.50,,8118.79
2026-04-28,Sparkasse Gebühren,298.28,,7820.51
2026-04-16,Finanzamt Steuererstattung 2025,130.40,,7690.11
2026-04-07,dm Drogerie Markt,341.64,,7348.47
2026-04-25,Lidl Berlin,87.27,,7261.20
2026-05-06,Sparkasse Gebühren,54.42,,7206.78
2026-05-01,dm Drogerie Markt,32.56,,7174.22
2026-05-18,ADAC Mitgliedschaft,86.52,,7087.70
2026-05-27,BVG Monatskarte U-Bahn,158.92,,6928.78
2026-05-08,BVG Monatskarte U-Bahn,96.72,,6832.06
2026-05-20,ADAC Mitgliedschaft,267.10,,6564.96
2026-05-20,USD Wire Konversion,,1158.57,7723.53
2026-06-11,ADAC Mitgliedschaft,78.64,,7644.89
2026-06-06,Amazon.de Purchase,262.13,,7382.76
2026-06-09,ADAC Mitgliedschaft,169.68,,7213.08
2026-06-22,dm Drogerie Markt,161.67,,7051.41
2026-06-25,Amazon.de Purchase,30.53,,7020.88
2026-07-06,Lidl Berlin,323.27,,6697.61
2026-07-08,Deutsche Bank SEPA Transfer,90.95,,6606.66
2026-07-12,REWE Supermarkt Berlin,324.58,,6282.08
2026-07-16,dm Drogerie Markt,203.17,,6078.91
2026-07-26,REWE Supermarkt Berlin,70.11,,6008.80
2026-07-03,Deutsche Bank SEPA Transfer,110.41,,5898.39
2026-07-07,Berliner Wasserbetriebe,77.94,,5820.45
2026-08-05,Deutsche Bank SEPA Transfer,127.39,,5693.06
2026-08-07,REWE Supermarkt Berlin,30.52,,5662.54
2026-08-07,dm Drogerie Markt,232.50,,5430.04
2026-08-26,BVG Monatskarte U-Bahn,268.67,,5161.37
2026-09-18,Amazon.de Purchase,78.52,,5082.85
2026-09-06,Berliner Wasserbetriebe,335.03,,4747.82
2026-09-15,Amazon.de Purchase,36.59,,4711.23
2026-09-12,Sparkasse Gebühren,302.75,,4408.48
2026-09-21,Berliner Wasserbetriebe,123.99,,4284.49
2026-09-13,dm Drogerie Markt,333.28,,3951.21
2026-09-12,Hausverwaltung GmbH Nebenkosten,181.48,,3769.73
2026-09-19,ADAC Mitgliedschaft,185.66,,3584.07
2026-10-05,ADAC Mitgliedschaft,278.88,,3305.19
2026-10-11,BVG Monatskarte U-Bahn,201.59,,3103.60
2026-10-23,Lidl Berlin,308.01,,2795.59
2026-10-09,Hausverwaltung GmbH Nebenkosten,140.53,,2655.06
2026-10-28,Lidl Berlin,182.88,,2472.18
2026-10-02,Deutsche Bank SEPA Transfer,102.39,,2369.79
2026-10-08,Amazon.de Purchase,334.04,,2035.75
2026-10-06,dm Drogerie Markt,171.03,,1864.72
2026-11-22,BVG Monatskarte U-Bahn,129.59,,1735.13
2026-11-01,Sparkasse Gebühren,77.53,,1657.60
2026-11-20,REWE Supermarkt Berlin,228.49,,1429.11
2026-11-07,Amazon.de Purchase,301.52,,1127.59
2026-11-22,Sparkasse Gebühren,302.48,,825.11
2026-11-15,REWE Supermarkt Berlin,144.86,,680.25
2026-11-26,Sparkasse Gebühren,170.95,,509.30
2026-11-03,dm Drogerie Markt,135.16,,374.14
2026-12-02,BVG Monatskarte U-Bahn,194.33,,179.81
2026-12-19,Edeka Nordbayern,55.96,,123.85
2026-12-08,Amazon.de Purchase,164.20,,-40.35
2026-12-10,REWE Supermarkt Berlin,339.90,,-380.25
2026-12-22,Edeka Nordbayern,58.81,,-439.06
2026-12-20,USD Wire Konversion,,2067.30,1628.24
