date,description,debit_usd,credit_usd,balance_usd
2026-03-15,Quarterly Dividend Credit,,1280.00,43280.00
2026-04-1,Capital Gain Distribution,,4564.79,47844.79
2026-06-15,Quarterly Dividend Credit,,1280.00,49124.79
2026-06-24,Capital Gain Distribution,,3260.83,52385.62
2026-07-20,Capital Gain Distribution,,3213.32,55598.94
2026-08-16,Capital Gain Distribution,,1044.43,56643.37
2026-09-15,Quarterly Dividend Credit,,1280.00,57923.37
2026-09-3,Capital Gain Distribution,,2800.69,60724.06
2026-09-8,Securities Purchase,2793.03,,57931.03
2026-12-15,Quarterly Dividend Credit,,1280.00,59211.03
