date,description,debit_usd,credit_usd,balance_usd
2026-01-01,Employer ACH Payroll,,8125.00,23125.00
2026-01-15,Employer ACH Payroll,,8125.00,31250.00
2026-01-24,Apple iCloud Storage,89.74,,31160.26
2026-01-07,King County Metro,284.20,,30876.06
2026-01-10,Safeway Seattle,148.80,,30727.26
2026-01-26,PayPal Transfer,131.11,,30596.15
2026-01-14,Target Corporation,127.21,,30468.94
2026-01-06,Kaiser Permanente Insurance,484.93,,29984.01
2026-01-03,PayPal Transfer,262.83,,29721.18
2026-01-10,King County Metro,198.08,,29523.10
2026-01-13,Employer ACH Payroll,451.47,,29071.63
2026-01-10,Venmo Settlement,504.26,,28567.37
2026-01-02,Fidelity Rollover,55.46,,28511.91
2026-01-04,Venmo Settlement,479.51,,28032.40
2026-01-01,Microsoft RSU Vesting,218.64,,27813.76
2026-01-23,PCC Community Markets,421.71,,27392.05
2026-01-13,Employer ACH Payroll,101.62,,27290.43
2026-01-04,Zelle Payment Received,75.98,,27214.45
2026-01-02,Zelle Payment Received,76.60,,27137.85
2026-01-15,King County Metro,213.79,,26924.06
2026-02-01,Employer ACH Payroll,,8125.00,35049.06
2026-02-15,Employer ACH Payroll,,8125.00,43174.06
2026-02-16,Kaiser Permanente Insurance,393.71,,42780.35
2026-02-22,Kaiser Permanente Insurance,250.56,,42529.79
2026-02-20,Schwab Wire Transfer,93.56,,42436.23
2026-02-16,Zelle Payment Received,251.93,,42184.30
2026-02-16,Venmo Settlement,273.66,,41910.64
2026-02-08,Apple iCloud Storage,69.29,,41841.35
2026-02-03,Spotify Premium,429.16,,41412.19
2026-02-13,King County Metro,338.25,,41073.94
2026-02-09,Amazon Prime,202.82,,40871.12
2026-02-13,Amazon Prime,328.81,,40542.31
2026-02-14,Netflix Subscription,446.43,,40095.88
2026-02-14,Amazon Prime,334.90,,39760.98
2026-02-16,REI Co-op Purchase,15.28,,39745.70
2026-02-05,Zelle Payment Received,269.77,,39475.93
2026-02-25,Verizon Wireless,396.87,,39079.06
2026-03-01,Employer ACH Payroll,,8125.00,47204.06
2026-03-15,Employer ACH Payroll,,8125.00,55329.06
2026-03-24,Netflix Subscription,343.67,,54985.39
2026-03-05,Amazon Prime,436.28,,54549.11
2026-03-18,Whole Foods Market,454.24,,54094.87
2026-03-07,REI Co-op Purchase,82.28,,54012.59
2026-03-19,Venmo Settlement,484.30,,53528.29
2026-03-27,Spotify Premium,430.05,,53098.24
2026-03-11,Whole Foods Market,327.06,,52771.18
2026-03-22,King County Metro,253.20,,52517.98
2026-03-17,Kaiser Permanente Insurance,88.67,,52429.31
2026-03-13,REI Co-op Purchase,285.06,,52144.25
2026-03-28,Starbucks Coffee,397.80,,51746.45
2026-03-11,PayPal Transfer,117.78,,51628.67
2026-03-21,Target Corporation,109.99,,51518.68
2026-03-07,Spotify Premium,512.67,,51006.01
2026-03-12,Apple iCloud Storage,389.31,,50616.70
2026-04-01,Employer ACH Payroll,,8125.00,58741.70
2026-04-15,Employer ACH Payroll,,8125.00,66866.70
2026-04-15,Starbucks Coffee,24.36,,66842.34
2026-04-12,REI Co-op Purchase,181.13,,66661.21
2026-04-27,King County Metro,443.98,,66217.23
2026-04-19,Spotify Premium,404.82,,65812.41
2026-04-15,Zelle Payment Received,231.50,,65580.91
2026-04-19,Whole Foods Market,511.53,,65069.38
2026-04-07,Employer ACH Payroll,247.36,,64822.02
2026-04-15,Whole Foods Market,47.75,,64774.27
2026-04-11,Kaiser Permanente Insurance,490.27,,64284.00
2026-04-04,Microsoft RSU Vesting,101.52,,64182.48
2026-04-28,PayPal Transfer,133.55,,64048.93
2026-04-16,Puget Sound Energy,77.06,,63971.87
2026-04-11,Apple iCloud Storage,453.62,,63518.25
