date,description,debit_usd,credit_usd,balance_usd
2026-01-01,Monthly Interest Credit,,175.00,95175.00
2026-01-22,Investment Purchase,1346.86,,93828.14
2026-02-01,Monthly Interest Credit,,175.00,94003.14
2026-02-15,Transfer from Checking,,2968.75,96971.89
2026-03-01,Monthly Interest Credit,,175.00,97146.89
2026-03-15,Transfer from Checking,,4026.26,101173.15
2026-04-01,Monthly Interest Credit,,175.00,101348.15
2026-05-01,Monthly Interest Credit,,175.00,101523.15
2026-05-15,Transfer from Checking,,4173.40,105696.55
2026-06-01,Monthly Interest Credit,,175.00,105871.55
2026-07-01,Monthly Interest Credit,,175.00,106046.55
2026-07-24,Investment Purchase,1708.33,,104338.22
2026-08-01,Monthly Interest Credit,,175.00,104513.22
2026-09-01,Monthly Interest Credit,,175.00,104688.22
2026-10-01,Monthly Interest Credit,,175.00,104863.22
2026-10-15,Transfer from Checking,,4717.83,109581.05
2026-11-01,Monthly Interest Credit,,175.00,109756.05
2026-11-15,Transfer from Checking,,3080.35,112836.40
2026-12-01,Monthly Interest Credit,,175.00,113011.40
