order_id,customer_id,symbol,side,qty,fill_price,fill_ts_utc,dispatch_ts_raw,dispatch_tz_stated,dispatch_ts_utc_normalized,settlement_status,customer_loss_usd
ORD-00001001,CX-002,CNTECH,SELL,4547,172.93,2026-03-27T23:08:32Z,2026-03-28T07:08:32+08:00,UTC,2026-03-27T23:08:32Z,FAILED,598.48
ORD-00001002,CX-003,CNTECH,SELL,6308,11.35,2026-03-27T23:08:41Z,2026-03-27T19:08:41-04:00,UTC,2026-03-27T23:08:41Z,PENDING_RESUBMIT,0.00
ORD-00001003,CX-001,TWSMC,SELL,7287,184.63,2026-03-27T23:09:06Z,2026-03-28T07:09:06+08:00,UTC,2026-03-27T23:09:06Z,FAILED,892.25
ORD-00001004,CX-001,TWSMC,BUY,3112,132.55,2026-03-27T23:10:20Z,2026-03-28T07:10:20+08:00,UTC,2026-03-27T23:10:20Z,PENDING_RESUBMIT,0.00
ORD-00001005,CX-005,AUHLD,BUY,5645,61.08,2026-03-27T23:10:58Z,2026-03-28T07:10:58+08:00,UTC,2026-03-27T23:10:58Z,PENDING_RESUBMIT,0.00
ORD-00001006,CX-001,HKFIN,SELL,5002,150.46,2026-03-27T23:11:04Z,2026-03-28T07:11:04+08:00,UTC,2026-03-27T23:11:04Z,PENDING_RESUBMIT,0.00
ORD-00001007,CX-003,CNTECH,BUY,2446,15.27,2026-03-27T23:11:07Z,2026-03-27T19:11:07-04:00,UTC,2026-03-27T23:11:07Z,FAILED,696.37
ORD-00001008,CX-001,SGEX,SELL,2492,38.71,2026-03-27T23:11:14Z,2026-03-28T07:11:14+08:00,UTC,2026-03-27T23:11:14Z,PENDING_RESUBMIT,0.00
ORD-00001009,CX-001,TWSMC,BUY,580,224.46,2026-03-27T23:11:26Z,2026-03-28T07:11:26+08:00,UTC,2026-03-27T23:11:26Z,FAILED,772.46
ORD-00001010,CX-001,HKFIN,BUY,5600,114.42,2026-03-27T23:12:08Z,2026-03-28T07:12:08+08:00,UTC,2026-03-27T23:12:08Z,FAILED,732.15
ORD-00001011,CX-001,KRSEC,BUY,517,165.57,2026-03-27T23:12:13Z,2026-03-28T07:12:13+08:00,UTC,2026-03-27T23:12:13Z,FAILED,713.56
