audit_id,user_id,detection_date,variant,assigned_group,detection_method,bot_score,request_rate_per_min,session_duration_sec,page_views_per_session,ip_address_hash,user_agent_type,is_datacenter_ip,headless_browser_detected,cookie_consistency_score,mouse_movement_score,click_pattern_score,referrer_type,action_taken,final_disposition
AUDIT-EXP003-00001,u_exp003_ctrl_000001,2023-09-25,control,control,honeypot_trigger,0.8244,324.45,11,3,ip_137cb,legitimate_browser,0,0,0.1533,0.129,0.1602,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00002,u_exp003_ctrl_000002,2023-10-03,control,control,ml_classifier,0.7436,100.58,8,3,ip_0fce5,headless_chrome,1,1,0.3802,0.1968,0.3943,direct,flagged_pending,confirmed_bot
AUDIT-EXP003-00003,u_exp003_ctrl_000003,2023-10-25,control,control,rate_limiting,0.8255,365.46,5,4,ip_0af4b,scrapy,1,0,0.1838,0.2764,0.3764,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00004,u_exp003_ctrl_000004,2023-10-15,control,control,captcha_fail,0.8034,234.36,5,3,ip_13490,python_requests,1,0,0.2297,0.1218,0.401,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00005,u_exp003_ctrl_000005,2023-10-11,control,control,ml_classifier,0.865,364.01,6,4,ip_04d23,headless_chrome,1,1,0.3023,0.1664,0.1271,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00006,u_exp003_ctrl_000006,2023-10-30,control,control,rate_limiting,0.8575,170.66,7,3,ip_03219,python_requests,1,0,0.2383,0.0205,0.2146,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00007,u_exp003_ctrl_000007,2023-09-29,control,control,rate_limiting,0.9068,349.67,3,3,ip_0ef00,headless_chrome,1,1,0.2973,0.2056,0.3707,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00008,u_exp003_ctrl_000008,2023-10-02,control,control,behavioral_analysis,0.8836,219.57,12,2,ip_0c26f,headless_chrome,1,1,0.2217,0.3012,0.2086,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00009,u_exp003_ctrl_000009,2023-10-09,control,control,honeypot_trigger,0.9749,195.14,8,3,ip_07fa2,headless_chrome,1,1,0.3176,0.2496,0.2035,direct,flagged_pending,confirmed_bot
AUDIT-EXP003-00010,u_exp003_ctrl_000010,2023-10-07,control,control,behavioral_analysis,0.768,180.19,10,1,ip_16c2c,unknown_bot,0,0,0.4065,0.3022,0.1098,bot_farm,quarantined,confirmed_bot
