date,variant,users_cleaned,bot_removed,paid_conversion_rate,paid_conversions,revenue_per_visitor,total_revenue,plan_pct_basic,plan_pct_pro,plan_pct_enterprise,time_on_page_avg_sec,time_on_page_p50_sec,time_on_page_p95_sec,support_chat_rate,free_trial_rate,scroll_depth_avg,cta_click_rate,avg_order_value,sessions,mobile_pct,desktop_pct,new_user_pct,cumulative_users,cumulative_p_value
2023-09-15,control,207,28,0.0399,8,1.2615,261.13,0.3766,0.4512,0.1722,74.1,55.9,151.4,0.0481,0.0942,0.538,0.2066,78.73,209,0.426,0.5238,0.4609,207,0.2828
2023-09-15,v1_simplified,263,0,0.0444,11,1.6489,433.66,0.3916,0.5045,0.1039,124.2,95.9,273.9,0.0246,0.0418,0.5423,0.1069,82.72,267,0.5174,0.4525,0.39,263,0.3104
2023-09-15,v2_social_proof,240,0,0.0476,11,1.4427,346.25,0.3262,0.4015,0.2723,96.7,81.5,210.9,0.0524,0.1067,0.629,0.1841,77.03,243,0.4153,0.5506,0.4892,240,0.2964
2023-09-16,control,224,30,0.0428,9,0.8738,195.73,0.417,0.4425,0.1405,121.3,101.7,252.4,0.0231,0.0759,0.6365,0.172,55.82,225,0.4335,0.5417,0.4064,431,0.3144
2023-09-16,v1_simplified,268,0,0.0506,13,1.2662,339.34,0.3274,0.4735,0.1991,90.8,78.9,163.3,0.0562,0.0465,0.5421,0.1359,86.0,273,0.5067,0.4421,0.4427,531,0.318
2023-09-16,v2_social_proof,258,0,0.0489,12,1.2383,319.48,0.399,0.4416,0.1594,92.8,76.2,150.3,0.049,0.0466,0.5338,0.1087,91.14,259,0.4723,0.4925,0.384,498,0.2971
2023-09-17,control,212,28,0.0445,9,0.9568,202.84,0.3587,0.4767,0.1646,111.4,96.5,194.4,0.0457,0.1009,0.5811,0.1229,72.9,216,0.4399,0.5073,0.4039,643,0.2988
2023-09-17,v1_simplified,265,0,0.0462,12,1.5427,408.82,0.441,0.4102,0.1488,107.9,79.4,204.9,0.056,0.0822,0.586,0.103,65.6,268,0.4413,0.5279,0.4249,796,0.3127
2023-09-17,v2_social_proof,255,0,0.0509,12,0.8648,220.52,0.4627,0.3996,0.1377,72.5,55.1,162.0,0.03,0.1036,0.793,0.127,89.04,258,0.4415,0.528,0.4811,753,0.3086
2023-09-18,control,210,28,0.0443,9,1.052,220.92,0.3773,0.4737,0.149,73.7,57.0,158.6,0.0558,0.1058,0.6497,0.1343,85.78,212,0.4703,0.4698,0.328,853,0.3242
2023-09-18,v1_simplified,239,0,0.0412,9,1.727,412.75,0.3769,0.4473,0.1758,111.2,87.1,238.4,0.0385,0.088,0.5231,0.2066,70.93,244,0.4792,0.4732,0.3469,1035,0.2937
2023-09-18,v2_social_proof,260,0,0.0494,12,1.7418,452.87,0.4227,0.4768,0.1005,92.0,75.4,161.2,0.04,0.0699,0.5869,0.1834,77.67,265,0.4276,0.5368,0.4998,1013,0.2761
2023-09-19,control,216,29,0.0469,10,1.311,283.18,0.4661,0.4756,0.0583,86.7,64.8,162.5,0.0418,0.0457,0.7442,0.0971,86.68,217,0.4785,0.4799,0.4407,1069,0.3252
2023-09-19,v1_simplified,260,0,0.0446,11,1.4944,388.54,0.3393,0.4183,0.2424,73.3,53.4,125.8,0.05,0.0738,0.645,0.1523,79.28,261,0.4646,0.4936,0.3628,1295,0.2918
2023-09-19,v2_social_proof,267,0,0.0422,11,1.4294,381.65,0.4014,0.4964,0.1022,60.2,52.3,123.8,0.0692,0.0744,0.5777,0.1505,55.23,268,0.4396,0.5323,0.4938,1280,0.3215
2023-09-20,control,213,29,0.0469,9,1.2604,268.47,0.3905,0.4761,0.1334,103.1,90.0,176.7,0.0683,0.0962,0.6399,0.1446,79.62,216,0.4511,0.5012,0.4633,1282,0.3173
2023-09-20,v1_simplified,235,0,0.0495,11,1.319,309.96,0.3503,0.4027,0.247,80.5,67.9,148.0,0.0628,0.0749,0.6165,0.175,69.51,238,0.4899,0.483,0.3302,1530,0.3447
2023-09-20,v2_social_proof,251,0,0.0454,11,1.156,290.16,0.4265,0.4953,0.0782,121.9,98.5,257.6,0.0303,0.0832,0.6798,0.099,64.76,256,0.4099,0.5325,0.5037,1531,0.3239
