study_id,paper_doi,condition,participant_id,dv_primary,dv_secondary,manipulation_check,age,gender,education,session_date,response_time_ms,attrition_flag,note
S0001,10.1073/pnas.1209746109,control,P00001,4.471,3.578,3.94,18,NB,PhD,2019-12-06,248057,0,upd1_extended_row_1
S0002,10.1037/pspa0000226,treatment_a,P00002,3.052,3.948,6.15,25,F,PhD,2019-06-21,603381,0,upd1_extended_row_2
S0003,10.1177/0956797614520714,treatment_b,P00003,5.445,3.55,4.72,26,M,PhD,2019-03-28,975748,0,upd1_extended_row_3
S0004,10.1073/pnas.1209746109,treatment_b,P00004,2.588,4.007,6.18,38,M,BA,2019-09-21,1176119,0,upd1_extended_row_4
S0005,10.1073/pnas.1209746109,treatment_b,P00005,5.615,3.679,5.44,55,NB,MA,2019-05-07,623058,0,upd1_extended_row_5
S0006,10.1177/0956797615575277,treatment_a,P00006,5.682,2.999,4.74,34,NB,Other,2019-06-17,188103,0,upd1_extended_row_6
S0007,10.1177/0956797614520714,treatment_a,P00007,4.387,3.469,5.68,37,F,HS,2019-05-21,1703701,0,upd1_extended_row_7
S0008,10.1177/0956797614520714,control,P00008,4.245,1.938,4.77,61,NB,PhD,2019-04-16,2188825,0,upd1_extended_row_8
S0009,10.1073/pnas.1209746109,control,P00009,3.192,3.745,6.63,36,NB,PhD,2019-01-01,236939,0,upd1_extended_row_9
S0010,10.1177/0956797615575277,treatment_b,P00010,5.627,4.011,4.42,26,M,HS,2019-12-15,963458,1,upd1_extended_row_10
S0011,10.1177/0956797615575277,control,P00011,3.095,4.073,4.57,19,M,PhD,2019-08-02,628034,0,upd1_extended_row_11
S0012,10.1073/pnas.1209746109,control,P00012,4.425,2.408,4.81,44,M,HS,2019-02-21,1112560,0,upd1_extended_row_12
S0013,10.1177/0956797614520714,treatment_b,P00013,4.69,2.883,3.84,33,NB,MA,2019-07-06,1765058,0,upd1_extended_row_13
S0014,10.1073/pnas.1209746109,control,P00014,4.968,5.232,5.35,51,M,HS,2019-01-08,2236306,0,upd1_extended_row_14
S0015,10.1073/pnas.1209746109,control,P00015,4.851,2.963,5.44,27,F,PhD,2019-06-16,587429,0,upd1_extended_row_15
