hostname,ip,env,os_version,ssh_version_before,ssh_version_after,patch_date,patch_method,patch_package,patch_status,applied_by,ticket_id,notes
host-p0001.internal.example.com,10.54.108.139,prod,RHEL 9.4,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-09T16:34:00Z,manual,openssh-8.9p1-3ubuntu0.7,patched,alice.wang,SEC-2024-1000,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0002.internal.example.com,10.58.242.210,prod,RHEL 8.10,OpenSSH_8.7p1,OpenSSH_8.7p1,2024-07-10T08:19:00Z,ansible_playbook,N/A,pending,alice.wang,SEC-2024-1001,CVE-2024-6387 remediation — pending patch
host-p0003.internal.example.com,10.53.224.124,prod,Debian 12,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-03T12:49:00Z,dnf_update,openssh-8.0p1-19.el8_10.1,patched,bob.zhang,SEC-2024-1002,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0004.internal.example.com,10.26.98.172,prod,Debian 12,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-10T17:07:00Z,dnf_update,openssh-9.8p1,patched,ansible-automation,SEC-2024-1003,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0005.internal.example.com,10.26.71.105,prod,Ubuntu 22.04.4,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-10T00:38:00Z,dnf_update,openssh-8.9p1-3ubuntu0.7,patched,ansible-automation,SEC-2024-1004,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0006.internal.example.com,10.57.172.190,prod,Debian 12,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-05T05:59:00Z,dnf_update,openssh-9.8p1,patched,sre-user,SEC-2024-1005,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0007.internal.example.com,10.32.138.202,prod,RHEL 8.10,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-10T09:24:00Z,ansible_playbook,openssh-8.0p1-19.el8_10.1,patched,bob.zhang,SEC-2024-1006,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0008.internal.example.com,10.10.88.39,prod,Ubuntu 22.04.4,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-07T06:05:00Z,dnf_update,openssh-8.7p1-38.el9_4.1,patched,ansible-automation,SEC-2024-1007,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0009.internal.example.com,10.26.150.193,prod,RHEL 8.10,OpenSSH_8.9p1,OpenSSH_8.9p1,2024-07-08T00:27:00Z,dnf_update,N/A,pending,ansible-automation,SEC-2024-1008,CVE-2024-6387 remediation — pending patch
host-p0010.internal.example.com,10.7.130.146,prod,RHEL 9.4,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-05T23:53:00Z,ansible_playbook,openssh-8.0p1-19.el8_10.1,patched,sre-user,SEC-2024-1009,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0011.internal.example.com,10.23.178.101,prod,RHEL 9.4,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-10T05:15:00Z,dnf_update,openssh-9.8p1,patched,sre-user,SEC-2024-1010,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0012.internal.example.com,10.73.160.221,prod,RHEL 8.10,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-08T05:30:00Z,automated_cron,openssh-8.0p1-19.el8_10.1,patched,alice.wang,SEC-2024-1011,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0013.internal.example.com,10.23.181.236,prod,RHEL 8.10,OpenSSH_9.3p2,OpenSSH_9.3p2,2024-07-06T08:33:00Z,ansible_playbook,N/A,pending,alice.wang,SEC-2024-1012,CVE-2024-6387 remediation — pending patch
host-p0014.internal.example.com,10.20.35.142,prod,Debian 12,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-03T21:26:00Z,automated_cron,openssh-8.9p1-3ubuntu0.7,patched,ansible-automation,SEC-2024-1013,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0015.internal.example.com,10.53.63.111,prod,Debian 12,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-08T05:02:00Z,automated_cron,openssh-8.0p1-19.el8_10.1,patched,alice.wang,SEC-2024-1014,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
