symbol,date,open,high,low,close,volume,vwap,vwap_vs_close_diff,notes
NQ,2024-11-14,5934.26,6006.01,5880.11,5958.84,938617,5944.81,-14.03,VWAP reference for TCA analysis
NQ,2024-11-02,4978.15,4999.14,4896.94,4947.91,4734657,4955.53,7.62,VWAP reference for TCA analysis
YM,2024-11-13,5776.15,5821.62,5663.23,5730.2,2606966,5747.8,17.6,VWAP reference for TCA analysis
YM,2024-11-14,5727.14,5733.42,5627.62,5654.89,1444197,5685.77,30.88,VWAP reference for TCA analysis
YM,2024-11-09,5607.59,5615.1,5510.2,5575.11,2610899,5577.0,1.89,VWAP reference for TCA analysis
NQ,2024-11-07,5760.62,5858.37,5680.78,5846.86,1315317,5786.66,-60.2,VWAP reference for TCA analysis
ES,2024-11-01,4552.65,4641.16,4541.98,4567.5,135167,4575.82,8.32,VWAP reference for TCA analysis
YM,2024-11-04,5283.21,5333.91,5239.44,5300.8,1593607,5289.34,-11.46,VWAP reference for TCA analysis
NQ,2024-11-22,4919.43,5001.67,4847.6,4998.7,741466,4941.85,-56.85,VWAP reference for TCA analysis
NQ,2024-11-28,5719.26,5774.2,5698.46,5752.51,1178742,5736.11,-16.4,VWAP reference for TCA analysis
RTY,2024-11-11,4701.34,4739.51,4622.88,4687.77,4352490,4687.88,0.11,VWAP reference for TCA analysis
RTY,2024-11-28,5800.76,5803.44,5791.32,5797.46,2984739,5798.24,0.78,VWAP reference for TCA analysis
ES,2024-11-15,4714.96,4737.9,4682.11,4721.12,1938187,4714.02,-7.1,VWAP reference for TCA analysis
NQ,2024-11-26,4871.32,4898.66,4811.86,4841.95,2834699,4855.95,14.0,VWAP reference for TCA analysis
RTY,2024-11-15,5692.88,5696.04,5624.17,5675.19,4088670,5672.07,-3.12,VWAP reference for TCA analysis
NQ,2024-11-13,4619.57,4622.03,4576.36,4603.65,4018905,4605.4,1.75,VWAP reference for TCA analysis
RTY,2024-11-23,5643.13,5707.74,5532.54,5567.46,308715,5612.72,45.26,VWAP reference for TCA analysis
