order_id,event_time_utc,instrument,side,qty,price,venue,settlement_date_system,settlement_date_correct,utc_offset_system,utc_offset_correct
ORD-0020241103000000,2024-11-03T14:00:00Z,ESZ4,BUY,7,4573.57,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000001,2024-11-03T14:00:03Z,NQZ4,SELL,10,4579.39,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000002,2024-11-03T14:00:06Z,ESZ4,SELL,4,4551.85,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000003,2024-11-03T14:00:09Z,ESZ4,BUY,6,4543.01,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000004,2024-11-03T14:00:12Z,NQZ4,BUY,2,4574.56,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000005,2024-11-03T14:00:15Z,ESZ4,SELL,3,4563.69,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000006,2024-11-03T14:00:18Z,ESZ4,BUY,5,4541.42,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000007,2024-11-03T14:00:21Z,ESZ4,SELL,5,4544.34,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000008,2024-11-03T14:00:24Z,ESZ4,SELL,4,4575.0,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000009,2024-11-03T14:00:27Z,ESZ4,BUY,9,4572.78,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000010,2024-11-03T14:00:30Z,ESZ4,BUY,2,4571.34,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000011,2024-11-03T14:00:33Z,ESZ4,BUY,4,4589.67,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000012,2024-11-03T14:00:36Z,NQZ4,SELL,3,4574.96,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000013,2024-11-03T14:00:39Z,NQZ4,SELL,2,4552.44,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000014,2024-11-03T14:00:42Z,ESZ4,SELL,1,4545.64,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000015,2024-11-03T14:00:45Z,ESZ4,BUY,5,4582.35,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000016,2024-11-03T14:00:48Z,NQZ4,BUY,7,4560.55,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000017,2024-11-03T14:00:51Z,ESZ4,BUY,4,4571.17,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000018,2024-11-03T14:00:54Z,NQZ4,SELL,9,4540.3,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000019,2024-11-03T14:00:57Z,ESZ4,SELL,4,4581.28,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000020,2024-11-03T14:01:00Z,NQZ4,SELL,9,4560.38,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000021,2024-11-03T14:01:03Z,NQZ4,SELL,6,4545.6,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000022,2024-11-03T14:01:06Z,ESZ4,SELL,6,4574.69,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000023,2024-11-03T14:01:09Z,ESZ4,SELL,9,4541.78,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000024,2024-11-03T14:01:12Z,ESZ4,BUY,6,4577.85,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000025,2024-11-03T14:01:15Z,NQZ4,SELL,10,4576.91,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000026,2024-11-03T14:01:18Z,ESZ4,SELL,8,4579.44,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000027,2024-11-03T14:01:21Z,NQZ4,BUY,7,4579.72,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000028,2024-11-03T14:01:24Z,ESZ4,BUY,2,4558.61,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000029,2024-11-03T14:01:27Z,NQZ4,BUY,1,4566.74,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000030,2024-11-03T14:01:30Z,NQZ4,BUY,1,4557.88,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000031,2024-11-03T14:01:33Z,NQZ4,BUY,5,4588.19,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000032,2024-11-03T14:01:36Z,ESZ4,BUY,6,4576.79,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000033,2024-11-03T14:01:39Z,NQZ4,SELL,9,4580.6,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000034,2024-11-03T14:01:42Z,ESZ4,SELL,7,4555.32,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000035,2024-11-03T14:01:45Z,NQZ4,BUY,9,4546.22,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000036,2024-11-03T14:01:48Z,ESZ4,BUY,7,4552.12,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000037,2024-11-03T14:01:51Z,ESZ4,BUY,1,4557.94,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000038,2024-11-03T14:01:54Z,ESZ4,BUY,4,4545.02,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000039,2024-11-03T14:01:57Z,ESZ4,SELL,4,4541.71,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000040,2024-11-03T14:02:00Z,ESZ4,SELL,8,4580.75,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000041,2024-11-03T14:02:03Z,NQZ4,BUY,7,4546.88,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000042,2024-11-03T14:02:06Z,ESZ4,BUY,9,4564.63,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000043,2024-11-03T14:02:09Z,ESZ4,BUY,2,4584.36,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000044,2024-11-03T14:02:12Z,ESZ4,SELL,2,4569.89,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000045,2024-11-03T14:02:15Z,NQZ4,SELL,7,4589.5,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000046,2024-11-03T14:02:18Z,NQZ4,BUY,7,4578.54,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000047,2024-11-03T14:02:21Z,ESZ4,SELL,2,4569.25,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000048,2024-11-03T14:02:24Z,NQZ4,BUY,3,4572.74,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000049,2024-11-03T14:02:27Z,ESZ4,SELL,7,4559.31,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000050,2024-11-03T14:02:30Z,ESZ4,BUY,6,4579.3,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000051,2024-11-03T14:02:33Z,NQZ4,SELL,3,4571.75,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000052,2024-11-03T14:02:36Z,ESZ4,BUY,4,4558.82,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000053,2024-11-03T14:02:39Z,NQZ4,SELL,2,4544.37,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000054,2024-11-03T14:02:42Z,ESZ4,SELL,4,4576.59,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000055,2024-11-03T14:02:45Z,NQZ4,SELL,3,4544.58,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000056,2024-11-03T14:02:48Z,ESZ4,BUY,1,4556.05,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000057,2024-11-03T14:02:51Z,ESZ4,BUY,1,4570.88,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000058,2024-11-03T14:02:54Z,ESZ4,SELL,6,4552.86,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000059,2024-11-03T14:02:57Z,ESZ4,SELL,8,4578.62,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000060,2024-11-03T14:03:00Z,NQZ4,BUY,5,4559.07,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000061,2024-11-03T14:03:03Z,ESZ4,SELL,3,4551.69,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000062,2024-11-03T14:03:06Z,NQZ4,SELL,4,4565.62,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000063,2024-11-03T14:03:09Z,NQZ4,SELL,10,4567.79,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000064,2024-11-03T14:03:12Z,ESZ4,BUY,9,4571.02,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000065,2024-11-03T14:03:15Z,NQZ4,BUY,7,4575.84,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000066,2024-11-03T14:03:18Z,NQZ4,SELL,3,4577.29,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000067,2024-11-03T14:03:21Z,NQZ4,SELL,9,4568.44,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000068,2024-11-03T14:03:24Z,NQZ4,BUY,2,4570.86,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000069,2024-11-03T14:03:27Z,ESZ4,SELL,7,4543.81,CME,2024-11-04,2024-11-04,-04:00,-05:00
ORD-0020241103000070,2024-11-03T14:03:30Z,NQZ4,SELL,3,4577.74,CME,2024-11-04,2024-11-04,-04:00,-05:00
