VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,improvement_surcharge,tip_amount,tolls_amount,total_amount,congestion_surcharge,airport_fee
2,2023-01-01 23:17:00,2023-01-01 23:17:00,1,13.44,1,Y,217,17,1,11.04,0.0,0.5,0.3,6.73,6.55,27.62,2.5,0.0
1,2023-01-26 00:48:00,2023-01-26 01:48:00,1,3.14,4,N,173,53,1,8.35,1.0,0.5,0.3,3.17,0.0,17.07,2.5,1.25
6,2023-01-13 02:35:00,2023-01-13 03:35:00,3,6.76,1,Y,36,24,1,24.4,0.0,0.5,0.3,10.4,0.0,38.1,2.5,0.0
1,2023-01-12 06:42:00,2023-01-12 07:42:00,1,11.12,1,N,126,84,1,12.01,1.0,0.5,0.3,6.68,6.55,29.54,2.5,0.0
2,2023-01-26 10:25:00,2023-01-26 11:25:00,4,15.82,1,Y,256,203,2,20.42,0.0,0.5,0.3,0.0,0.0,24.97,2.5,1.25
2,2023-01-13 11:14:00,2023-01-13 12:14:00,1,13.7,1,Y,79,82,2,15.1,0.5,0.5,0.3,0.0,6.55,26.7,2.5,1.25
6,2023-01-28 00:43:00,2023-01-28 01:43:00,1,5.1,1,N,58,151,1,15.79,1.0,0.5,0.3,3.16,6.55,28.55,0.0,1.25
2,2023-01-10 20:32:00,2023-01-10 21:32:00,1,9.89,1,Y,1,166,1,8.75,0.5,0.5,0.3,2.87,0.0,12.92,0.0,0.0
2,2023-01-25 17:49:00,2023-01-25 18:49:00,4,3.31,1,Y,217,109,2,23.8,1.0,0.5,0.3,0.0,0.0,29.35,2.5,1.25
1,2023-01-17 14:07:00,2023-01-17 15:07:00,1,10.15,1,Y,4,37,1,7.17,0.0,0.5,0.3,10.32,0.0,18.29,0.0,0.0
1,2023-01-05 23:59:00,2023-01-05 23:59:00,1,8.72,1,Y,49,50,1,13.68,1.0,0.5,0.3,0.65,6.55,22.68,0.0,0.0
2,2023-01-26 03:15:00,2023-01-26 04:15:00,1,3.63,1,N,39,227,2,27.57,1.0,0.5,0.3,0.0,6.55,35.92,0.0,0.0
1,2023-01-16 15:13:00,2023-01-16 16:13:00,1,0.44,1,Y,233,147,1,33.23,1.0,0.5,0.3,7.94,0.0,42.97,0.0,0.0
1,2023-01-02 18:47:00,2023-01-02 19:47:00,1,10.68,1,N,81,30,3,7.87,1.0,0.5,0.3,0.0,0.0,9.67,0.0,0.0
2,2023-01-19 07:37:00,2023-01-19 08:37:00,1,10.67,1,N,134,105,1,12.87,0.0,0.5,0.3,8.06,0.0,24.23,2.5,0.0
1,2023-01-20 18:06:00,2023-01-20 19:06:00,1,16.83,2,Y,126,190,1,15.45,0.5,0.5,0.3,7.34,6.55,31.89,0.0,1.25
2,2023-01-04 04:16:00,2023-01-04 05:16:00,1,5.19,1,Y,176,105,1,27.44,0.5,0.5,0.3,10.86,0.0,40.85,0.0,1.25
2,2023-01-02 00:21:00,2023-01-02 01:21:00,1,13.45,1,N,219,5,1,32.32,0.0,0.5,0.3,6.55,0.0,39.67,0.0,0.0
1,2023-01-12 01:57:00,2023-01-12 02:57:00,1,6.62,1,Y,209,80,2,11.38,0.0,0.5,0.3,0.0,0.0,12.18,0.0,0.0
2,2023-01-14 21:55:00,2023-01-14 22:55:00,1,12.74,1,N,20,241,1,25.97,0.5,0.5,0.3,9.85,0.0,37.12,0.0,0.0
1,2023-01-09 02:49:00,2023-01-09 03:49:00,1,17.67,1,Y,15,60,2,11.84,0.5,0.5,0.3,0.0,0.0,14.39,0.0,1.25
1,2023-01-26 10:27:00,2023-01-26 11:27:00,1,10.55,1,N,224,1,1,25.59,1.0,0.5,0.3,8.84,0.0,38.73,2.5,0.0
2,2023-01-11 19:20:00,2023-01-11 20:20:00,3,9.33,1,Y,168,207,1,18.13,1.0,0.5,0.3,11.28,6.55,39.01,0.0,1.25
1,2023-01-27 00:19:00,2023-01-27 01:19:00,1,11.92,1,Y,227,110,1,25.12,1.0,0.5,0.3,2.04,0.0,32.71,2.5,1.25
1,2023-01-25 07:43:00,2023-01-25 08:43:00,1,1.21,5,N,38,234,1,20.07,1.0,0.5,0.3,4.61,0.0,26.48,0.0,0.0
2,2023-01-28 03:49:00,2023-01-28 04:49:00,4,9.52,1,Y,128,63,1,25.4,1.0,0.5,0.3,7.15,0.0,38.1,2.5,1.25
2,2023-01-24 15:28:00,2023-01-24 16:28:00,1,13.88,1,N,123,141,1,22.47,0.5,0.5,0.3,3.84,6.55,34.16,0.0,0.0
1,2023-01-23 04:45:00,2023-01-23 05:45:00,1,8.6,1,Y,216,200,2,18.87,1.0,0.5,0.3,0.0,0.0,23.17,2.5,0.0
1,2023-01-13 13:34:00,2023-01-13 14:34:00,1,4.28,1,N,224,249,1,13.31,0.5,0.5,0.3,8.69,0.0,24.55,0.0,1.25
2,2023-01-19 18:42:00,2023-01-19 19:42:00,1,8.53,1,Y,195,168,1,13.12,0.5,0.5,0.3,3.34,0.0,20.26,2.5,0.0
1,2023-01-18 01:22:00,2023-01-18 02:22:00,4,1.11,1,N,127,103,2,19.84,0.5,0.5,0.3,0.0,6.55,28.94,0.0,1.25
1,2023-01-09 11:10:00,2023-01-09 12:10:00,1,14.09,1,N,160,56,1,31.26,0.5,0.5,0.3,4.76,6.55,43.87,0.0,0.0
1,2023-01-25 09:54:00,2023-01-25 10:54:00,2,10.36,1,Y,220,190,1,20.55,0.5,0.5,0.3,9.87,0.0,34.22,2.5,0.0
2,2023-01-14 05:46:00,2023-01-14 06:46:00,1,16.59,1,N,239,224,2,19.09,0.0,0.5,0.3,0.0,0.0,22.39,2.5,0.0
2,2023-01-19 19:42:00,2023-01-19 20:42:00,,15.38,1,N,109,182,2,13.4,1.0,0.5,0.3,0.0,0.0,16.45,0.0,1.25
1,2023-01-24 13:31:00,2023-01-24 14:31:00,1,12.93,1,Y,9,48,1,14.72,1.0,0.5,0.3,6.98,0.0,26.0,2.5,0.0
1,2023-01-15 08:19:00,2023-01-15 09:19:00,1,2.5,1,N,95,99,1,16.47,1.0,0.5,0.3,7.16,0.0,25.43,0.0,0.0
1,2023-01-10 00:45:00,2023-01-10 01:45:00,5,10.14,1,Y,65,252,1,4.91,0.5,0.5,0.3,5.29,0.0,11.5,0.0,0.0
1,2023-01-03 12:31:00,2023-01-03 13:31:00,1,3.03,1,Y,156,44,4,8.92,1.0,0.5,0.3,0.0,6.55,18.52,0.0,1.25
1,2023-01-15 09:55:00,2023-01-15 10:55:00,1,1.46,4,Y,51,107,1,11.91,0.0,0.5,0.3,2.09,0.0,14.8,0.0,0.0
1,2023-01-20 15:18:00,2023-01-20 16:18:00,1,15.53,1,N,120,136,2,19.94,0.0,0.5,0.3,0.0,0.0,21.99,0.0,1.25
2,2023-01-09 04:04:00,2023-01-09 05:04:00,1,14.91,2,N,225,64,1,12.67,0.5,0.5,0.3,6.01,0.0,22.48,2.5,0.0
2,2023-01-24 10:38:00,2023-01-24 11:38:00,4,15.11,1,Y,11,138,1,24.06,1.0,0.5,0.3,7.82,0.0,34.93,0.0,1.25
2,2023-01-16 02:30:00,2023-01-16 03:30:00,1,15.5,1,N,254,148,1,14.64,0.0,0.5,0.3,5.46,0.0,23.4,2.5,0.0
6,2023-01-13 16:52:00,2023-01-13 17:52:00,1,7.67,1,Y,186,256,1,23.95,1.0,0.5,0.3,1.57,0.0,31.07,2.5,1.25
1,2023-01-21 19:51:00,2023-01-21 20:51:00,1,10.12,1,Y,59,237,3,20.56,1.0,0.5,0.3,0.0,0.0,24.86,2.5,0.0
