minute_utc,ttfb_p99_ms,ttfb_p50_ms,ttfb_p75_ms,ttfb_p95_ms,normal_p99_ms,edge_pop
2024-06-20T14:00:00Z,178,62,98,142,180,BUD07
2024-06-20T14:01:00Z,181,63,100,145,180,LHR02
2024-06-20T14:02:00Z,185,65,102,148,180,VIL14
2024-06-20T14:03:00Z,198,69,109,158,180,CDG03
2024-06-20T14:04:00Z,176,62,97,141,180,OSL10
2024-06-20T14:05:00Z,164,57,90,131,180,CDG03
2024-06-20T14:06:00Z,197,69,108,158,180,WAW06
2024-06-20T14:07:00Z,192,67,106,154,180,MAD05
2024-06-20T14:08:00Z,191,67,105,153,180,BUD07
2024-06-20T14:09:00Z,194,68,107,155,180,RIG13
2024-06-20T14:10:00Z,170,59,94,136,180,LHR02
2024-06-20T14:11:00Z,169,59,93,135,180,CDG03
2024-06-20T14:12:00Z,176,62,97,141,180,ATH08
2024-06-20T14:13:00Z,162,57,89,130,180,AMS01
2024-06-20T14:14:00Z,173,61,95,138,180,RIG13
2024-06-20T14:15:00Z,169,59,93,135,180,RIG13
2024-06-20T14:16:00Z,188,66,103,150,180,WAW06
2024-06-20T14:17:00Z,176,62,97,141,180,RIG13
2024-06-20T14:18:00Z,185,65,102,148,180,FRA04
2024-06-20T14:19:00Z,160,56,88,128,180,AMS01
2024-06-20T14:20:00Z,172,60,95,138,180,LHR02
2024-06-20T14:21:00Z,192,67,106,154,180,ATH08
2024-06-20T14:22:00Z,186,65,102,149,180,HEL11
2024-06-20T14:23:00Z,188,66,103,150,180,MUC15
2024-06-20T14:24:00Z,186,65,102,149,180,RIG13
2024-06-20T14:25:00Z,170,59,94,136,180,OSL10
2024-06-20T14:26:00Z,190,66,105,152,180,AMS01
2024-06-20T14:27:00Z,189,66,104,151,180,VIL14
2024-06-20T14:28:00Z,169,59,93,135,180,FRA04
2024-06-20T14:29:00Z,195,68,107,156,180,BUD07
2024-06-20T14:30:00Z,182,64,100,146,180,HEL11
2024-06-20T14:31:00Z,165,58,91,132,180,MAD05
2024-06-20T14:32:00Z,195,68,107,156,180,FRA04
2024-06-20T14:33:00Z,172,60,95,138,180,RIG13
2024-06-20T14:34:00Z,183,64,101,146,180,ATH08
2024-06-20T14:35:00Z,183,64,101,146,180,STO09
2024-06-20T14:36:00Z,196,69,108,157,180,VIE16
2024-06-20T14:37:00Z,188,66,103,150,180,VIE16
2024-06-20T14:38:00Z,192,67,106,154,180,VIL14
2024-06-20T14:39:00Z,163,57,90,130,180,STO09
2024-06-20T14:40:00Z,166,58,91,133,180,MUC15
2024-06-20T14:41:00Z,165,58,91,132,180,STO09
2024-06-20T14:42:00Z,162,57,89,130,180,MAD05
2024-06-20T14:43:00Z,187,65,103,150,180,OSL10
2024-06-20T14:44:00Z,182,64,100,146,180,STO09
2024-06-20T14:45:00Z,179,63,98,143,180,STO09
2024-06-20T14:46:00Z,170,59,94,136,180,ATH08
2024-06-20T14:47:00Z,180,63,99,144,180,MUC15
2024-06-20T14:48:00Z,191,67,105,153,180,FRA04
2024-06-20T14:49:00Z,194,68,107,155,180,STO09
2024-06-20T14:50:00Z,170,59,94,136,180,TLL12
2024-06-20T14:51:00Z,175,61,96,140,180,FRA04
2024-06-20T14:52:00Z,160,56,88,128,180,VIL14
2024-06-20T14:53:00Z,177,62,97,142,180,ATH08
2024-06-20T14:54:00Z,174,61,96,139,180,BUD07
2024-06-20T14:55:00Z,188,66,103,150,180,VIL14
2024-06-20T14:56:00Z,164,57,90,131,180,VIL14
2024-06-20T14:57:00Z,193,68,106,154,180,VIE16
2024-06-20T14:58:00Z,193,68,106,154,180,RIG13
2024-06-20T14:59:00Z,162,57,89,130,180,CDG03
2024-06-20T15:00:00Z,166,58,91,133,180,VIE16
2024-06-20T15:01:00Z,179,63,98,143,180,WAW06
2024-06-20T15:02:00Z,168,59,92,134,180,WAW06
2024-06-20T15:03:00Z,183,64,101,146,180,AMS01
2024-06-20T15:04:00Z,167,58,92,134,180,MAD05
2024-06-20T15:05:00Z,184,64,101,147,180,MAD05
2024-06-20T15:06:00Z,161,56,89,129,180,AMS01
2024-06-20T15:07:00Z,161,56,89,129,180,VIL14
2024-06-20T15:08:00Z,181,63,100,145,180,FRA04
2024-06-20T15:09:00Z,191,67,105,153,180,ATH08
2024-06-20T15:10:00Z,194,68,107,155,180,MUC15
2024-06-20T15:11:00Z,198,69,109,158,180,MAD05
2024-06-20T15:12:00Z,170,59,94,136,180,OSL10
2024-06-20T15:13:00Z,179,63,98,143,180,ATH08
2024-06-20T15:14:00Z,184,64,101,147,180,MUC15
2024-06-20T15:15:00Z,171,60,94,137,180,AMS01
2024-06-20T15:16:00Z,174,61,96,139,180,VIE16
2024-06-20T15:17:00Z,186,65,102,149,180,OSL10
2024-06-20T15:18:00Z,196,69,108,157,180,LHR02
2024-06-20T15:19:00Z,178,62,98,142,180,VIL14
2024-06-20T15:20:00Z,192,67,106,154,180,RIG13
2024-06-20T15:21:00Z,194,68,107,155,180,WAW06
2024-06-20T15:22:00Z,164,57,90,131,180,LHR02
2024-06-20T15:23:00Z,188,66,103,150,180,VIE16
2024-06-20T15:24:00Z,184,64,101,147,180,HEL11
2024-06-20T15:25:00Z,171,60,94,137,180,TLL12
2024-06-20T15:26:00Z,185,65,102,148,180,STO09
2024-06-20T15:27:00Z,194,68,107,155,180,CDG03
2024-06-20T15:28:00Z,168,59,92,134,180,FRA04
2024-06-20T15:29:00Z,167,58,92,134,180,AMS01
2024-06-20T15:30:00Z,180,63,99,144,180,FRA04
2024-06-20T15:31:00Z,170,59,94,136,180,AMS01
2024-06-20T15:32:00Z,190,66,105,152,180,WAW06
2024-06-20T15:33:00Z,191,67,105,153,180,CDG03
2024-06-20T15:34:00Z,191,67,105,153,180,TLL12
2024-06-20T15:35:00Z,178,62,98,142,180,AMS01
2024-06-20T15:36:00Z,196,69,108,157,180,STO09
2024-06-20T15:37:00Z,167,58,92,134,180,BUD07
2024-06-20T15:38:00Z,185,65,102,148,180,AMS01
2024-06-20T15:39:00Z,191,67,105,153,180,STO09
2024-06-20T15:40:00Z,173,61,95,138,180,LHR02
2024-06-20T15:41:00Z,171,60,94,137,180,OSL10
2024-06-20T15:42:00Z,169,59,93,135,180,CDG03
2024-06-20T15:43:00Z,176,62,97,141,180,BUD07
2024-06-20T15:44:00Z,174,61,96,139,180,TLL12
2024-06-20T15:45:00Z,194,68,107,155,180,MAD05
2024-06-20T15:46:00Z,177,62,97,142,180,MAD05
2024-06-20T15:47:00Z,187,65,103,150,180,HEL11
2024-06-20T15:48:00Z,199,70,109,159,180,TLL12
2024-06-20T15:49:00Z,174,61,96,139,180,LHR02
2024-06-20T15:50:00Z,168,59,92,134,180,MAD05
2024-06-20T15:51:00Z,196,69,108,157,180,HEL11
2024-06-20T15:52:00Z,188,66,103,150,180,VIL14
2024-06-20T15:53:00Z,192,67,106,154,180,MUC15
2024-06-20T15:54:00Z,185,65,102,148,180,MUC15
2024-06-20T15:55:00Z,188,66,103,150,180,FRA04
2024-06-20T15:56:00Z,183,64,101,146,180,HEL11
2024-06-20T15:57:00Z,197,69,108,158,180,CDG03
2024-06-20T15:58:00Z,163,57,90,130,180,TLL12
2024-06-20T15:59:00Z,181,63,100,145,180,MUC15
2024-06-20T16:00:00Z,166,58,91,133,180,VIE16
2024-06-20T16:01:00Z,176,62,97,141,180,LHR02
2024-06-20T16:02:00Z,179,63,98,143,180,LHR02
2024-06-20T16:03:00Z,188,66,103,150,180,BUD07
2024-06-20T16:04:00Z,175,61,96,140,180,ATH08
2024-06-20T16:05:00Z,198,69,109,158,180,VIE16
2024-06-20T16:06:00Z,190,66,105,152,180,HEL11
2024-06-20T16:07:00Z,169,59,93,135,180,AMS01
2024-06-20T16:08:00Z,196,69,108,157,180,WAW06
2024-06-20T16:09:00Z,192,67,106,154,180,MAD05
2024-06-20T16:10:00Z,173,61,95,138,180,BUD07
2024-06-20T16:11:00Z,163,57,90,130,180,FRA04
2024-06-20T16:12:00Z,198,69,109,158,180,FRA04
2024-06-20T16:13:00Z,161,56,89,129,180,WAW06
2024-06-20T16:14:00Z,167,58,92,134,180,HEL11
2024-06-20T16:15:00Z,175,61,96,140,180,VIL14
2024-06-20T16:16:00Z,188,66,103,150,180,BUD07
2024-06-20T16:17:00Z,179,63,98,143,180,VIL14
2024-06-20T16:18:00Z,178,62,98,142,180,TLL12
2024-06-20T16:19:00Z,162,57,89,130,180,BUD07
2024-06-20T16:20:00Z,162,57,89,130,180,VIL14
2024-06-20T16:21:00Z,199,70,109,159,180,CDG03
2024-06-20T16:22:00Z,171,60,94,137,180,TLL12
2024-06-20T16:23:00Z,177,62,97,142,180,VIE16
2024-06-20T16:24:00Z,172,60,95,138,180,VIL14
2024-06-20T16:25:00Z,181,63,100,145,180,BUD07
2024-06-20T16:26:00Z,175,61,96,140,180,VIL14
2024-06-20T16:27:00Z,180,63,99,144,180,TLL12
2024-06-20T16:28:00Z,170,59,94,136,180,OSL10
2024-06-20T16:29:00Z,167,58,92,134,180,BUD07
2024-06-20T16:30:00Z,200,70,110,160,180,STO09
2024-06-20T16:31:00Z,197,69,108,158,180,OSL10
2024-06-20T16:32:00Z,174,61,96,139,180,LHR02
2024-06-20T16:33:00Z,186,65,102,149,180,OSL10
2024-06-20T16:34:00Z,169,59,93,135,180,AMS01
2024-06-20T16:35:00Z,167,58,92,134,180,VIL14
2024-06-20T16:36:00Z,199,70,109,159,180,WAW06
2024-06-20T16:37:00Z,165,58,91,132,180,FRA04
2024-06-20T16:38:00Z,194,68,107,155,180,FRA04
2024-06-20T16:39:00Z,183,64,101,146,180,WAW06
2024-06-20T16:40:00Z,188,66,103,150,180,RIG13
2024-06-20T16:41:00Z,168,59,92,134,180,VIE16
2024-06-20T16:42:00Z,162,57,89,130,180,MAD05
2024-06-20T16:43:00Z,184,64,101,147,180,OSL10
2024-06-20T16:44:00Z,188,66,103,150,180,MAD05
2024-06-20T16:45:00Z,198,69,109,158,180,TLL12
2024-06-20T16:46:00Z,183,64,101,146,180,BUD07
