date,channel,sessions,add_to_cart,checkouts,orders,conversion_rate_pct,add_to_cart_rate_pct,cart_to_checkout_rate_pct
2025-05-13,tmall,104894,7660,4607,4288,4.09,7.3,60.14
2025-05-13,jd,71673,5206,3548,3410,4.76,7.26,68.15
2025-05-13,douyin,132728,9589,6376,6030,4.54,7.22,66.49
2025-05-13,kuaishou,135742,8695,5248,4985,3.67,6.41,60.36
2025-05-14,tmall,81741,5325,3539,3279,4.01,6.51,66.46
2025-05-14,jd,190146,13837,8417,8204,4.31,7.28,60.83
2025-05-14,douyin,201404,14592,9109,8505,4.22,7.25,62.42
2025-05-14,kuaishou,189932,14014,9184,8841,4.65,7.38,65.53
2025-05-15,tmall,251332,16619,10294,9981,3.97,6.61,61.94
2025-05-15,jd,207513,14291,9119,8665,4.18,6.89,63.81
2025-05-15,douyin,123544,8587,5528,5270,4.27,6.95,64.38
2025-05-15,kuaishou,252179,18614,11209,10745,4.26,7.38,60.22
2025-05-16,tmall,69536,4653,2932,2775,3.99,6.69,63.01
2025-05-16,jd,55115,3602,2307,2156,3.91,6.54,64.05
2025-05-16,douyin,137105,9864,6351,5917,4.32,7.19,64.39
2025-05-16,kuaishou,70891,4786,3331,3107,4.38,6.75,69.6
2025-05-17,tmall,132001,9859,6212,5952,4.51,7.47,63.01
2025-05-17,jd,133370,8875,6134,5893,4.42,6.65,69.12
2025-05-17,douyin,110718,7983,5481,5123,4.63,7.21,68.66
2025-05-17,kuaishou,177919,12042,8086,7505,4.22,6.77,67.15
2025-05-18,tmall,74036,4772,2922,2780,3.75,6.45,61.23
2025-05-18,jd,209512,15054,10099,9588,4.58,7.19,67.09
2025-05-18,douyin,174801,11346,6877,6632,3.79,6.49,60.61
2025-05-18,kuaishou,78688,5313,3350,3280,4.17,6.75,63.05
2025-05-19,tmall,80478,5159,3601,3420,4.25,6.41,69.8
2025-05-19,jd,147225,10027,6733,6263,4.25,6.81,67.15
2025-05-19,douyin,178397,11587,8095,7462,4.18,6.5,69.86
2025-05-19,kuaishou,145903,9773,6238,5982,4.1,6.7,63.83
2025-05-20,tmall,104827,7653,5329,4960,4.73,7.3,69.63
2025-05-20,jd,82687,5711,3555,3391,4.1,6.91,62.25
2025-05-20,douyin,148788,9990,6162,5957,4.0,6.71,61.68
2025-05-20,kuaishou,67709,4693,2858,2639,3.9,6.93,60.9
2025-05-21,tmall,140585,9941,6164,5673,4.04,7.07,62.01
2025-05-21,jd,67917,4454,2982,2818,4.15,6.56,66.95
2025-05-21,douyin,126745,8449,5741,5327,4.2,6.67,67.95
2025-05-21,kuaishou,225420,16277,9948,9585,4.25,7.22,61.12
2025-05-22,tmall,142710,9813,6581,6189,4.34,6.88,67.06
2025-05-22,jd,67329,4871,2952,2888,4.29,7.23,60.6
2025-05-22,douyin,100073,6984,4736,4535,4.53,6.98,67.81
2025-05-22,kuaishou,143790,9564,6136,5737,3.99,6.65,64.16
2025-05-23,tmall,130088,9379,6024,5607,4.31,7.21,64.23
2025-05-23,jd,175329,12033,8196,7702,4.39,6.86,68.11
2025-05-23,douyin,165590,10673,6872,6499,3.92,6.45,64.39
2025-05-23,kuaishou,85082,5497,3387,3313,3.89,6.46,61.62
2025-05-24,tmall,143310,10608,6508,6346,4.43,7.4,61.35
2025-05-24,jd,192971,14153,9074,8452,4.38,7.33,64.11
2025-05-24,douyin,123381,8356,5020,4768,3.86,6.77,60.08
2025-05-24,kuaishou,164386,10991,7213,7014,4.27,6.69,65.63
2025-05-25,tmall,53649,3796,2654,2522,4.7,7.08,69.92
2025-05-25,jd,115563,7302,4435,4308,3.73,6.32,60.74
2025-05-25,douyin,47612,3007,2074,1961,4.12,6.32,68.97
2025-05-25,kuaishou,65488,4163,2582,2527,3.86,6.36,62.02
2025-05-26,tmall,169446,11947,8228,7750,4.57,7.05,68.87
2025-05-26,jd,72105,5264,3363,3114,4.32,7.3,63.89
2025-05-26,douyin,185376,11829,8050,7418,4.0,6.38,68.05
2025-05-26,kuaishou,72195,5128,3297,3185,4.41,7.1,64.29
2025-05-27,tmall,138993,10256,6715,6264,4.51,7.38,65.47
2025-05-27,jd,196120,12938,8204,7884,4.02,6.6,63.41
2025-05-27,douyin,223676,14549,9285,9021,4.03,6.5,63.82
2025-05-27,kuaishou,159238,10303,6717,6580,4.13,6.47,65.19
2025-05-28,tmall,106996,6779,4273,4068,3.8,6.34,63.03
2025-05-28,jd,65070,4419,2732,2602,4.0,6.79,61.82
2025-05-28,douyin,174502,11478,7774,7600,4.36,6.58,67.73
2025-05-28,kuaishou,162441,11356,7515,6920,4.26,6.99,66.18
2025-05-29,tmall,177362,12634,8189,7868,4.44,7.12,64.82
2025-05-29,jd,147188,10469,6874,6391,4.34,7.11,65.66
2025-05-29,douyin,195178,12637,7683,7131,3.65,6.47,60.8
2025-05-29,kuaishou,193596,12253,7713,7136,3.69,6.33,62.95
2025-05-30,tmall,103517,7617,4865,4632,4.47,7.36,63.87
2025-05-30,jd,198519,12730,8153,7754,3.91,6.41,64.05
2025-05-30,douyin,77706,5696,3584,3453,4.44,7.33,62.92
2025-05-30,kuaishou,81354,6077,3834,3702,4.55,7.47,63.09
2025-05-31,tmall,45248,3295,2144,2011,4.44,7.28,65.07
2025-05-31,jd,146889,9448,5861,5484,3.73,6.43,62.03
2025-05-31,douyin,135852,9470,6553,6349,4.67,6.97,69.2
2025-05-31,kuaishou,149653,10860,7070,6792,4.54,7.26,65.1
2025-06-01,tmall,468596,34208,21329,20037,4.28,7.3,62.35
2025-06-01,jd,657223,42707,26187,24162,3.68,6.5,61.32
2025-06-01,douyin,473850,33349,22988,21266,4.49,7.04,68.93
2025-06-01,kuaishou,374274,26310,16018,15425,4.12,7.03,60.88
2025-06-02,tmall,447006,30295,21047,20079,4.49,6.78,69.47
2025-06-02,jd,633797,45199,30258,27999,4.42,7.13,66.94
2025-06-02,douyin,484321,32811,22918,22231,4.59,6.77,69.85
2025-06-02,kuaishou,212490,15129,9920,9474,4.46,7.12,65.57
2025-06-03,tmall,386607,28328,17873,16615,4.3,7.33,63.09
2025-06-03,jd,583793,37063,23877,22186,3.8,6.35,64.42
2025-06-03,douyin,439471,29983,19125,18248,4.15,6.82,63.79
2025-06-03,kuaishou,449913,29874,20056,19538,4.34,6.64,67.14
2025-06-04,tmall,71348,5223,3171,3012,4.22,7.32,60.71
2025-06-04,jd,84628,5467,3496,3320,3.92,6.46,63.95
2025-06-04,douyin,88815,5783,3757,3660,4.12,6.51,64.97
2025-06-04,kuaishou,49527,3600,2256,2120,4.28,7.27,62.67
2025-06-05,tmall,123026,8671,5754,5399,4.39,7.05,66.36
2025-06-05,jd,135745,8940,5858,5673,4.18,6.59,65.53
2025-06-05,douyin,201363,12997,7977,7427,3.69,6.45,61.38
2025-06-05,kuaishou,165668,10769,7247,6967,4.21,6.5,67.3
2025-06-06,tmall,103277,6561,4012,3923,3.8,6.35,61.15
2025-06-06,jd,218262,16286,10522,9914,4.54,7.46,64.61
2025-06-06,douyin,134809,9379,6360,6179,4.58,6.96,67.81
2025-06-06,kuaishou,185724,12180,7419,6828,3.68,6.56,60.91
