date,category,channel,orders,aov,gmv_method,gmv_rmb_million,subsidy_rmb_million,notes
2025-05-13,apparel,tmall,768666,180.0,method2,138.36,14.05,
2025-05-13,apparel,jd,296722,180.0,method2,53.41,5.42,
2025-05-13,apparel,douyin,276722,180.0,method2,49.81,5.06,
2025-05-13,apparel,kuaishou,64555,180.0,method2,11.62,1.18,
2025-05-13,electronics,tmall,1393222,180.0,method2,250.78,25.46,
2025-05-13,electronics,jd,537777,180.0,method2,96.8,9.83,
2025-05-13,electronics,douyin,501555,180.0,method2,90.28,9.17,
2025-05-13,electronics,kuaishou,117055,180.0,method2,21.07,2.14,
2025-05-13,beauty,tmall,504444,180.0,method2,90.8,9.22,
2025-05-13,beauty,jd,194722,180.0,method2,35.05,3.56,
2025-05-13,beauty,douyin,181611,180.0,method2,32.69,3.32,
2025-05-13,beauty,kuaishou,42388,180.0,method2,7.63,0.77,
2025-05-13,home,tmall,348277,180.0,method2,62.69,6.36,
2025-05-13,home,jd,134444,180.0,method2,24.2,2.46,
2025-05-13,home,douyin,125388,180.0,method2,22.57,2.29,
2025-05-13,home,kuaishou,29277,180.0,method2,5.27,0.53,
2025-05-13,food,tmall,156111,180.0,method2,28.1,2.85,
2025-05-13,food,jd,60277,180.0,method2,10.85,1.1,
2025-05-13,food,douyin,56222,180.0,method2,10.12,1.03,
2025-05-13,food,kuaishou,13111,180.0,method2,2.36,0.24,
2025-05-14,apparel,tmall,936611,180.0,method2,168.59,17.12,
2025-05-14,apparel,jd,361555,180.0,method2,65.08,6.61,
2025-05-14,apparel,douyin,337166,180.0,method2,60.69,6.16,
2025-05-14,apparel,kuaishou,78666,180.0,method2,14.16,1.44,
2025-05-14,electronics,tmall,1697666,180.0,method2,305.58,31.02,
2025-05-14,electronics,jd,655277,180.0,method2,117.95,11.97,
2025-05-14,electronics,douyin,611166,180.0,method2,110.01,11.17,
2025-05-14,electronics,kuaishou,142611,180.0,method2,25.67,2.61,
2025-05-14,beauty,tmall,614666,180.0,method2,110.64,11.23,
2025-05-14,beauty,jd,237277,180.0,method2,42.71,4.34,
2025-05-14,beauty,douyin,221277,180.0,method2,39.83,4.04,
2025-05-14,beauty,kuaishou,51611,180.0,method2,9.29,0.94,
2025-05-14,home,tmall,424388,180.0,method2,76.39,7.76,
2025-05-14,home,jd,163833,180.0,method2,29.49,2.99,
2025-05-14,home,douyin,152777,180.0,method2,27.5,2.79,
2025-05-14,home,kuaishou,35666,180.0,method2,6.42,0.65,
2025-05-14,food,tmall,190277,180.0,method2,34.25,3.48,
2025-05-14,food,jd,73444,180.0,method2,13.22,1.34,
2025-05-14,food,douyin,68500,180.0,method2,12.33,1.25,
2025-05-14,food,kuaishou,16000,180.0,method2,2.88,0.29,
2025-05-15,apparel,tmall,958000,180.0,method2,172.44,17.51,
2025-05-15,apparel,jd,369777,180.0,method2,66.56,6.76,
2025-05-15,apparel,douyin,344888,180.0,method2,62.08,6.3,
2025-05-15,apparel,kuaishou,80500,180.0,method2,14.49,1.47,
2025-05-15,electronics,tmall,1736388,180.0,method2,312.55,31.73,
2025-05-15,electronics,jd,670222,180.0,method2,120.64,12.25,
2025-05-15,electronics,douyin,625111,180.0,method2,112.52,11.42,
2025-05-15,electronics,kuaishou,145833,180.0,method2,26.25,2.67,
2025-05-15,beauty,tmall,628666,180.0,method2,113.16,11.49,
2025-05-15,beauty,jd,242666,180.0,method2,43.68,4.43,
2025-05-15,beauty,douyin,226333,180.0,method2,40.74,4.14,
2025-05-15,beauty,kuaishou,52833,180.0,method2,9.51,0.97,
2025-05-15,home,tmall,434111,180.0,method2,78.14,7.93,
2025-05-15,home,jd,167555,180.0,method2,30.16,3.06,
2025-05-15,home,douyin,156277,180.0,method2,28.13,2.86,
2025-05-15,home,kuaishou,36444,180.0,method2,6.56,0.67,
2025-05-15,food,tmall,194611,180.0,method2,35.03,3.56,
2025-05-15,food,jd,75111,180.0,method2,13.52,1.37,
2025-05-15,food,douyin,70055,180.0,method2,12.61,1.28,
2025-05-15,food,kuaishou,16333,180.0,method2,2.94,0.3,
2025-05-16,apparel,tmall,870166,180.0,method2,156.63,15.9,
2025-05-16,apparel,jd,335888,180.0,method2,60.46,6.14,
2025-05-16,apparel,douyin,313277,180.0,method2,56.39,5.72,
2025-05-16,apparel,kuaishou,73111,180.0,method2,13.16,1.34,
2025-05-16,electronics,tmall,1577222,180.0,method2,283.9,28.82,
2025-05-16,electronics,jd,608777,180.0,method2,109.58,11.13,
2025-05-16,electronics,douyin,567777,180.0,method2,102.2,10.38,
2025-05-16,electronics,kuaishou,132500,180.0,method2,23.85,2.42,
2025-05-16,beauty,tmall,571055,180.0,method2,102.79,10.44,
2025-05-16,beauty,jd,220444,180.0,method2,39.68,4.03,
2025-05-16,beauty,douyin,205555,180.0,method2,37.0,3.76,
2025-05-16,beauty,kuaishou,47944,180.0,method2,8.63,0.88,
2025-05-16,home,tmall,394277,180.0,method2,70.97,7.21,
2025-05-16,home,jd,152222,180.0,method2,27.4,2.78,
2025-05-16,home,douyin,141944,180.0,method2,25.55,2.59,
2025-05-16,home,kuaishou,33111,180.0,method2,5.96,0.61,
