return_id,order_date,return_date,category,channel,sku_id,quantity,return_reason,return_value_rmb
RET-000001,2025-06-04,2025-06-06,apparel,jd,APP-0036,3,quality_issue,530.09
RET-000002,2025-05-15,2025-05-22,apparel,tmall,APP-0072,1,quality_issue,231.2
RET-000003,2025-05-22,2025-05-28,apparel,jd,APP-0068,3,damaged,181.32
RET-000004,2025-05-14,2025-05-27,apparel,jd,APP-0072,2,quality_issue,41.35
RET-000005,2025-06-17,2025-06-25,apparel,jd,APP-0015,1,changed_mind,179.6
RET-000006,2025-05-23,2025-06-05,apparel,tmall,APP-0007,2,quality_issue,573.15
RET-000007,2025-05-27,2025-06-07,apparel,tmall,APP-0023,2,changed_mind,626.57
RET-000008,2025-06-07,2025-06-08,apparel,jd,APP-0032,2,size_mismatch,313.01
RET-000009,2025-05-14,2025-05-17,apparel,douyin,APP-0036,1,damaged,514.71
RET-000010,2025-06-06,2025-06-07,apparel,douyin,APP-0067,1,changed_mind,538.7
RET-000011,2025-06-17,2025-06-24,apparel,jd,APP-0069,2,damaged,443.26
RET-000012,2025-06-16,2025-06-26,apparel,jd,APP-0058,2,changed_mind,158.06
RET-000013,2025-06-06,2025-06-09,apparel,jd,APP-0058,3,damaged,30.43
RET-000014,2025-05-23,2025-05-26,apparel,tmall,APP-0007,3,changed_mind,784.88
RET-000015,2025-05-31,2025-06-13,apparel,tmall,APP-0041,1,size_mismatch,311.68
RET-000016,2025-06-03,2025-06-15,apparel,tmall,APP-0061,1,damaged,214.21
RET-000017,2025-06-01,2025-06-06,apparel,jd,APP-0046,1,size_mismatch,363.5
RET-000018,2025-06-04,2025-06-07,apparel,jd,APP-0077,3,size_mismatch,416.11
RET-000019,2025-05-14,2025-05-18,apparel,douyin,APP-0049,2,changed_mind,589.82
RET-000020,2025-06-16,2025-06-25,apparel,jd,APP-0062,1,size_mismatch,254.52
RET-000021,2025-05-22,2025-05-25,apparel,douyin,APP-0052,2,changed_mind,137.52
RET-000022,2025-05-16,2025-05-27,apparel,jd,APP-0066,1,quality_issue,742.63
RET-000023,2025-05-20,2025-05-21,apparel,tmall,APP-0007,3,damaged,587.93
RET-000024,2025-06-12,2025-06-22,apparel,tmall,APP-0010,2,damaged,303.57
RET-000025,2025-06-16,2025-06-28,apparel,douyin,APP-0039,3,damaged,411.42
RET-000026,2025-05-23,2025-06-03,apparel,jd,APP-0053,3,quality_issue,640.12
RET-000027,2025-05-31,2025-06-05,apparel,jd,APP-0049,3,quality_issue,134.27
RET-000028,2025-05-27,2025-06-01,apparel,jd,APP-0020,3,size_mismatch,574.2
RET-000029,2025-06-16,2025-06-20,apparel,tmall,APP-0015,1,damaged,105.73
RET-000030,2025-05-14,2025-05-15,apparel,tmall,APP-0055,2,changed_mind,49.31
RET-000031,2025-05-20,2025-05-26,apparel,tmall,APP-0080,2,damaged,516.8
RET-000032,2025-05-21,2025-06-02,apparel,tmall,APP-0073,3,changed_mind,175.72
RET-000033,2025-06-06,2025-06-13,apparel,douyin,APP-0006,1,changed_mind,145.55
RET-000034,2025-06-13,2025-06-20,apparel,tmall,APP-0073,2,damaged,615.36
RET-000035,2025-05-14,2025-05-25,apparel,tmall,APP-0074,2,damaged,278.32
RET-000036,2025-06-01,2025-06-13,apparel,douyin,APP-0034,3,damaged,546.49
RET-000037,2025-05-31,2025-06-13,apparel,douyin,APP-0023,3,quality_issue,495.35
RET-000038,2025-05-16,2025-05-18,apparel,tmall,APP-0037,1,damaged,360.22
