user_id,experiment_id,pre_window_days,daily_active_usage_score,pre_window_sessions,pre_window_revenue_usd
u0000001,exp005,7,0.5604,4,0.19
u0000002,exp005,7,0.5446,22,32.29
u0000003,exp005,7,0.5146,21,8.51
u0000004,exp005,7,0.6943,7,13.71
u0000005,exp005,7,0.6012,14,26.91
u0000006,exp005,7,0.925,20,39.59
u0000007,exp005,7,0.5179,5,25.07
u0000008,exp005,7,0.5801,23,0.37
u0000009,exp005,7,0.6213,3,22.14
u0000010,exp005,7,0.6739,24,6.96
u0000011,exp005,7,0.747,16,25.56
u0000012,exp005,7,0.8403,14,12.65
u0000013,exp005,7,0.4989,14,37.31
u0000014,exp005,7,1,20,24.33
u0000015,exp005,7,0.483,7,3.74
u0000016,exp005,7,0.5496,12,4.71
u0000017,exp005,7,0.4497,4,29.38
u0000018,exp005,7,0.6248,16,3.09
u0000019,exp005,7,0.7253,20,9.22
u0000020,exp005,7,0.5516,9,25.77
u0000021,exp005,7,0.5724,17,13.71
u0000022,exp005,7,0.5074,9,39.4
u0000023,exp005,7,0.8139,23,0.06
u0000024,exp005,7,0.6227,10,5.45
u0000025,exp005,7,0.7862,20,15.36
u0000026,exp005,7,0.7138,19,35.56
u0000027,exp005,7,0.6247,12,32.69
u0000028,exp005,7,0.3169,20,7.69
u0000029,exp005,7,0.8959,10,15.19
u0000030,exp005,7,0.717,15,15.03
u0000031,exp005,7,0.5402,19,19.81
u0000032,exp005,7,0.8558,4,16.3
u0000033,exp005,7,0.9061,24,35.2
u0000034,exp005,7,0.5499,5,0.62
u0000035,exp005,7,0.6986,5,29.15
u0000036,exp005,7,0.5271,16,28.74
u0000037,exp005,7,0.9274,10,40.42
u0000038,exp005,7,0.6193,25,21.48
u0000039,exp005,7,0.4037,22,23.18
u0000040,exp005,7,0.7968,13,34.2
u0000041,exp005,7,0.5824,13,25.18
u0000042,exp005,7,0.4882,14,29.91
u0000043,exp005,7,0.6686,15,42.83
u0000044,exp005,7,0.337,8,4.99
u0000045,exp005,7,0.3634,23,13.98
u0000046,exp005,7,0.6112,19,5.31
u0000047,exp005,7,0.6935,19,3.67
u0000048,exp005,7,0.9343,25,14.19
u0000049,exp005,7,0.328,22,39.36
u0000050,exp005,7,0.6041,7,18.83
u0000051,exp005,7,0.6259,21,27.75
u0000052,exp005,7,0.7063,25,29.98
u0000053,exp005,7,0.6069,18,23.43
u0000054,exp005,7,0.614,13,6.55
u0000055,exp005,7,0.1169,18,12.43
u0000056,exp005,7,0.4817,6,28.29
u0000057,exp005,7,0.5851,25,28.3
u0000058,exp005,7,0.738,6,27.07
u0000059,exp005,7,0.2725,21,17.46
u0000060,exp005,7,0.5883,23,16.27
u0000061,exp005,7,0.6138,8,41.03
u0000062,exp005,7,0.938,18,8.2
u0000063,exp005,7,0.7586,24,13.55
u0000064,exp005,7,0.9332,14,11.32
u0000065,exp005,7,0.2517,11,23.61
u0000066,exp005,7,0.4002,22,25.14
u0000067,exp005,7,0.7854,3,44.01
u0000068,exp005,7,0.4341,12,7.37
u0000069,exp005,7,0.7383,15,40.11
u0000070,exp005,7,0.6517,17,18.75
u0000071,exp005,7,0.7451,19,24.49
u0000072,exp005,7,0.638,21,20.3
u0000073,exp005,7,0.8298,10,15.35
u0000074,exp005,7,0.8317,25,19.32
u0000075,exp005,7,0.4151,15,36.75
u0000076,exp005,7,0.7018,15,28.96
u0000077,exp005,7,0.6337,21,20.76
u0000078,exp005,7,0.6295,15,36.07
u0000079,exp005,7,0.6969,3,42.37
u0000080,exp005,7,0.657,7,20.8
u0000081,exp005,7,0.4721,24,20.4
u0000082,exp005,7,0.3275,5,39.49
u0000083,exp005,7,0.4814,4,37.16
u0000084,exp005,7,0.1846,21,21.62
u0000085,exp005,7,0.8324,25,39.59
u0000086,exp005,7,0.8189,7,21.49
u0000087,exp005,7,0.6915,4,12.44
u0000088,exp005,7,0.6062,14,21.8
u0000089,exp005,7,0.5756,6,19.28
u0000090,exp005,7,0.6782,18,36.97
u0000091,exp005,7,0.6798,9,8.89
u0000092,exp005,7,0.5867,21,34.21
u0000093,exp005,7,0.6659,5,8.29
u0000094,exp005,7,0.2986,23,6.07
u0000095,exp005,7,0.4375,14,12.35
u0000096,exp005,7,0.3674,10,18.96
u0000097,exp005,7,0.8303,11,36.11
u0000098,exp005,7,0.7511,23,22.09
u0000099,exp005,7,0.6704,11,18.67
u0000100,exp005,7,0.6106,11,5.92
u0000101,exp005,7,0.4634,9,29.5
u0000102,exp005,7,0.6929,16,36.48
u0000103,exp005,7,0.5797,19,8.47
u0000104,exp005,7,0.8183,18,10.89
u0000105,exp005,7,0.6682,20,21.52
u0000106,exp005,7,0.7237,9,21.63
u0000107,exp005,7,0.7702,24,40.76
u0000108,exp005,7,0.6568,16,15.01
u0000109,exp005,7,0.7835,16,25.98
u0000110,exp005,7,0.7246,15,6.04
u0000111,exp005,7,0.4875,13,21.65
u0000112,exp005,7,0.7106,12,14.81
u0000113,exp005,7,0.3233,19,25.68
