user_id,segment,plan_type,country,acquisition_channel,tenure_days,monthly_spend_usd,is_mobile_primary
u0000001,at_risk,starter,FR,social,245,7.66,0
u0000002,casual,free,GB,referral,787,0.0,1
u0000003,power_user,starter,NL,social,1160,61.78,0
u0000004,casual,free,US,paid_search,782,0.0,0
u0000005,casual,starter,US,paid_search,307,115.03,0
u0000006,at_risk,pro,CA,email,754,127.52,0
u0000007,new_user,free,US,referral,21,0.0,0
u0000008,at_risk,free,US,organic,736,0.0,0
u0000009,champion,pro,US,social,678,139.44,0
u0000010,casual,free,FR,paid_search,901,0.0,1
u0000011,new_user,free,NL,paid_search,449,0.0,0
u0000012,new_user,free,AU,organic,284,0.0,1
u0000013,casual,starter,US,email,885,107.26,1
u0000014,new_user,starter,AU,email,320,41.29,0
u0000015,new_user,free,US,organic,1605,0.0,1
u0000016,power_user,free,US,organic,1282,0.0,0
u0000017,casual,starter,US,social,435,45.96,1
u0000018,at_risk,free,CA,email,699,0.0,1
u0000019,new_user,starter,DE,paid_search,641,143.95,0
u0000020,casual,free,AU,social,1257,0.0,0
u0000021,casual,free,DE,organic,612,0.0,0
u0000022,casual,free,DE,direct,818,0.0,1
u0000023,new_user,pro,GB,organic,1611,119.87,0
u0000024,casual,pro,NL,email,239,60.31,0
u0000025,new_user,free,US,paid_search,1097,0.0,1
u0000026,at_risk,starter,JP,referral,77,147.2,0
u0000027,new_user,free,US,email,918,0.0,1
u0000028,power_user,free,IN,paid_search,971,0.0,1
u0000029,power_user,free,DE,referral,955,0.0,0
u0000030,casual,free,BR,paid_search,42,0.0,0
u0000031,at_risk,pro,FR,paid_search,745,143.63,0
u0000032,at_risk,pro,US,email,816,66.43,1
u0000033,at_risk,starter,US,paid_search,328,13.26,0
u0000034,at_risk,free,GB,organic,79,0.0,0
u0000035,power_user,free,IN,direct,207,0.0,0
u0000036,casual,pro,US,organic,1027,131.78,1
u0000037,new_user,free,BR,paid_search,717,0.0,0
u0000038,at_risk,free,DE,organic,1117,0.0,1
u0000039,power_user,starter,US,organic,193,32.95,0
u0000040,at_risk,free,US,direct,416,0.0,0
u0000041,casual,pro,BR,organic,649,105.56,0
u0000042,casual,pro,US,direct,737,104.89,0
u0000043,casual,free,US,referral,848,0.0,0
u0000044,new_user,free,US,email,1068,0.0,0
u0000045,casual,free,US,referral,735,0.0,1
u0000046,power_user,free,DE,paid_search,64,0.0,0
u0000047,power_user,free,BR,referral,481,0.0,1
u0000048,at_risk,starter,US,social,202,52.35,0
u0000049,casual,starter,GB,referral,1494,44.22,0
u0000050,casual,free,IN,social,646,0.0,0
u0000051,power_user,free,US,social,141,0.0,1
u0000052,new_user,free,AU,direct,1596,0.0,1
u0000053,at_risk,free,IN,organic,648,0.0,0
u0000054,casual,free,NL,email,1199,0.0,1
u0000055,casual,starter,NL,email,1325,128.31,0
u0000056,casual,free,NL,paid_search,1243,0.0,1
u0000057,at_risk,free,US,email,665,0.0,1
u0000058,new_user,starter,NL,paid_search,255,50.55,0
u0000059,casual,free,JP,organic,1169,0.0,1
u0000060,casual,free,AU,organic,1311,0.0,0
u0000061,power_user,free,BR,social,1656,0.0,0
u0000062,casual,pro,DE,social,1660,86.63,0
u0000063,casual,free,US,social,1531,0.0,1
u0000064,casual,starter,US,organic,1133,46.24,1
u0000065,power_user,starter,US,direct,1780,86.06,1
u0000066,power_user,free,NL,organic,823,0.0,0
u0000067,casual,pro,AU,direct,1258,124.17,1
u0000068,new_user,free,US,direct,635,0.0,0
u0000069,power_user,free,GB,organic,1236,0.0,0
u0000070,casual,free,DE,paid_search,1662,0.0,1
u0000071,new_user,free,US,paid_search,1020,0.0,0
u0000072,casual,free,GB,direct,1086,0.0,0
