date,variant,users,bot_flagged,paid_conversion_rate,revenue_per_visitor,plan_selection_distribution,time_on_pricing_page,support_chat_initiated,free_trial_signups,page_scroll_depth,cta_click_rate,avg_revenue_per_conversion
2023-09-15,control,265,31,0.0392,1.2631,0.5079,75.3,0.0613,0.0546,0.6755,0.1503,90.86
2023-09-15,v1_simplified,260,2,0.0479,1.7021,0.5435,112.4,0.022,0.066,0.6845,0.1061,64.17
2023-09-15,v2_social_proof,267,2,0.0553,0.8313,0.4481,112.2,0.0432,0.0687,0.7778,0.1856,65.19
2023-09-16,control,263,31,0.0412,1.719,0.4397,64.2,0.0696,0.0639,0.7193,0.1856,78.29
2023-09-16,v1_simplified,269,1,0.0512,1.0027,0.4682,92.8,0.0289,0.0858,0.6588,0.1098,57.38
2023-09-16,v2_social_proof,263,0,0.0577,1.3025,0.5016,49.8,0.0459,0.1184,0.7271,0.1324,82.79
2023-09-17,control,262,31,0.0362,1.3514,0.5448,83.4,0.0207,0.0739,0.7805,0.1157,70.36
2023-09-17,v1_simplified,262,2,0.0448,1.2793,0.5416,45.6,0.068,0.09,0.6388,0.1411,89.96
2023-09-17,v2_social_proof,255,1,0.0559,1.7108,0.4632,47.4,0.0204,0.1113,0.5766,0.1847,85.55
2023-09-18,control,266,31,0.0429,1.5929,0.4336,88.7,0.038,0.057,0.6326,0.1301,56.54
2023-09-18,v1_simplified,252,1,0.0481,1.5887,0.4422,74.4,0.0251,0.1179,0.7859,0.1475,70.39
2023-09-18,v2_social_proof,269,1,0.0549,1.0546,0.4659,111.6,0.0221,0.0832,0.719,0.1224,93.63
2023-09-19,control,255,30,0.04,1.0997,0.4498,63.0,0.0245,0.1099,0.7397,0.1031,93.01
2023-09-19,v1_simplified,266,0,0.0472,1.6877,0.4632,105.7,0.028,0.0618,0.6835,0.17,70.86
2023-09-19,v2_social_proof,270,1,0.053,1.4211,0.5094,48.0,0.0719,0.0941,0.7042,0.1699,94.66
2023-09-20,control,250,30,0.0426,1.0426,0.5825,71.6,0.0323,0.055,0.6025,0.1134,61.67
2023-09-20,v1_simplified,250,2,0.0511,1.2194,0.4899,58.9,0.0515,0.0921,0.797,0.1781,77.47
2023-09-20,v2_social_proof,259,1,0.0506,1.5506,0.5718,68.4,0.0633,0.0898,0.6323,0.1111,88.54
2023-09-21,control,270,32,0.0331,1.6924,0.4728,74.3,0.0451,0.0802,0.7751,0.1479,86.48
2023-09-21,v1_simplified,267,1,0.0469,1.2942,0.527,45.9,0.0471,0.1175,0.6184,0.1067,61.12
2023-09-21,v2_social_proof,270,1,0.0535,1.657,0.4382,68.6,0.0224,0.1049,0.7856,0.1131,78.05
2023-09-22,control,261,31,0.0439,1.7149,0.5471,111.5,0.0361,0.077,0.5681,0.1584,60.19
2023-09-22,v1_simplified,261,1,0.0494,1.2249,0.509,52.0,0.0792,0.0505,0.7073,0.195,75.78
