participant_id,condition,expense_claimed_usd,puzzles_solved,puzzles_reported,overreported,calcchain_order,visible_row_order,calcchain_anomaly,age,gender,commute_km
P001,bottom,8.18,11,11,0,1,1,0,48,M,16.8
P002,bottom,8.82,6,9,1,2,2,0,50,F,8.6
P003,bottom,7.84,5,8,1,3,3,0,31,M,19.8
P004,bottom,10.35,6,10,1,4,4,0,46,F,2.0
P005,bottom,7.93,12,15,1,5,5,0,44,M,6.1
P006,bottom,9.97,4,8,1,6,6,0,19,M,5.8
P007,bottom,13.31,8,9,1,7,7,0,35,F,20.6
P008,bottom,12.12,3,6,1,8,8,0,23,F,10.4
P009,bottom,14.3,12,16,1,9,9,0,51,F,21.8
P010,bottom,9.35,5,6,1,10,10,0,24,M,1.3
P011,bottom,6.2,10,10,0,11,11,0,26,F,19.5
P012,bottom,14.6,10,10,0,52,12,1,27,F,23.1
P013,bottom,11.39,11,13,1,53,13,1,24,F,22.2
P014,bottom,15.16,8,9,1,54,14,1,41,M,1.9
P015,bottom,8.78,4,6,1,55,15,1,35,M,5.5
P016,bottom,14.21,4,7,1,56,16,1,34,M,7.4
P017,bottom,11.16,3,7,1,57,17,1,21,F,6.3
P018,bottom,9.4,7,9,1,58,18,1,39,F,1.0
P019,bottom,11.16,8,8,0,59,19,1,44,M,18.8
P020,bottom,11.33,11,13,1,20,20,0,26,F,8.9
P021,bottom,7.76,6,9,1,21,21,0,51,F,5.6
P022,bottom,11.61,10,13,1,22,22,0,38,F,18.5
P023,bottom,9.78,10,10,0,23,23,0,21,F,1.7
P024,bottom,12.29,8,12,1,24,24,0,47,M,7.1
P025,bottom,8.11,10,10,0,25,25,0,22,M,10.6
P026,bottom,3.67,10,12,1,26,26,0,50,M,1.4
P027,bottom,11.95,4,8,1,27,27,0,40,F,18.4
P028,bottom,7.14,5,9,1,28,28,0,25,F,0.7
P029,bottom,7.38,11,13,1,29,29,0,31,F,4.7
P030,bottom,12.43,12,14,1,30,30,0,47,F,1.4
P031,bottom,10.74,11,11,0,31,31,0,25,F,13.4
P032,bottom,12.42,3,5,1,32,32,0,49,F,3.2
P033,bottom,12.34,12,13,1,33,33,0,36,M,19.0
P034,bottom,9.42,3,4,1,34,34,0,25,F,7.6
P035,bottom,11.99,11,14,1,35,35,0,21,F,8.0
P036,bottom,13.67,6,8,1,36,36,0,45,F,15.2
P037,bottom,6.73,6,6,0,37,37,0,20,F,8.6
P038,bottom,9.7,3,6,1,38,38,0,21,M,3.6
P039,bottom,6.54,12,16,1,39,39,0,35,M,11.6
P040,bottom,7.59,7,8,1,40,40,0,42,M,21.4
P041,bottom,15.43,3,5,1,41,41,0,19,M,3.6
P042,bottom,11.3,9,9,0,42,42,0,30,M,17.3
P043,bottom,10.75,7,9,1,43,43,0,37,M,3.9
P044,bottom,5.75,5,9,1,44,44,0,38,F,10.8
P045,bottom,10.11,11,12,1,45,45,0,50,F,11.7
P046,bottom,9.02,8,10,1,46,46,0,42,M,6.4
P047,bottom,11.39,4,8,1,47,47,0,25,F,2.0
P048,bottom,11.66,10,13,1,48,48,0,43,F,19.2
P049,bottom,7.9,11,15,1,49,49,0,45,F,22.8
P050,bottom,9.0,3,4,1,50,50,0,19,F,6.8
P051,top,4.75,11,11,0,51,51,0,52,F,14.8
P052,top,2.87,6,6,0,52,52,0,24,F,3.9
P053,top,1.78,4,4,0,53,53,0,49,M,24.3
P054,top,3.9,5,7,1,54,54,0,50,M,12.3
P055,top,7.02,4,4,0,55,55,0,30,M,0.7
P056,top,5.96,8,11,1,56,56,0,33,F,24.9
P057,top,6.61,6,9,1,57,57,0,41,M,8.3
P058,top,3.72,12,15,1,58,58,0,52,M,24.4
P059,top,7.71,3,3,0,59,59,0,52,M,20.7
P060,top,9.0,5,9,1,60,60,0,50,F,5.6
P061,top,6.91,9,9,0,61,61,0,19,F,4.8
P062,top,6.54,5,5,0,62,62,0,44,M,23.1
P063,top,3.2,5,8,1,63,63,0,19,F,22.8
P064,top,3.44,9,11,1,64,64,0,52,M,17.6
P065,top,5.49,3,3,0,65,65,0,34,F,22.0
P066,top,7.16,8,12,1,66,66,0,41,M,17.5
P067,top,4.94,4,7,1,67,67,0,23,M,2.5
P068,top,5.73,10,10,0,68,68,0,33,F,20.1
P069,top,6.41,5,5,0,69,69,0,37,F,19.7
P070,top,7.48,12,14,1,70,70,0,41,F,1.2
P071,top,6.11,8,8,0,71,71,0,42,F,8.8
P072,top,7.16,5,5,0,72,72,0,51,F,19.7
P073,top,6.32,3,5,1,73,73,0,34,F,19.7
P074,top,12.21,4,4,0,74,74,0,38,M,8.0
P075,top,5.0,6,7,1,75,75,0,52,M,7.5
P076,top,7.1,12,12,0,76,76,0,48,F,19.1
P077,top,1.82,9,9,0,77,77,0,40,M,2.2
P078,top,7.75,4,8,1,78,78,0,23,M,5.4
P079,top,7.57,4,6,1,79,79,0,52,F,7.4
P080,top,5.57,9,9,0,80,80,0,48,M,22.3
P081,top,6.44,5,7,1,81,81,0,36,M,20.9
P082,top,3.89,5,6,1,82,82,0,44,M,16.9
P083,top,3.1,3,3,0,83,83,0,32,F,5.3
P084,top,6.43,4,4,0,84,84,0,28,M,4.8
P085,top,6.63,8,8,0,85,85,0,24,M,13.1
P086,top,3.24,9,13,1,86,86,0,29,F,13.4
P087,top,2.28,5,9,1,87,87,0,30,F,17.7
P088,top,4.3,3,3,0,88,88,0,19,F,8.1
P089,top,4.12,4,6,1,89,89,0,34,M,21.3
P090,top,7.26,10,13,1,90,90,0,23,F,8.3
P091,top,6.46,10,10,0,91,91,0,36,F,2.3
P092,top,7.73,3,3,0,92,92,0,26,M,2.3
P093,top,7.05,12,12,0,93,93,0,37,M,15.9
P094,top,7.44,3,3,0,94,94,0,27,F,3.2
P095,top,3.8,4,4,0,95,95,0,40,F,18.1
P096,top,5.89,10,10,0,96,96,0,34,F,14.4
P097,top,6.17,7,7,0,97,97,0,33,F,20.1
P098,top,7.25,3,7,1,98,98,0,39,F,22.3
P099,top,4.38,7,10,1,99,99,0,45,F,10.6
P100,top,8.81,6,6,0,100,100,0,40,M,23.7
P101,top,5.89,9,9,0,101,101,0,52,F,12.8
