study_id,paper_doi,condition,participant_id,dv_primary,dv_secondary,manipulation_check,age,gender,education,session_date,response_time_ms,attrition_flag,note
S0001,10.1037/pspa0000226,treatment_b,P00001,3.613,3.435,4.18,60,F,MA,2019-04-17,2087542,1,why_connect_3a_row_1
S0002,10.1177/0956797614520714,treatment_b,P00002,4.774,3.124,5.17,30,F,Other,2019-11-23,881850,0,why_connect_3a_row_2
S0003,10.1177/0956797615575277,treatment_a,P00003,3.79,3.362,6.1,37,M,HS,2019-10-27,239832,1,why_connect_3a_row_3
S0004,10.1177/0956797614520714,treatment_a,P00004,5.219,3.262,4.22,18,F,PhD,2019-09-06,1393437,0,why_connect_3a_row_4
S0005,10.1177/0956797614520714,treatment_b,P00005,3.028,1.959,5.13,54,NB,Other,2019-03-14,1821477,0,why_connect_3a_row_5
S0006,10.1177/0956797614520714,treatment_b,P00006,5.421,5.155,5.56,57,M,Other,2019-02-18,1502952,0,why_connect_3a_row_6
S0007,10.1037/pspa0000226,control,P00007,3.062,3.887,5.16,51,NB,HS,2019-11-11,1737588,0,why_connect_3a_row_7
S0008,10.1037/pspa0000226,treatment_a,P00008,4.885,4.036,4.5,37,M,HS,2019-10-05,1909179,0,why_connect_3a_row_8
S0009,10.1073/pnas.1209746109,control,P00009,3.789,4.889,5.1,38,M,MA,2019-03-02,1994198,0,why_connect_3a_row_9
S0010,10.1177/0956797615575277,treatment_a,P00010,3.672,4.885,5.25,35,F,HS,2019-10-27,2034285,0,why_connect_3a_row_10
S0011,10.1177/0956797615575277,treatment_b,P00011,4.838,2.091,5.65,29,NB,MA,2019-08-15,1920056,0,why_connect_3a_row_11
S0012,10.1037/pspa0000226,control,P00012,4.743,3.281,5.35,55,M,BA,2019-09-10,1400376,0,why_connect_3a_row_12
S0013,10.1177/0956797615575277,treatment_b,P00013,4.551,5.067,4.31,23,F,PhD,2019-04-14,1459565,0,why_connect_3a_row_13
S0014,10.1177/0956797615575277,control,P00014,4.575,4.092,5.12,53,F,MA,2019-10-05,1049061,0,why_connect_3a_row_14
S0015,10.1037/pspa0000226,treatment_b,P00015,2.507,4.613,6.66,30,F,PhD,2019-11-05,538489,0,why_connect_3a_row_15
S0016,10.1177/0956797614520714,treatment_a,P00016,5.901,2.635,3.37,22,F,HS,2019-11-12,398508,0,why_connect_3a_row_16
S0017,10.1177/0956797615575277,control,P00017,4.119,2.834,5.11,32,F,MA,2019-09-03,1762439,0,why_connect_3a_row_17
S0018,10.1073/pnas.1209746109,control,P00018,3.943,3.422,3.92,30,M,BA,2019-03-03,1025393,0,why_connect_3a_row_18
S0019,10.1177/0956797615575277,treatment_a,P00019,4.629,3.699,5.72,43,F,PhD,2019-09-04,602750,0,why_connect_3a_row_19
S0020,10.1177/0956797615575277,treatment_b,P00020,3.374,2.314,4.5,41,M,HS,2019-09-03,1518150,1,why_connect_3a_row_20
S0021,10.1073/pnas.1209746109,treatment_b,P00021,4.302,2.352,6.4,30,F,MA,2019-06-11,2153519,0,why_connect_3a_row_21
