complaint_id,date,model,lot,failure_mode,outcome,mdr_submitted
CMP-10001,2020-12-10,Nimbus-II-EpiD,LOT-7829-2020,battery_failure,death,Y
CMP-10002,2024-12-18,Nimbus-II-PainPRO,LOT-1182-2024,battery_failure,serious_injury,Y
CMP-10003,2020-11-08,Nimbus-II-Flex,LOT-8711-2020,battery_failure,serious_injury,Y
CMP-10004,2019-04-03,Nimbus-II-PainPRO,LOT-4531-2019,battery_failure,serious_injury,Y
CMP-10005,2021-10-15,Nimbus-II-EMS,LOT-8703-2021,battery_failure,serious_injury,Y
CMP-10006,2020-05-17,Nimbus-II-Flex,LOT-8473-2020,battery_failure,serious_injury,Y
CMP-10007,2019-10-03,Nimbus-Admin,LOT-6365-2019,battery_failure,serious_injury,Y
CMP-10008,2020-10-11,Nimbus-Admin,LOT-8108-2020,battery_failure,no_harm,Y
CMP-10009,2023-05-25,Nimbus-PainPro,LOT-6679-2023,battery_failure,no_harm,Y
CMP-10010,2023-08-06,Nimbus-Admin,LOT-5498-2023,battery_failure,no_harm,N
CMP-10011,2024-09-24,Nimbus-PainPro,LOT-5259-2024,battery_failure,no_harm,N
CMP-10012,2024-05-12,Nimbus-II-EpiD,LOT-5953-2024,battery_failure,no_harm,Y
CMP-10013,2019-08-27,Nimbus-II-EMS,LOT-7052-2019,battery_failure,near_miss,Y
CMP-10014,2020-11-06,Nimbus-Admin,LOT-4834-2020,battery_failure,no_harm,N
CMP-10015,2020-09-12,Nimbus-II-PainPRO,LOT-9593-2020,battery_failure,no_harm,N
CMP-10016,2023-03-01,Nimbus-Admin,LOT-9320-2023,battery_failure,patient_discomfort,N
CMP-10017,2021-03-08,Nimbus-Flex,LOT-9503-2021,battery_failure,no_harm,N
CMP-10018,2019-07-07,Nimbus-II-EMS,LOT-6759-2019,battery_failure,no_harm,N
CMP-10019,2022-05-17,Nimbus-Flex,LOT-7364-2022,battery_failure,patient_discomfort,Y
CMP-10020,2021-12-18,Nimbus-II-Flex,LOT-2052-2021,battery_failure,near_miss,N
CMP-10021,2020-05-07,Nimbus-Admin,LOT-5069-2020,battery_failure,no_harm,Y
CMP-10022,2024-04-14,Nimbus-PainPro,LOT-4952-2024,battery_failure,no_harm,Y
CMP-10023,2021-10-23,Nimbus-II-EpiD,LOT-9542-2021,battery_failure,no_harm,N
CMP-10024,2019-08-01,Nimbus-II-EMS,LOT-9350-2019,battery_failure,patient_discomfort,N
CMP-10025,2022-01-06,Nimbus-II-EpiD,LOT-8824-2022,battery_failure,near_miss,N
CMP-10026,2019-11-14,Nimbus-II-Flex,LOT-2515-2019,battery_failure,near_miss,Y
CMP-10027,2024-11-08,Nimbus-II-Flex,LOT-1202-2024,battery_failure,no_harm,N
CMP-10028,2021-01-16,Nimbus-II-EpiD,LOT-6540-2021,battery_failure,no_harm,Y
CMP-10029,2022-04-08,Nimbus-PainPro,LOT-5680-2022,battery_failure,no_harm,N
CMP-10030,2021-07-28,Nimbus-Admin,LOT-4843-2021,battery_failure,no_harm,Y
CMP-10031,2023-07-14,Nimbus-Admin,LOT-2096-2023,battery_failure,no_harm,N
CMP-10032,2024-02-17,Nimbus-PainPro,LOT-8339-2024,battery_failure,no_harm,N
CMP-10033,2020-04-03,Nimbus-II-EpiD,LOT-8736-2020,battery_failure,patient_discomfort,Y
CMP-10034,2024-07-13,Nimbus-II-EpiD,LOT-7919-2024,battery_failure,no_harm,N
CMP-10035,2022-04-12,Nimbus-II-EpiD,LOT-9925-2022,battery_failure,near_miss,N
CMP-10036,2024-11-28,Nimbus-II-Flex,LOT-1813-2024,battery_failure,patient_discomfort,N
CMP-10037,2022-08-11,Nimbus-II-EpiD,LOT-3034-2022,battery_failure,serious_injury,Y
CMP-10038,2019-05-13,Nimbus-PainPro,LOT-2292-2019,battery_failure,no_harm,Y
CMP-10039,2019-10-11,Nimbus-II-EpiD,LOT-2645-2019,battery_failure,no_harm,Y
CMP-10040,2020-06-11,Nimbus-II-Flex,LOT-3641-2020,battery_failure,no_harm,N
CMP-10041,2020-09-13,Nimbus-PainPro,LOT-5066-2020,battery_failure,no_harm,N
CMP-10042,2022-07-02,Nimbus-PainPro,LOT-3161-2022,battery_failure,near_miss,Y
CMP-10043,2022-07-24,Nimbus-II-EpiD,LOT-2737-2022,battery_failure,no_harm,N
CMP-10044,2021-07-21,Nimbus-PainPro,LOT-3735-2021,battery_failure,no_harm,Y
CMP-10045,2021-12-03,Nimbus-II-Plus,LOT-6396-2021,battery_failure,no_harm,Y
CMP-10046,2021-09-24,Nimbus-Admin,LOT-8002-2021,battery_failure,no_harm,Y
CMP-10047,2021-06-24,Nimbus-II-EMS,LOT-1997-2021,battery_failure,patient_discomfort,N
CMP-10048,2020-02-05,Nimbus-II-Flex,LOT-9900-2020,battery_failure,no_harm,N
CMP-10049,2021-10-26,Nimbus-II-Plus,LOT-7744-2021,battery_failure,near_miss,Y
CMP-10050,2020-09-17,Nimbus-II-PainPRO,LOT-1017-2020,battery_failure,patient_discomfort,Y
CMP-10051,2024-12-24,Nimbus-II-EpiD,LOT-1737-2024,battery_failure,no_harm,N
CMP-10052,2020-08-25,Nimbus-II-Plus,LOT-2459-2020,battery_failure,no_harm,Y
CMP-10053,2022-09-22,Nimbus-II-EpiD,LOT-9491-2022,battery_failure,no_harm,N
CMP-10054,2024-05-13,Nimbus-II-EpiD,LOT-5270-2024,battery_failure,no_harm,Y
CMP-10055,2022-04-19,Nimbus-II-EpiD,LOT-4241-2022,battery_failure,death,Y
CMP-10056,2020-06-26,Nimbus-II-PainPRO,LOT-4789-2020,battery_failure,near_miss,Y
CMP-10057,2024-02-04,Nimbus-II-EpiD,LOT-9357-2024,battery_failure,no_harm,Y
CMP-10058,2024-07-16,Nimbus-II-PainPRO,LOT-8335-2024,battery_failure,no_harm,Y
CMP-10059,2021-04-10,Nimbus-II-Flex,LOT-3208-2021,battery_failure,no_harm,N
CMP-10060,2019-02-13,Nimbus-II-EpiD,LOT-5892-2019,battery_failure,no_harm,Y
CMP-10061,2019-11-19,Nimbus-II-PainPRO,LOT-9104-2019,battery_failure,near_miss,N
CMP-10062,2021-05-08,Nimbus-II-Plus,LOT-2551-2021,battery_failure,no_harm,Y
CMP-10063,2019-12-04,Nimbus-Admin,LOT-9754-2019,battery_failure,no_harm,N
CMP-10064,2023-01-18,Nimbus-II-Flex,LOT-7962-2023,battery_failure,no_harm,N
CMP-10065,2022-08-01,Nimbus-II-EMS,LOT-6949-2022,battery_failure,no_harm,N
CMP-10066,2024-10-14,Nimbus-II-PainPRO,LOT-9372-2024,battery_failure,serious_injury,Y
CMP-10067,2023-10-09,Nimbus-II-EMS,LOT-9959-2023,battery_failure,no_harm,N
CMP-10068,2019-08-07,Nimbus-II-EpiD,LOT-9492-2019,battery_failure,no_harm,Y
CMP-10069,2021-12-09,Nimbus-PainPro,LOT-9734-2021,battery_failure,no_harm,Y
CMP-10070,2021-07-15,Nimbus-II-EpiD,LOT-8044-2021,battery_failure,no_harm,N
CMP-10071,2022-12-10,Nimbus-Flex,LOT-7967-2022,battery_failure,no_harm,N
CMP-10072,2024-04-16,Nimbus-PainPro,LOT-2407-2024,battery_failure,no_harm,N
CMP-10073,2020-01-25,Nimbus-II-EMS,LOT-4395-2020,battery_failure,no_harm,Y
CMP-10074,2021-07-10,Nimbus-PainPro,LOT-1338-2021,battery_failure,no_harm,N
CMP-10075,2023-04-26,Nimbus-PainPro,LOT-5581-2023,battery_failure,no_harm,N
CMP-10076,2024-11-06,Nimbus-PainPro,LOT-6171-2024,battery_failure,no_harm,Y
CMP-10077,2024-11-26,Nimbus-II-EMS,LOT-5896-2024,battery_failure,no_harm,Y
CMP-10078,2020-12-21,Nimbus-Admin,LOT-3606-2020,battery_failure,near_miss,N
