snapshot_time_utc,symbol,bid_price,ask_price,bid_size,ask_size,last_price,volume,tz_offset_used,tz_offset_correct
2024-11-03T14:18:00Z,YM,4714.3,4715.1900000000005,29,225,4714.75,9487,-04:00,-05:00
2024-11-03T18:40:00Z,NQ,4624.5,4625.29,67,48,4624.9,7435,-04:00,-05:00
2024-11-03T21:38:00Z,ES,4922.47,4923.41,137,334,4922.94,6718,-04:00,-05:00
2024-11-03T16:37:00Z,ES,4517.2,4517.8,478,143,4517.5,9838,-04:00,-05:00
2024-11-03T18:21:00Z,YM,5222.16,5222.84,77,163,5222.5,7373,-04:00,-05:00
2024-11-03T17:28:00Z,RTY,5574.41,5575.11,303,267,5574.76,7319,-04:00,-05:00
2024-11-03T15:14:00Z,RTY,5190.16,5190.45,454,344,5190.31,3473,-04:00,-05:00
2024-11-03T21:31:00Z,YM,5591.06,5591.43,403,333,5591.25,8543,-04:00,-05:00
2024-11-03T19:31:00Z,NQ,5756.51,5756.89,185,360,5756.7,2209,-04:00,-05:00
2024-11-03T17:14:00Z,ES,5720.0,5720.45,203,47,5720.23,5138,-04:00,-05:00
2024-11-03T21:16:00Z,NQ,5362.01,5362.35,119,376,5362.18,8575,-04:00,-05:00
2024-11-03T14:06:00Z,YM,4996.62,4996.95,215,200,4996.78,5936,-04:00,-05:00
2024-11-03T19:51:00Z,RTY,4933.59,4934.26,95,438,4933.93,3015,-04:00,-05:00
2024-11-03T17:36:00Z,RTY,5363.42,5364.37,492,442,5363.9,9247,-04:00,-05:00
2024-11-03T21:57:00Z,YM,5081.31,5082.110000000001,117,113,5081.71,1418,-04:00,-05:00
2024-11-03T17:09:00Z,ES,5704.15,5704.889999999999,207,498,5704.52,4105,-04:00,-05:00
2024-11-03T21:53:00Z,NQ,5346.42,5346.72,406,175,5346.57,4247,-04:00,-05:00
2024-11-03T15:43:00Z,RTY,5038.03,5038.9,394,265,5038.47,4572,-04:00,-05:00
2024-11-03T15:05:00Z,RTY,5770.94,5771.66,439,461,5771.3,8095,-04:00,-05:00
2024-11-03T17:20:00Z,NQ,5577.15,5577.9,427,364,5577.52,9545,-04:00,-05:00
2024-11-03T21:29:00Z,YM,4753.75,4754.05,443,449,4753.9,7470,-04:00,-05:00
2024-11-03T17:48:00Z,YM,5356.03,5356.34,434,144,5356.18,7237,-04:00,-05:00
2024-11-03T19:48:00Z,NQ,5017.76,5018.4800000000005,89,323,5018.12,7133,-04:00,-05:00
2024-11-03T16:38:00Z,NQ,5377.83,5378.55,394,191,5378.19,2387,-04:00,-05:00
2024-11-03T18:28:00Z,NQ,5541.6,5541.9800000000005,478,168,5541.79,6693,-04:00,-05:00
2024-11-03T14:49:00Z,YM,5699.51,5700.51,198,385,5700.01,4845,-04:00,-05:00
2024-11-03T18:26:00Z,ES,5225.54,5225.96,439,328,5225.75,6840,-04:00,-05:00
2024-11-03T20:52:00Z,RTY,5681.98,5682.32,185,320,5682.15,2318,-04:00,-05:00
2024-11-03T16:04:00Z,RTY,5202.96,5203.35,130,468,5203.16,7296,-04:00,-05:00
2024-11-03T15:56:00Z,ES,5626.98,5627.5599999999995,167,195,5627.27,6266,-04:00,-05:00
2024-11-03T17:10:00Z,NQ,4822.0,4822.4,430,65,4822.2,9571,-04:00,-05:00
2024-11-03T21:20:00Z,YM,4573.96,4574.47,205,474,4574.22,1199,-04:00,-05:00
2024-11-03T14:09:00Z,YM,5650.23,5650.79,21,451,5650.51,7810,-04:00,-05:00
2024-11-03T17:33:00Z,RTY,5077.2,5078.099999999999,227,249,5077.65,4017,-04:00,-05:00
2024-11-03T20:13:00Z,ES,5504.64,5505.35,443,426,5505.0,7779,-04:00,-05:00
2024-11-03T16:03:00Z,RTY,4547.24,4547.78,17,112,4547.51,9379,-04:00,-05:00
2024-11-03T17:43:00Z,NQ,5589.49,5590.389999999999,95,413,5589.94,7526,-04:00,-05:00
2024-11-03T21:13:00Z,NQ,5794.42,5794.77,303,342,5794.6,5708,-04:00,-05:00
2024-11-03T21:11:00Z,YM,5618.48,5619.4,385,497,5618.94,6356,-04:00,-05:00
2024-11-03T15:26:00Z,YM,5681.9,5682.7,429,51,5682.3,6104,-04:00,-05:00
2024-11-03T16:02:00Z,ES,4966.18,4967.09,369,421,4966.64,879,-04:00,-05:00
2024-11-03T17:09:00Z,RTY,4652.28,4652.63,434,101,4652.45,865,-04:00,-05:00
2024-11-03T15:02:00Z,NQ,4963.33,4964.2699999999995,29,134,4963.8,3942,-04:00,-05:00
2024-11-03T18:17:00Z,NQ,4724.06,4724.39,450,463,4724.23,3666,-04:00,-05:00
2024-11-03T19:01:00Z,NQ,5647.44,5648.19,369,154,5647.81,5012,-04:00,-05:00
2024-11-03T21:39:00Z,YM,4947.72,4948.240000000001,473,161,4947.98,6035,-04:00,-05:00
2024-11-03T16:03:00Z,NQ,5682.77,5683.160000000001,451,494,5682.97,2013,-04:00,-05:00
2024-11-03T20:48:00Z,YM,4751.35,4751.89,350,129,4751.62,7027,-04:00,-05:00
2024-11-03T15:56:00Z,RTY,4710.73,4711.58,378,35,4711.15,8696,-04:00,-05:00
2024-11-03T15:13:00Z,ES,4906.73,4907.4,380,80,4907.06,8314,-04:00,-05:00
2024-11-03T19:44:00Z,ES,4843.23,4844.129999999999,107,401,4843.68,3682,-04:00,-05:00
2024-11-03T19:24:00Z,ES,4781.38,4781.72,67,232,4781.55,6702,-04:00,-05:00
2024-11-03T17:12:00Z,ES,5476.49,5476.83,500,91,5476.66,4614,-04:00,-05:00
2024-11-03T21:22:00Z,NQ,4841.55,4842.04,24,400,4841.8,9986,-04:00,-05:00
2024-11-03T21:49:00Z,NQ,5442.19,5442.87,373,466,5442.53,7489,-04:00,-05:00
2024-11-03T15:27:00Z,RTY,4868.85,4869.7300000000005,392,121,4869.29,5467,-04:00,-05:00
2024-11-03T19:25:00Z,YM,5208.26,5209.070000000001,251,206,5208.67,1840,-04:00,-05:00
2024-11-03T18:23:00Z,RTY,5052.71,5053.56,366,293,5053.14,8732,-04:00,-05:00
2024-11-03T16:36:00Z,RTY,5340.53,5341.3,419,271,5340.91,6632,-04:00,-05:00
2024-11-03T16:50:00Z,ES,5004.96,5005.4,99,367,5005.18,636,-04:00,-05:00
2024-11-03T16:19:00Z,NQ,5386.22,5386.55,133,275,5386.39,1522,-04:00,-05:00
2024-11-03T20:24:00Z,YM,4662.11,4662.4,399,330,4662.25,214,-04:00,-05:00
2024-11-03T16:56:00Z,ES,4876.95,4877.49,410,218,4877.22,2855,-04:00,-05:00
2024-11-03T19:01:00Z,ES,5301.87,5302.61,297,234,5302.24,8477,-04:00,-05:00
2024-11-03T17:18:00Z,NQ,4610.31,4611.240000000001,202,147,4610.78,9844,-04:00,-05:00
2024-11-03T19:03:00Z,ES,5391.87,5392.16,489,493,5392.01,4377,-04:00,-05:00
2024-11-03T17:29:00Z,RTY,5645.65,5645.969999999999,482,288,5645.81,7872,-04:00,-05:00
2024-11-03T16:38:00Z,RTY,5125.11,5125.92,92,313,5125.51,6213,-04:00,-05:00
2024-11-03T17:14:00Z,YM,5476.09,5476.92,103,182,5476.51,2507,-04:00,-05:00
2024-11-03T17:13:00Z,ES,4583.6,4584.43,335,299,4584.02,2205,-04:00,-05:00
2024-11-03T18:33:00Z,YM,5353.73,5354.089999999999,326,228,5353.91,3520,-04:00,-05:00
2024-11-03T21:57:00Z,RTY,4704.24,4704.69,294,284,4704.47,8985,-04:00,-05:00
2024-11-03T18:39:00Z,NQ,5048.48,5049.32,452,263,5048.9,9815,-04:00,-05:00
2024-11-03T15:54:00Z,RTY,5134.15,5134.469999999999,397,149,5134.31,3556,-04:00,-05:00
2024-11-03T21:48:00Z,YM,5433.19,5434.009999999999,361,51,5433.6,9155,-04:00,-05:00
2024-11-03T19:53:00Z,YM,4735.31,4735.6900000000005,72,262,4735.5,818,-04:00,-05:00
2024-11-03T21:15:00Z,NQ,5500.65,5501.0199999999995,240,288,5500.83,8780,-04:00,-05:00
2024-11-03T20:49:00Z,ES,5723.43,5724.360000000001,471,394,5723.9,8422,-04:00,-05:00
2024-11-03T17:17:00Z,RTY,4767.89,4768.37,153,297,4768.13,2116,-04:00,-05:00
2024-11-03T16:12:00Z,ES,4823.97,4824.93,363,331,4824.45,2349,-04:00,-05:00
2024-11-03T15:52:00Z,ES,5374.44,5374.98,375,460,5374.71,9766,-04:00,-05:00
2024-11-03T15:16:00Z,RTY,4614.51,4615.27,140,144,4614.89,9685,-04:00,-05:00
2024-11-03T21:13:00Z,ES,5468.26,5469.030000000001,388,323,5468.65,1010,-04:00,-05:00
2024-11-03T19:41:00Z,YM,5679.14,5679.740000000001,252,357,5679.44,6430,-04:00,-05:00
2024-11-03T17:21:00Z,RTY,4766.49,4767.49,79,470,4766.99,9577,-04:00,-05:00
2024-11-03T18:32:00Z,YM,5217.08,5217.38,321,92,5217.23,7382,-04:00,-05:00
2024-11-03T16:06:00Z,RTY,5628.59,5629.52,185,15,5629.06,1293,-04:00,-05:00
2024-11-03T17:02:00Z,RTY,5503.19,5504.15,377,314,5503.67,2643,-04:00,-05:00
2024-11-03T16:22:00Z,NQ,4863.4,4864.099999999999,277,342,4863.75,4148,-04:00,-05:00
2024-11-03T17:48:00Z,NQ,4647.97,4648.67,276,99,4648.32,4250,-04:00,-05:00
2024-11-03T21:44:00Z,NQ,4838.98,4839.919999999999,73,492,4839.45,8818,-04:00,-05:00
2024-11-03T17:30:00Z,NQ,5364.52,5365.1,244,71,5364.81,2945,-04:00,-05:00
2024-11-03T18:43:00Z,YM,5469.24,5470.07,94,460,5469.65,9327,-04:00,-05:00
2024-11-03T21:44:00Z,YM,5737.79,5738.53,63,333,5738.16,3312,-04:00,-05:00
2024-11-03T20:31:00Z,RTY,5680.12,5680.5,496,438,5680.31,8406,-04:00,-05:00
2024-11-03T16:52:00Z,YM,4937.38,4938.25,95,205,4937.82,6959,-04:00,-05:00
2024-11-03T18:04:00Z,ES,4742.01,4742.81,268,451,4742.41,4703,-04:00,-05:00
2024-11-03T19:05:00Z,RTY,5747.16,5748.139999999999,160,468,5747.65,9776,-04:00,-05:00
2024-11-03T16:22:00Z,ES,5713.11,5713.61,47,210,5713.36,4238,-04:00,-05:00
2024-11-03T19:42:00Z,ES,5673.88,5674.82,368,419,5674.35,2960,-04:00,-05:00
2024-11-03T17:36:00Z,ES,5754.15,5755.07,95,75,5754.61,5369,-04:00,-05:00
2024-11-03T15:50:00Z,NQ,5675.36,5676.0,226,237,5675.68,2631,-04:00,-05:00
2024-11-03T16:12:00Z,ES,5670.01,5670.45,266,385,5670.23,2893,-04:00,-05:00
2024-11-03T14:10:00Z,NQ,5423.0,5423.6,313,37,5423.3,2801,-04:00,-05:00
2024-11-03T19:57:00Z,RTY,5178.76,5179.14,250,490,5178.95,2961,-04:00,-05:00
2024-11-03T15:50:00Z,YM,5132.25,5132.56,319,111,5132.41,1959,-04:00,-05:00
2024-11-03T19:00:00Z,RTY,5044.05,5044.52,48,19,5044.28,6398,-04:00,-05:00
2024-11-03T17:40:00Z,RTY,5448.36,5448.96,95,125,5448.66,7781,-04:00,-05:00
2024-11-03T21:04:00Z,NQ,5798.33,5799.22,247,263,5798.77,6904,-04:00,-05:00
2024-11-03T18:11:00Z,RTY,4672.91,4673.53,470,466,4673.22,5664,-04:00,-05:00
2024-11-03T14:38:00Z,YM,5219.02,5219.9800000000005,464,124,5219.5,301,-04:00,-05:00
2024-11-03T21:22:00Z,ES,4857.04,4857.87,363,298,4857.45,6505,-04:00,-05:00
2024-11-03T18:17:00Z,RTY,4782.06,4782.55,384,454,4782.31,8090,-04:00,-05:00
2024-11-03T18:21:00Z,RTY,4658.69,4659.419999999999,351,68,4659.05,9085,-04:00,-05:00
2024-11-03T16:51:00Z,NQ,4858.16,4858.75,18,479,4858.45,8469,-04:00,-05:00
2024-11-03T14:35:00Z,NQ,4724.16,4724.61,42,493,4724.39,987,-04:00,-05:00
2024-11-03T15:38:00Z,YM,5011.37,5011.92,402,83,5011.65,5803,-04:00,-05:00
2024-11-03T16:12:00Z,RTY,4964.93,4965.450000000001,454,488,4965.19,5369,-04:00,-05:00
2024-11-03T20:55:00Z,NQ,5536.65,5537.139999999999,424,266,5536.89,4441,-04:00,-05:00
2024-11-03T15:54:00Z,ES,4778.33,4779.1,263,492,4778.72,8527,-04:00,-05:00
2024-11-03T21:59:00Z,ES,5274.48,5274.73,262,296,5274.6,4081,-04:00,-05:00
2024-11-03T17:23:00Z,YM,5766.65,5766.95,335,273,5766.8,1603,-04:00,-05:00
2024-11-03T21:28:00Z,ES,4521.84,4522.31,40,329,4522.08,1562,-04:00,-05:00
2024-11-03T19:14:00Z,ES,4776.63,4777.12,99,117,4776.88,164,-04:00,-05:00
2024-11-03T17:17:00Z,NQ,4674.98,4675.98,116,199,4675.48,2789,-04:00,-05:00
2024-11-03T16:34:00Z,YM,5008.22,5009.17,424,180,5008.69,509,-04:00,-05:00
2024-11-03T17:03:00Z,RTY,5414.96,5415.83,307,432,5415.4,1864,-04:00,-05:00
2024-11-03T15:08:00Z,RTY,5275.08,5275.54,22,197,5275.31,9309,-04:00,-05:00
2024-11-03T18:31:00Z,RTY,5332.33,5332.83,279,260,5332.58,9740,-04:00,-05:00
2024-11-03T18:04:00Z,RTY,5370.42,5371.02,42,373,5370.72,7455,-04:00,-05:00
2024-11-03T20:19:00Z,NQ,5515.03,5516.03,345,232,5515.53,487,-04:00,-05:00
2024-11-03T20:23:00Z,YM,5363.98,5364.5199999999995,162,99,5364.25,7273,-04:00,-05:00
2024-11-03T17:01:00Z,RTY,4585.87,4586.23,84,272,4586.05,9593,-04:00,-05:00
2024-11-03T19:29:00Z,RTY,4786.28,4786.54,202,73,4786.41,1079,-04:00,-05:00
2024-11-03T17:40:00Z,ES,4789.39,4790.12,476,167,4789.76,8619,-04:00,-05:00
2024-11-03T16:55:00Z,NQ,4595.62,4596.59,63,288,4596.1,5670,-04:00,-05:00
2024-11-03T17:55:00Z,RTY,5111.64,5112.0,308,348,5111.82,7057,-04:00,-05:00
2024-11-03T18:53:00Z,NQ,5353.39,5354.39,27,234,5353.89,9927,-04:00,-05:00
2024-11-03T19:27:00Z,YM,5289.23,5290.0,462,437,5289.61,5593,-04:00,-05:00
2024-11-03T18:23:00Z,NQ,4623.23,4623.73,427,262,4623.48,6730,-04:00,-05:00
2024-11-03T14:21:00Z,ES,5657.67,5658.6,227,177,5658.14,1615,-04:00,-05:00
2024-11-03T15:39:00Z,YM,5007.97,5008.35,120,76,5008.16,3222,-04:00,-05:00
2024-11-03T19:26:00Z,YM,5186.36,5187.009999999999,158,102,5186.68,2896,-04:00,-05:00
2024-11-03T16:39:00Z,NQ,5779.57,5780.03,229,477,5779.8,8105,-04:00,-05:00
2024-11-03T18:47:00Z,YM,4868.75,4869.17,382,149,4868.96,2149,-04:00,-05:00
2024-11-03T20:59:00Z,RTY,4672.26,4672.95,253,238,4672.6,9594,-04:00,-05:00
2024-11-03T14:48:00Z,RTY,4748.05,4748.39,176,74,4748.22,2695,-04:00,-05:00
2024-11-03T17:01:00Z,ES,4640.2,4640.98,211,48,4640.59,8404,-04:00,-05:00
2024-11-03T19:38:00Z,RTY,4684.36,4684.62,165,279,4684.49,966,-04:00,-05:00
2024-11-03T17:22:00Z,ES,5529.22,5530.18,256,132,5529.7,8791,-04:00,-05:00
2024-11-03T21:40:00Z,YM,5089.73,5090.33,247,336,5090.03,7502,-04:00,-05:00
2024-11-03T19:14:00Z,YM,5190.51,5191.150000000001,224,215,5190.83,3163,-04:00,-05:00
2024-11-03T20:56:00Z,ES,5451.0,5451.63,239,92,5451.32,6462,-04:00,-05:00
2024-11-03T15:18:00Z,ES,4756.2,4757.03,88,474,4756.61,8294,-04:00,-05:00
2024-11-03T20:16:00Z,NQ,4640.23,4640.58,193,278,4640.4,6447,-04:00,-05:00
2024-11-03T17:01:00Z,ES,4752.7,4753.54,477,289,4753.12,2568,-04:00,-05:00
2024-11-03T17:19:00Z,YM,4955.61,4956.049999999999,175,39,4955.83,4516,-04:00,-05:00
2024-11-03T14:01:00Z,NQ,4913.06,4913.8,440,278,4913.43,2397,-04:00,-05:00
2024-11-03T16:26:00Z,RTY,4565.18,4565.490000000001,377,27,4565.34,4605,-04:00,-05:00
2024-11-03T19:46:00Z,NQ,4730.11,4731.009999999999,51,50,4730.56,511,-04:00,-05:00
2024-11-03T15:48:00Z,YM,5190.17,5190.57,30,177,5190.37,8852,-04:00,-05:00
2024-11-03T21:34:00Z,YM,5152.68,5153.240000000001,493,78,5152.96,4416,-04:00,-05:00
2024-11-03T14:01:00Z,NQ,5706.15,5707.12,139,96,5706.64,8902,-04:00,-05:00
2024-11-03T21:09:00Z,RTY,5329.57,5330.349999999999,133,386,5329.96,3230,-04:00,-05:00
2024-11-03T14:03:00Z,ES,5607.14,5608.09,423,277,5607.61,4235,-04:00,-05:00
2024-11-03T17:09:00Z,RTY,5067.1,5067.83,212,334,5067.47,7833,-04:00,-05:00
2024-11-03T20:11:00Z,ES,5525.26,5525.610000000001,266,240,5525.44,3667,-04:00,-05:00
2024-11-03T16:18:00Z,ES,4701.39,4701.67,107,277,4701.53,8272,-04:00,-05:00
2024-11-03T21:32:00Z,RTY,5114.9,5115.259999999999,271,197,5115.08,2176,-04:00,-05:00
2024-11-03T19:12:00Z,YM,5448.68,5449.68,315,190,5449.18,154,-04:00,-05:00
2024-11-03T21:56:00Z,ES,5434.49,5434.84,16,19,5434.66,6492,-04:00,-05:00
2024-11-03T14:13:00Z,RTY,4984.09,4984.88,184,396,4984.49,8748,-04:00,-05:00
2024-11-03T20:23:00Z,YM,5366.94,5367.69,110,421,5367.31,3910,-04:00,-05:00
2024-11-03T19:35:00Z,NQ,5268.05,5268.4400000000005,159,81,5268.25,6680,-04:00,-05:00
2024-11-03T14:51:00Z,NQ,5727.15,5727.54,11,58,5727.34,3602,-04:00,-05:00
2024-11-03T20:22:00Z,NQ,5285.68,5286.030000000001,82,359,5285.86,101,-04:00,-05:00
2024-11-03T20:09:00Z,YM,5149.72,5150.02,420,283,5149.87,7271,-04:00,-05:00
2024-11-03T14:54:00Z,YM,5115.52,5116.25,357,422,5115.89,9852,-04:00,-05:00
2024-11-03T15:06:00Z,RTY,5003.88,5004.6900000000005,175,52,5004.28,3481,-04:00,-05:00
2024-11-03T19:55:00Z,NQ,4569.3,4570.09,101,113,4569.69,2788,-04:00,-05:00
2024-11-03T16:28:00Z,NQ,5736.99,5737.8099999999995,403,459,5737.4,5079,-04:00,-05:00
2024-11-03T16:58:00Z,NQ,5349.85,5350.410000000001,439,207,5350.13,9990,-04:00,-05:00
2024-11-03T21:28:00Z,NQ,5226.32,5227.139999999999,248,408,5226.73,9111,-04:00,-05:00
2024-11-03T19:22:00Z,ES,5643.13,5644.08,336,345,5643.6,5164,-04:00,-05:00
2024-11-03T16:32:00Z,YM,4849.0,4849.68,459,386,4849.34,3882,-04:00,-05:00
2024-11-03T17:07:00Z,NQ,5218.92,5219.56,71,156,5219.24,2932,-04:00,-05:00
2024-11-03T21:26:00Z,RTY,5469.95,5470.91,270,238,5470.43,3655,-04:00,-05:00
2024-11-03T16:50:00Z,RTY,5277.96,5278.93,116,164,5278.44,9365,-04:00,-05:00
2024-11-03T18:41:00Z,YM,4771.94,4772.83,24,285,4772.39,1774,-04:00,-05:00
2024-11-03T17:16:00Z,YM,4516.9,4517.73,182,197,4517.31,6062,-04:00,-05:00
2024-11-03T16:16:00Z,RTY,5783.39,5784.27,295,130,5783.83,9242,-04:00,-05:00
2024-11-03T16:18:00Z,ES,5371.26,5371.93,232,230,5371.6,8223,-04:00,-05:00
2024-11-03T20:27:00Z,RTY,5195.68,5196.320000000001,24,161,5196.0,4983,-04:00,-05:00
2024-11-03T17:12:00Z,ES,4835.9,4836.889999999999,21,139,4836.39,699,-04:00,-05:00
2024-11-03T15:03:00Z,RTY,5664.59,5665.09,244,200,5664.84,6493,-04:00,-05:00
2024-11-03T14:26:00Z,YM,5158.89,5159.39,346,270,5159.14,9460,-04:00,-05:00
2024-11-03T14:11:00Z,YM,5153.86,5154.54,199,214,5154.2,8768,-04:00,-05:00
2024-11-03T17:34:00Z,NQ,5003.35,5004.1900000000005,435,33,5003.77,9357,-04:00,-05:00
2024-11-03T14:22:00Z,YM,5472.29,5472.94,414,128,5472.61,2273,-04:00,-05:00
2024-11-03T18:08:00Z,ES,4591.87,4592.7,118,461,4592.28,9781,-04:00,-05:00
2024-11-03T21:53:00Z,RTY,4972.88,4973.59,291,179,4973.24,3604,-04:00,-05:00
2024-11-03T21:44:00Z,RTY,5703.66,5704.04,307,264,5703.85,7067,-04:00,-05:00
2024-11-03T17:44:00Z,NQ,4585.59,4586.12,125,242,4585.85,9977,-04:00,-05:00
2024-11-03T19:55:00Z,YM,5518.08,5518.42,26,351,5518.25,6590,-04:00,-05:00
2024-11-03T15:16:00Z,NQ,4598.03,4598.66,366,146,4598.34,3198,-04:00,-05:00
2024-11-03T19:09:00Z,YM,4674.96,4675.57,300,244,4675.26,5328,-04:00,-05:00
2024-11-03T17:04:00Z,NQ,5344.34,5344.95,233,103,5344.65,6255,-04:00,-05:00
2024-11-03T17:40:00Z,NQ,5745.28,5745.78,269,219,5745.53,2158,-04:00,-05:00
2024-11-03T15:08:00Z,YM,4562.32,4563.0199999999995,215,426,4562.67,687,-04:00,-05:00
2024-11-03T14:49:00Z,YM,4753.43,4754.37,145,324,4753.9,431,-04:00,-05:00
2024-11-03T17:36:00Z,RTY,4506.07,4506.5199999999995,65,433,4506.3,9846,-04:00,-05:00
2024-11-03T18:02:00Z,YM,4934.09,4934.87,157,408,4934.48,1624,-04:00,-05:00
2024-11-03T17:14:00Z,ES,5046.61,5047.259999999999,321,223,5046.93,6468,-04:00,-05:00
2024-11-03T21:14:00Z,YM,5671.97,5672.27,170,382,5672.12,1388,-04:00,-05:00
2024-11-03T16:29:00Z,ES,4522.72,4523.63,125,164,4523.18,1941,-04:00,-05:00
2024-11-03T18:33:00Z,ES,4681.07,4681.38,210,270,4681.23,3545,-04:00,-05:00
2024-11-03T16:10:00Z,NQ,5122.02,5122.580000000001,361,420,5122.3,614,-04:00,-05:00
2024-11-03T18:50:00Z,RTY,5317.87,5318.45,149,96,5318.16,7751,-04:00,-05:00
