order_id,trigger_time_utc,trigger_time_system_local,timezone_offset_system,cme_settle_reference_utc,delta_target,delta_actual,offset_minutes,status
DHG-000001,2024-11-03T20:12:29Z,2024-11-03T16:12:29,-04:00,2024-11-03T20:00:00Z,1.1978,1.3293,60,OFFSET_DST_ERROR
DHG-000002,2024-11-03T20:24:43Z,2024-11-03T16:24:43,-04:00,2024-11-03T20:00:00Z,-0.0045,-1.9444,60,OFFSET_DST_ERROR
DHG-000003,2024-11-03T20:29:04Z,2024-11-03T16:29:04,-04:00,2024-11-03T20:00:00Z,-0.7928,-0.6398,60,OFFSET_DST_ERROR
DHG-000004,2024-11-03T20:18:09Z,2024-11-03T16:18:09,-04:00,2024-11-03T20:00:00Z,1.5639,1.861,60,OFFSET_DST_ERROR
DHG-000005,2024-11-03T20:10:47Z,2024-11-03T16:10:47,-04:00,2024-11-03T20:00:00Z,0.9703,0.5258,60,OFFSET_DST_ERROR
DHG-000006,2024-11-03T20:11:47Z,2024-11-03T16:11:47,-04:00,2024-11-03T20:00:00Z,0.9819,-1.0285,60,OFFSET_DST_ERROR
DHG-000007,2024-11-03T20:18:24Z,2024-11-03T16:18:24,-04:00,2024-11-03T20:00:00Z,-1.3602,-1.1117,60,OFFSET_DST_ERROR
DHG-000008,2024-11-03T20:05:27Z,2024-11-03T16:05:27,-04:00,2024-11-03T20:00:00Z,2.1121,-2.4853,60,OFFSET_DST_ERROR
DHG-000009,2024-11-03T19:33:31Z,2024-11-03T15:33:31,-04:00,2024-11-03T20:00:00Z,-0.017,-0.4088,60,OFFSET_DST_ERROR
DHG-000010,2024-11-03T20:07:16Z,2024-11-03T16:07:16,-04:00,2024-11-03T20:00:00Z,1.833,-0.7743,60,OFFSET_DST_ERROR
DHG-000011,2024-11-03T19:49:03Z,2024-11-03T15:49:03,-04:00,2024-11-03T20:00:00Z,1.3125,-2.406,60,OFFSET_DST_ERROR
DHG-000012,2024-11-03T20:23:28Z,2024-11-03T16:23:28,-04:00,2024-11-03T20:00:00Z,2.45,0.1682,60,OFFSET_DST_ERROR
DHG-000013,2024-11-03T20:18:56Z,2024-11-03T16:18:56,-04:00,2024-11-03T20:00:00Z,-1.0524,1.0348,60,OFFSET_DST_ERROR
DHG-000014,2024-11-03T19:51:02Z,2024-11-03T15:51:02,-04:00,2024-11-03T20:00:00Z,-0.5064,-2.3431,60,OFFSET_DST_ERROR
