V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Time,Amount,Class
-0.425066,-0.50142,-0.31725,1.965554,-0.350868,-4.042854,0.880644,-0.695077,-0.553245,0.289712,0.569129,2.792541,1.543096,0.254167,-1.661224,-2.232257,0.529636,2.75327,0.085397,-0.212647,1.036964,-2.761736,-0.577713,0.882653,1.528458,-0.40907,0.62139,0.397142,146440.2,81.78,0
-0.464452,-3.565865,2.740244,-0.459133,-4.897821,-1.630919,-3.875989,-3.505136,-3.521002,-1.823616,1.689555,0.490154,-0.234763,0.909391,0.11205,1.009289,-0.534253,2.938291,-1.30205,1.443931,0.386812,1.449253,2.464542,-1.008212,-0.829887,-0.659546,-0.128895,-0.947549,65566.9,402.75,0
-4.197729,-1.543022,2.715753,-4.0423,0.092211,0.683741,-0.836319,1.881443,1.480988,5.803521,1.518921,-1.462568,-1.320224,-1.912637,2.142616,-1.247032,-0.151061,1.573536,-1.483099,-0.587316,-3.590508,-2.056709,-1.050312,0.74837,2.088613,-0.031394,0.431251,0.268751,18946.5,87.23,0
-0.943519,0.49364,-6.988944,6.317688,-7.1984,-1.307484,0.258221,-0.303209,-0.705814,-3.719017,-1.878442,-0.435299,-0.723225,-0.866234,-2.269297,0.964078,4.208167,-1.227386,-0.202986,2.348477,1.866148,3.780623,1.069973,-1.101398,-1.540812,-1.785183,1.60389,2.223008,93200.4,133.22,0
2.611335,0.009224,6.50778,0.786353,3.755646,-3.518813,-0.323669,0.840179,4.451588,-4.20229,2.427018,1.41925,3.603834,1.638487,0.11716,-1.147629,-2.683586,0.410388,-0.392978,4.040535,-1.191498,0.608745,-2.902653,-0.711833,0.457009,1.400732,2.389368,-0.070637,75700.2,31.05,1
-2.065849,3.286815,0.250503,1.959509,3.503701,1.645035,0.759267,5.597268,0.621443,-0.739911,0.274319,3.558645,0.278974,1.194569,2.690396,-1.128289,-3.712125,0.628789,0.470956,-1.21602,1.698618,1.154378,-1.840736,0.932793,-0.343184,-2.521143,0.747368,-0.072343,69569.7,36.62,0
0.016178,1.883723,-2.829435,0.930059,-0.371955,2.014268,2.540582,-1.304475,2.07602,-2.41824,8.855694,2.854163,3.187392,-5.198023,3.913029,-1.908267,1.244389,2.094402,0.468705,1.97266,1.775666,0.667907,1.446181,-0.130255,0.409618,-1.83031,-3.668556,1.869041,172001.1,71.69,0
1.393841,2.010686,3.677545,-0.719635,-4.40619,-1.17458,3.28659,1.210723,-4.990194,-0.087629,3.425512,5.103716,1.319964,0.711395,-2.790463,-1.855134,0.100869,1.056715,1.189378,-0.956417,-2.246287,-1.477785,-2.140403,1.158137,-4.046492,-0.566573,0.742299,2.43522,41243.0,44.51,0
-0.794729,2.404617,0.012957,-1.086592,-9.556264,2.517058,1.033413,-0.024873,0.459327,1.910283,4.615887,-2.015702,1.638317,-1.519644,2.334534,3.486783,-0.851049,-2.766229,2.976998,-0.233482,3.590052,0.172079,-0.833482,2.529416,0.871479,-0.341786,0.587531,0.505016,95592.6,28.09,0
-0.402282,-1.916426,-1.483649,-1.637473,-5.955776,0.42208,0.662197,-0.941891,-1.820296,0.92951,4.206333,0.091812,-1.192939,-1.360329,-0.156952,-2.782484,-0.26931,0.128483,3.781591,1.886948,2.016357,-1.354602,1.239355,-2.050888,0.545931,0.711853,-1.264576,3.199008,137563.6,174.15,0
0.554835,2.128562,3.961256,2.933259,2.096583,-1.834766,-1.115014,-1.035902,4.61249,-2.132046,4.420696,-0.652282,0.387003,-0.349397,-0.170479,-1.969889,3.510815,-1.592224,2.457122,-2.751533,-0.361656,3.324755,2.919671,2.293387,0.782786,-0.935911,0.744518,-1.623739,52734.5,140.16,0
1.911286,0.281446,-2.689737,4.933645,2.176941,-0.451189,-1.687188,-2.039343,3.138899,-0.366196,1.125624,-0.442696,1.448562,-0.266752,1.718671,-0.403064,1.783613,1.412007,-0.23905,-1.719554,-1.833234,-1.4074,-1.821302,1.558434,-0.081554,2.669172,3.760894,0.038756,93040.2,112.29,0
-1.342862,-2.42388,3.810144,1.760711,-1.152639,2.052408,2.44166,-3.38523,-0.682106,2.04405,-2.085507,1.325618,-0.346967,1.151149,-4.689281,2.503948,-2.047075,-4.069633,-1.297517,-1.123314,-0.053066,-0.016062,-0.450808,1.857113,-2.236515,-1.194134,-1.739774,0.377233,36925.9,56.62,0
0.513033,-1.695127,2.955243,1.712033,-1.667281,-1.809045,1.842151,-3.941791,-0.848187,-1.577616,0.1712,0.506704,0.086452,2.610151,0.513142,-0.692983,-2.603338,1.515885,1.0827,2.901619,-1.457537,0.050194,-0.108581,-0.1577,0.018183,-2.914717,1.361226,1.045129,30391.8,280.01,0
2.123233,0.681355,1.823069,-2.5202,1.295724,-3.799903,3.554871,-0.265844,5.110986,-1.626719,-2.967136,-2.48727,-4.426131,-0.130094,-4.583985,-1.390354,-0.097224,-2.380912,-0.089179,1.504825,-2.155296,-2.463878,-2.574037,-0.33719,-0.108192,0.674618,-0.292488,1.242143,55243.3,32.09,1
-1.59314,-4.261671,2.682127,1.12517,-2.749596,-0.740555,0.74119,2.615192,2.791692,-1.864095,-1.621068,-4.456693,0.224932,-2.239567,2.093583,0.07587,0.091995,-4.114563,2.045606,-0.601214,-0.038258,-2.387896,-1.040611,-0.76771,0.357541,1.785468,1.468767,0.262658,117350.3,76.86,1
2.862258,2.908229,2.81174,0.472581,-0.592606,-0.249146,-0.893076,-1.097231,-0.79552,0.191402,-1.22521,1.139853,-1.846652,3.447707,-2.724855,2.529616,0.807103,-1.393786,0.353069,0.194776,-8.149703,-2.007967,-1.575431,2.110896,0.495623,-2.421821,0.107272,-3.909952,34447.9,16.46,1
-1.842416,-3.268168,0.883529,4.254043,0.176631,-1.627214,-3.437761,-2.693426,3.547452,3.048081,1.143235,-0.252392,2.005791,0.319511,-2.49895,-4.975546,-2.713358,2.011975,2.788903,1.407885,-0.630207,-0.631599,0.507582,-3.473056,-0.717865,-0.509419,2.867876,-0.283267,59994.0,49.41,0
-2.693392,-0.099212,3.102637,-4.219106,5.515754,4.230113,-3.278278,-3.675467,-0.722726,-2.577858,-0.646116,-6.194846,-0.53745,4.14657,-2.512338,-0.600751,-3.20266,1.340299,-0.461904,3.881466,0.403337,-0.707142,1.018004,-0.91121,-2.343789,0.513311,-0.288534,0.266104,147037.8,17.73,0
0.796605,-2.526729,3.235245,-2.972795,-0.064544,0.380452,1.06201,-0.352637,-0.55199,-2.844141,0.192435,-3.671397,-1.661194,-2.120767,0.265016,-0.937185,0.585572,3.170756,-0.935897,2.477093,-2.365566,0.390932,-2.733078,1.34435,-1.325284,2.314473,-0.164544,1.207089,20848.4,93.64,1
0.144443,-1.850338,0.687517,3.150309,-1.198378,-7.305354,-2.13574,-0.326986,1.352102,0.969809,0.21727,1.494327,2.893152,0.252385,-0.926402,5.88376,-3.139287,-1.068346,2.896121,2.871283,-3.952877,0.220976,-1.861295,-0.909373,-1.039977,0.396553,3.723568,1.207827,82547.8,152.55,0
3.714549,1.83413,1.529078,0.52606,-2.160398,-0.883903,1.329716,-0.049879,0.315549,-3.399549,0.44368,-1.660626,-2.545841,-0.355776,-4.177135,1.536854,1.831828,-0.112216,-2.037253,-1.890738,-0.29469,-4.605094,0.333882,1.195978,-0.545816,-0.840484,0.300246,0.561031,462.3,52.9,0
-0.548751,2.034067,-1.186459,-4.204343,-4.019984,1.172775,4.143152,-2.106367,-2.651885,-2.601783,2.35736,-1.022324,-3.262063,-0.918041,3.533749,-2.241437,1.166921,0.548726,-1.207005,3.109728,-1.459513,-0.66055,2.006551,1.936527,-1.299798,-3.864057,-1.925357,-0.005539,13899.7,3.59,0
-0.983017,1.978187,6.11902,3.885802,1.850396,-3.030157,9.942956,-3.116509,-0.948097,-1.749723,3.985885,1.008576,-3.353744,0.615451,1.230538,-0.700663,-2.623408,-1.52257,-0.89554,0.045463,-1.013824,1.396919,-1.757403,-3.116496,-1.293939,2.293114,-0.945708,3.745294,140577.7,70.57,0
-1.028101,2.355112,2.849566,-0.53068,-8.153788,-0.736261,-1.816931,-2.719793,-1.405483,0.835516,-2.660064,3.079096,-2.800099,-2.754635,0.817096,2.659789,2.074237,-0.989801,-0.333226,-0.964341,2.633943,-0.437169,0.073,1.05464,-2.106241,-0.676751,4.287359,2.757524,157747.0,217.73,1
-4.684422,0.047005,-2.274371,-0.124689,3.910275,-6.517472,0.13211,3.288934,-4.285128,3.770633,-5.031754,-0.255451,1.240982,-1.394767,0.579458,-2.206332,2.344398,-1.003784,0.716955,-1.473222,-0.778893,2.409907,2.145693,-0.014399,1.294834,1.699521,-1.176507,1.675909,93900.4,53.68,0
1.715189,4.155497,-1.870793,-0.890377,0.1313,-0.796282,-0.137775,-4.061665,0.947975,-2.287979,-2.344556,-3.811503,2.728354,-0.323401,2.586357,0.599064,-3.662226,-2.275763,1.553761,-1.531365,-2.126171,-0.34082,-0.327389,-1.821361,-0.570754,-0.813438,-4.273483,0.804262,58500.7,104.25,0
3.443102,-4.551667,1.767447,-2.116747,-1.781372,3.928647,0.317467,-5.266583,0.935741,0.21051,-3.748705,-3.968111,3.894317,-0.06165,-0.937446,0.403707,-2.91183,-3.175299,-2.959348,1.066606,0.491555,-0.332475,0.440751,-1.437444,-0.69342,0.674955,-2.090947,-0.402204,136941.0,249.7,1
-1.599081,-1.470812,1.352307,-0.810383,-2.042732,0.499531,-0.012186,0.357087,1.846631,-5.065252,-0.631178,-1.26433,-2.020577,0.758224,-2.737588,-1.641976,-1.450186,0.729487,0.770239,-1.1012,-1.677821,1.446879,0.193521,2.337202,-4.893552,-2.415078,-1.277768,4.241866,113736.8,28.35,0
