VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,improvement_surcharge,tip_amount,tolls_amount,total_amount,congestion_surcharge,airport_fee
1,2090-06-05 08:00:00,2090-06-05 08:30:00,2,3.12,1,N,59,150,2,38.36,0.0,0.5,0.3,0.0,0.0,40.99,0.0,0.0
1,2084-03-05 08:00:00,2084-03-05 08:30:00,3,1.31,1,N,255,89,1,22.76,0.0,0.5,0.3,0.0,0.0,35.25,0.0,0.0
2,2084-06-05 08:00:00,2084-06-05 08:30:00,1,1.96,1,N,134,241,1,12.9,0.0,0.5,0.3,0.0,0.0,8.52,0.0,0.0
2,2084-12-05 08:00:00,2084-12-05 08:30:00,1,2.1,1,N,109,169,1,8.32,0.0,0.5,0.3,0.0,0.0,22.14,0.0,0.0
1,2088-09-05 08:00:00,2088-09-05 08:30:00,3,5.89,1,N,63,180,1,33.99,0.0,0.5,0.3,0.0,0.0,33.01,0.0,0.0
1,1900-10-05 08:00:00,1900-10-05 08:30:00,2,7.3,1,N,207,71,2,5.45,0.0,0.5,0.3,0.0,0.0,40.47,0.0,0.0
1,2088-08-05 08:00:00,2088-08-05 08:30:00,3,9.36,1,N,222,61,2,39.5,0.0,0.5,0.3,0.0,0.0,37.68,0.0,0.0
2,1900-01-05 08:00:00,1900-01-05 08:30:00,1,2.62,1,N,48,9,2,37.03,0.0,0.5,0.3,0.0,0.0,38.33,0.0,0.0
1,1900-10-05 08:00:00,1900-10-05 08:30:00,1,9.74,1,N,75,14,1,13.4,0.0,0.5,0.3,0.0,0.0,29.33,0.0,0.0
2,1900-02-05 08:00:00,1900-02-05 08:30:00,4,2.13,1,N,70,123,2,12.35,0.0,0.5,0.3,0.0,0.0,35.32,0.0,0.0
1,2084-03-05 08:00:00,2084-03-05 08:30:00,1,1.56,1,N,120,257,2,38.84,0.0,0.5,0.3,0.0,0.0,26.18,0.0,0.0
2,1900-08-05 08:00:00,1900-08-05 08:30:00,1,6.19,1,N,213,152,2,15.07,0.0,0.5,0.3,0.0,0.0,36.59,0.0,0.0
2,2088-10-05 08:00:00,2088-10-05 08:30:00,1,1.39,1,N,73,5,1,28.05,0.0,0.5,0.3,0.0,0.0,9.83,0.0,0.0
1,2084-11-05 08:00:00,2084-11-05 08:30:00,4,2.82,1,N,197,146,2,35.7,0.0,0.5,0.3,0.0,0.0,24.64,0.0,0.0
2,1900-04-05 08:00:00,1900-04-05 08:30:00,3,4.12,1,N,45,166,2,36.99,0.0,0.5,0.3,0.0,0.0,33.16,0.0,0.0
2,2090-12-05 08:00:00,2090-12-05 08:30:00,4,6.55,1,N,206,131,2,38.97,0.0,0.5,0.3,0.0,0.0,36.64,0.0,0.0
2,2090-02-05 08:00:00,2090-02-05 08:30:00,1,2.6,1,N,185,26,1,36.89,0.0,0.5,0.3,0.0,0.0,26.61,0.0,0.0
1,2088-09-05 08:00:00,2088-09-05 08:30:00,1,8.03,1,N,66,139,1,27.84,0.0,0.5,0.3,0.0,0.0,18.01,0.0,0.0
2,1900-02-05 08:00:00,1900-02-05 08:30:00,1,4.95,1,N,3,25,2,31.2,0.0,0.5,0.3,0.0,0.0,11.21,0.0,0.0
1,1900-09-05 08:00:00,1900-09-05 08:30:00,4,1.05,1,N,17,193,1,6.34,0.0,0.5,0.3,0.0,0.0,33.47,0.0,0.0
2,2090-10-05 08:00:00,2090-10-05 08:30:00,2,6.97,1,N,45,36,1,24.27,0.0,0.5,0.3,0.0,0.0,40.66,0.0,0.0
1,1900-09-05 08:00:00,1900-09-05 08:30:00,2,9.11,1,N,105,166,2,21.41,0.0,0.5,0.3,0.0,0.0,12.65,0.0,0.0
2,1900-10-05 08:00:00,1900-10-05 08:30:00,2,5.42,1,N,50,109,2,27.52,0.0,0.5,0.3,0.0,0.0,17.58,0.0,0.0
2,1900-04-05 08:00:00,1900-04-05 08:30:00,2,3.8,1,N,116,81,2,28.46,0.0,0.5,0.3,0.0,0.0,35.1,0.0,0.0
2,1900-05-05 08:00:00,1900-05-05 08:30:00,4,3.63,1,N,49,246,1,14.77,0.0,0.5,0.3,0.0,0.0,12.06,0.0,0.0
2,2088-05-05 08:00:00,2088-05-05 08:30:00,4,6.73,1,N,217,205,1,29.05,0.0,0.5,0.3,0.0,0.0,34.17,0.0,0.0
2,2090-08-05 08:00:00,2090-08-05 08:30:00,4,10.83,1,N,198,199,2,26.4,0.0,0.5,0.3,0.0,0.0,15.14,0.0,0.0
2,2090-05-05 08:00:00,2090-05-05 08:30:00,4,8.49,1,N,11,40,2,16.57,0.0,0.5,0.3,0.0,0.0,40.0,0.0,0.0
1,2090-10-05 08:00:00,2090-10-05 08:30:00,3,4.92,1,N,64,229,1,10.79,0.0,0.5,0.3,0.0,0.0,23.25,0.0,0.0
2,2090-06-05 08:00:00,2090-06-05 08:30:00,1,10.71,1,N,132,71,1,16.52,0.0,0.5,0.3,0.0,0.0,30.4,0.0,0.0
1,1900-10-05 08:00:00,1900-10-05 08:30:00,4,3.55,1,N,19,248,1,26.38,0.0,0.5,0.3,0.0,0.0,20.85,0.0,0.0
1,2088-02-05 08:00:00,2088-02-05 08:30:00,1,8.98,1,N,250,240,2,19.2,0.0,0.5,0.3,0.0,0.0,8.69,0.0,0.0
2,2084-09-05 08:00:00,2084-09-05 08:30:00,2,7.43,1,N,17,85,1,34.01,0.0,0.5,0.3,0.0,0.0,33.78,0.0,0.0
2,2090-06-05 08:00:00,2090-06-05 08:30:00,1,9.16,1,N,45,97,2,27.34,0.0,0.5,0.3,0.0,0.0,30.69,0.0,0.0
1,1900-04-05 08:00:00,1900-04-05 08:30:00,4,5.93,1,N,197,211,2,8.36,0.0,0.5,0.3,0.0,0.0,11.88,0.0,0.0
2,1900-04-05 08:00:00,1900-04-05 08:30:00,3,9.2,1,N,169,245,2,30.87,0.0,0.5,0.3,0.0,0.0,14.02,0.0,0.0
1,2088-01-05 08:00:00,2088-01-05 08:30:00,2,9.51,1,N,13,217,1,38.22,0.0,0.5,0.3,0.0,0.0,31.55,0.0,0.0
2,1900-04-05 08:00:00,1900-04-05 08:30:00,2,4.35,1,N,121,60,2,22.11,0.0,0.5,0.3,0.0,0.0,26.2,0.0,0.0
2,2084-07-05 08:00:00,2084-07-05 08:30:00,4,2.67,1,N,16,19,1,10.95,0.0,0.5,0.3,0.0,0.0,40.07,0.0,0.0
2,1900-05-05 08:00:00,1900-05-05 08:30:00,1,10.12,1,N,217,50,2,6.29,0.0,0.5,0.3,0.0,0.0,38.4,0.0,0.0
1,1900-03-05 08:00:00,1900-03-05 08:30:00,2,11.3,1,N,138,152,1,38.93,0.0,0.5,0.3,0.0,0.0,18.89,0.0,0.0
1,2090-01-05 08:00:00,2090-01-05 08:30:00,3,3.96,1,N,115,212,2,30.35,0.0,0.5,0.3,0.0,0.0,12.08,0.0,0.0
2,2088-09-05 08:00:00,2088-09-05 08:30:00,2,8.81,1,N,17,16,2,27.49,0.0,0.5,0.3,0.0,0.0,13.39,0.0,0.0
1,1900-03-05 08:00:00,1900-03-05 08:30:00,3,9.93,1,N,174,159,1,27.21,0.0,0.5,0.3,0.0,0.0,22.28,0.0,0.0
2,2084-09-05 08:00:00,2084-09-05 08:30:00,4,2.15,1,N,14,60,1,9.81,0.0,0.5,0.3,0.0,0.0,20.72,0.0,0.0
1,1900-05-05 08:00:00,1900-05-05 08:30:00,2,8.5,1,N,78,254,1,29.84,0.0,0.5,0.3,0.0,0.0,27.12,0.0,0.0
2,2084-12-05 08:00:00,2084-12-05 08:30:00,4,5.18,1,N,204,13,1,12.32,0.0,0.5,0.3,0.0,0.0,27.77,0.0,0.0
1,1900-07-05 08:00:00,1900-07-05 08:30:00,1,7.05,1,N,184,259,1,10.79,0.0,0.5,0.3,0.0,0.0,16.57,0.0,0.0
1,2084-02-05 08:00:00,2084-02-05 08:30:00,1,1.01,1,N,138,202,2,10.1,0.0,0.5,0.3,0.0,0.0,24.37,0.0,0.0
2,1900-01-05 08:00:00,1900-01-05 08:30:00,4,5.47,1,N,131,185,1,39.77,0.0,0.5,0.3,0.0,0.0,10.2,0.0,0.0
1,2090-01-05 08:00:00,2090-01-05 08:30:00,3,10.02,1,N,49,226,2,12.62,0.0,0.5,0.3,0.0,0.0,21.09,0.0,0.0
2,2088-01-05 08:00:00,2088-01-05 08:30:00,4,4.49,1,N,149,153,1,15.67,0.0,0.5,0.3,0.0,0.0,28.92,0.0,0.0
1,2090-02-05 08:00:00,2090-02-05 08:30:00,1,6.47,1,N,244,63,2,35.32,0.0,0.5,0.3,0.0,0.0,38.72,0.0,0.0
2,2088-12-05 08:00:00,2088-12-05 08:30:00,3,3.61,1,N,83,113,1,18.7,0.0,0.5,0.3,0.0,0.0,39.13,0.0,0.0
2,2088-07-05 08:00:00,2088-07-05 08:30:00,3,7.87,1,N,156,43,1,40.0,0.0,0.5,0.3,0.0,0.0,24.6,0.0,0.0
2,2084-07-05 08:00:00,2084-07-05 08:30:00,1,3.74,1,N,190,236,2,38.99,0.0,0.5,0.3,0.0,0.0,20.03,0.0,0.0
2,2088-07-05 08:00:00,2088-07-05 08:30:00,4,3.09,1,N,28,56,1,32.17,0.0,0.5,0.3,0.0,0.0,16.31,0.0,0.0
2,2090-06-05 08:00:00,2090-06-05 08:30:00,2,6.14,1,N,92,171,1,32.19,0.0,0.5,0.3,0.0,0.0,18.93,0.0,0.0
2,2088-03-05 08:00:00,2088-03-05 08:30:00,2,5.65,1,N,207,96,1,32.67,0.0,0.5,0.3,0.0,0.0,25.3,0.0,0.0
1,1900-03-05 08:00:00,1900-03-05 08:30:00,2,2.42,1,N,206,63,1,22.76,0.0,0.5,0.3,0.0,0.0,30.13,0.0,0.0
1,2084-11-05 08:00:00,2084-11-05 08:30:00,4,1.22,1,N,27,251,2,23.11,0.0,0.5,0.3,0.0,0.0,23.2,0.0,0.0
2,2088-01-05 08:00:00,2088-01-05 08:30:00,2,6.24,1,N,9,31,1,30.86,0.0,0.5,0.3,0.0,0.0,34.84,0.0,0.0
2,1900-02-05 08:00:00,1900-02-05 08:30:00,3,11.59,1,N,196,5,1,9.84,0.0,0.5,0.3,0.0,0.0,9.87,0.0,0.0
1,2090-10-05 08:00:00,2090-10-05 08:30:00,3,3.77,1,N,255,163,2,29.49,0.0,0.5,0.3,0.0,0.0,28.99,0.0,0.0
1,1900-08-05 08:00:00,1900-08-05 08:30:00,2,10.22,1,N,154,55,1,5.91,0.0,0.5,0.3,0.0,0.0,22.26,0.0,0.0
2,2088-09-05 08:00:00,2088-09-05 08:30:00,2,7.29,1,N,124,153,2,22.84,0.0,0.5,0.3,0.0,0.0,17.1,0.0,0.0
1,2088-12-05 08:00:00,2088-12-05 08:30:00,2,3.03,1,N,69,256,1,24.85,0.0,0.5,0.3,0.0,0.0,39.61,0.0,0.0
1,2090-04-05 08:00:00,2090-04-05 08:30:00,3,10.75,1,N,153,28,2,6.27,0.0,0.5,0.3,0.0,0.0,18.89,0.0,0.0
1,2084-02-05 08:00:00,2084-02-05 08:30:00,1,11.3,1,N,192,224,1,33.43,0.0,0.5,0.3,0.0,0.0,17.55,0.0,0.0
1,2090-06-05 08:00:00,2090-06-05 08:30:00,1,7.83,1,N,1,24,1,24.19,0.0,0.5,0.3,0.0,0.0,18.4,0.0,0.0
1,2088-08-05 08:00:00,2088-08-05 08:30:00,4,8.04,1,N,88,54,2,30.34,0.0,0.5,0.3,0.0,0.0,8.33,0.0,0.0
1,2090-08-05 08:00:00,2090-08-05 08:30:00,1,10.36,1,N,195,264,1,36.89,0.0,0.5,0.3,0.0,0.0,22.91,0.0,0.0
2,1900-03-05 08:00:00,1900-03-05 08:30:00,3,6.94,1,N,186,69,2,18.97,0.0,0.5,0.3,0.0,0.0,40.66,0.0,0.0
1,1900-11-05 08:00:00,1900-11-05 08:30:00,4,5.14,1,N,158,65,2,16.31,0.0,0.5,0.3,0.0,0.0,15.75,0.0,0.0
2,1900-03-05 08:00:00,1900-03-05 08:30:00,3,11.11,1,N,12,50,2,23.3,0.0,0.5,0.3,0.0,0.0,14.15,0.0,0.0
1,2084-07-05 08:00:00,2084-07-05 08:30:00,4,2.8,1,N,92,66,1,33.46,0.0,0.5,0.3,0.0,0.0,39.11,0.0,0.0
2,2084-08-05 08:00:00,2084-08-05 08:30:00,4,4.64,1,N,187,76,2,27.43,0.0,0.5,0.3,0.0,0.0,35.39,0.0,0.0
2,2088-11-05 08:00:00,2088-11-05 08:30:00,1,7.38,1,N,244,150,2,22.82,0.0,0.5,0.3,0.0,0.0,14.22,0.0,0.0
1,1900-02-05 08:00:00,1900-02-05 08:30:00,2,9.86,1,N,213,107,1,32.65,0.0,0.5,0.3,0.0,0.0,23.77,0.0,0.0
1,2088-04-05 08:00:00,2088-04-05 08:30:00,1,11.94,1,N,234,83,1,19.59,0.0,0.5,0.3,0.0,0.0,8.79,0.0,0.0
2,2088-03-05 08:00:00,2088-03-05 08:30:00,3,2.35,1,N,182,198,1,26.21,0.0,0.5,0.3,0.0,0.0,40.81,0.0,0.0
2,2090-01-05 08:00:00,2090-01-05 08:30:00,4,1.78,1,N,215,43,2,39.04,0.0,0.5,0.3,0.0,0.0,15.85,0.0,0.0
2,2088-12-05 08:00:00,2088-12-05 08:30:00,1,11.26,1,N,8,261,1,12.27,0.0,0.5,0.3,0.0,0.0,8.13,0.0,0.0
2,1900-07-05 08:00:00,1900-07-05 08:30:00,4,6.05,1,N,50,145,2,16.78,0.0,0.5,0.3,0.0,0.0,32.78,0.0,0.0
2,2090-03-05 08:00:00,2090-03-05 08:30:00,2,8.16,1,N,69,76,2,9.0,0.0,0.5,0.3,0.0,0.0,18.26,0.0,0.0
2,1900-04-05 08:00:00,1900-04-05 08:30:00,2,6.89,1,N,152,161,1,26.74,0.0,0.5,0.3,0.0,0.0,40.68,0.0,0.0
2,2088-11-05 08:00:00,2088-11-05 08:30:00,1,11.0,1,N,95,234,1,13.23,0.0,0.5,0.3,0.0,0.0,10.72,0.0,0.0
1,2084-02-05 08:00:00,2084-02-05 08:30:00,3,4.52,1,N,221,174,2,12.88,0.0,0.5,0.3,0.0,0.0,27.12,0.0,0.0
1,2084-04-05 08:00:00,2084-04-05 08:30:00,4,4.55,1,N,115,87,1,5.66,0.0,0.5,0.3,0.0,0.0,12.13,0.0,0.0
1,2084-09-05 08:00:00,2084-09-05 08:30:00,3,2.75,1,N,204,99,2,35.3,0.0,0.5,0.3,0.0,0.0,18.47,0.0,0.0
2,2088-11-05 08:00:00,2088-11-05 08:30:00,3,11.41,1,N,37,49,2,20.42,0.0,0.5,0.3,0.0,0.0,36.66,0.0,0.0
1,2088-05-05 08:00:00,2088-05-05 08:30:00,3,5.44,1,N,143,219,2,6.51,0.0,0.5,0.3,0.0,0.0,23.8,0.0,0.0
2,2088-12-05 08:00:00,2088-12-05 08:30:00,1,6.13,1,N,16,17,1,34.67,0.0,0.5,0.3,0.0,0.0,22.52,0.0,0.0
1,2088-03-05 08:00:00,2088-03-05 08:30:00,4,1.33,1,N,31,155,1,14.04,0.0,0.5,0.3,0.0,0.0,19.17,0.0,0.0
