customer_id,plan,region,impact,unique_visitor_flag,affected_flag
CUST-000001,free,Europe East,CDN error 503,1,1
CUST-000002,free,North America,CDN error 503,1,1
CUST-000003,pro,Europe West,CDN error 503,1,1
CUST-000004,free,Europe East,CDN error 503,1,1
CUST-000005,business,North America,CDN error 503,1,1
CUST-000006,enterprise,Asia Pacific,CDN error 503,1,1
CUST-000007,free,Europe West,CDN error 503,1,1
CUST-000008,business,Europe West,CDN error 503,1,1
CUST-000009,pro,Latin America,CDN error 503,1,1
CUST-000010,business,North America,CDN error 503,1,1
CUST-000011,pro,Latin America,CDN error 503,1,1
CUST-000012,free,Europe West,CDN error 503,1,1
CUST-000013,free,North America,CDN error 503,1,1
CUST-000014,free,Europe West,CDN error 503,1,1
CUST-000015,pro,Europe East,CDN error 503,1,1
CUST-000016,free,Europe West,CDN error 503,1,1
CUST-000017,business,Asia Pacific,CDN error 503,1,1
CUST-000018,enterprise,North America,CDN error 503,1,1
CUST-000019,business,Europe East,CDN error 503,1,1
CUST-000020,business,Latin America,CDN error 503,1,1
CUST-000021,enterprise,Europe West,CDN error 503,1,1
CUST-000022,pro,Latin America,CDN error 503,1,1
CUST-000023,business,Europe East,CDN error 503,1,1
CUST-000024,enterprise,Asia Pacific,CDN error 503,1,1
CUST-000025,enterprise,Europe West,CDN error 503,1,1
CUST-000026,pro,Europe West,CDN error 503,1,1
CUST-000027,pro,North America,CDN error 503,1,1
CUST-000028,business,Asia Pacific,CDN error 503,1,1
CUST-000029,pro,Europe East,CDN error 503,1,1
CUST-000030,free,Europe East,CDN error 503,1,1
CUST-000031,enterprise,Asia Pacific,CDN error 503,1,1
CUST-000032,pro,North America,CDN error 503,1,1
CUST-000033,pro,Asia Pacific,CDN error 503,1,1
CUST-000034,free,Latin America,CDN error 503,1,1
CUST-000035,free,Latin America,CDN error 503,1,1
CUST-000036,pro,Europe East,CDN error 503,1,1
CUST-000037,business,North America,CDN error 503,1,1
CUST-000038,free,Latin America,CDN error 503,1,1
CUST-000039,pro,Latin America,CDN error 503,1,1
CUST-000040,pro,Europe East,CDN error 503,1,1
CUST-000041,pro,Europe West,CDN error 503,1,1
CUST-000042,enterprise,North America,CDN error 503,1,1
CUST-000043,business,Asia Pacific,CDN error 503,1,1
CUST-000044,pro,Europe East,CDN error 503,1,1
CUST-000045,free,Europe West,CDN error 503,1,1
CUST-000046,business,Asia Pacific,CDN error 503,1,1
CUST-000047,free,Latin America,CDN error 503,1,1
CUST-000048,pro,North America,CDN error 503,1,1
CUST-000049,business,Europe East,CDN error 503,1,1
CUST-000050,enterprise,Asia Pacific,CDN error 503,1,1
CUST-000051,pro,Europe West,CDN error 503,1,1
CUST-000052,enterprise,North America,CDN error 503,1,1
CUST-000053,pro,Europe East,CDN error 503,1,1
CUST-000054,free,Latin America,CDN error 503,1,1
CUST-000055,pro,Europe West,CDN error 503,1,1
CUST-000056,business,Latin America,CDN error 503,1,1
CUST-000057,pro,Asia Pacific,CDN error 503,1,1
CUST-000058,business,Europe East,CDN error 503,1,1
CUST-000059,free,Latin America,CDN error 503,1,1
CUST-000060,enterprise,Latin America,CDN error 503,1,1
CUST-000061,free,North America,CDN error 503,1,1
CUST-000062,free,North America,CDN error 503,1,1
CUST-000063,enterprise,Asia Pacific,CDN error 503,1,1
CUST-000064,pro,Europe West,none,1,0
CUST-000065,business,Asia Pacific,none,1,0
CUST-000066,free,Europe East,none,1,0
CUST-000067,pro,Asia Pacific,none,1,0
CUST-000068,free,North America,none,1,0
CUST-000069,enterprise,Latin America,none,1,0
CUST-000070,business,North America,none,1,0
CUST-000071,free,Europe West,none,1,0
CUST-000072,pro,Latin America,none,1,0
CUST-000073,enterprise,North America,none,1,0
CUST-000074,enterprise,Latin America,none,1,0
CUST-000075,business,Asia Pacific,none,1,0
CUST-000076,free,North America,none,1,0
CUST-000077,business,North America,none,1,0
CUST-000078,pro,Latin America,none,1,0
CUST-000079,business,Europe East,none,1,0
CUST-000080,free,North America,none,1,0
CUST-000081,enterprise,Europe East,none,1,0
CUST-000082,business,North America,none,1,0
CUST-000083,enterprise,North America,none,1,0
CUST-000084,business,Europe West,none,1,0
CUST-000085,enterprise,Europe West,none,1,0
CUST-000086,pro,Europe West,none,1,0
CUST-000087,business,Asia Pacific,none,1,0
CUST-000088,enterprise,Europe East,none,1,0
CUST-000089,free,Europe East,none,1,0
CUST-000090,enterprise,Latin America,none,1,0
CUST-000091,pro,Europe East,none,1,0
CUST-000092,free,Latin America,none,1,0
CUST-000093,business,Europe East,none,1,0
CUST-000094,pro,Latin America,none,1,0
CUST-000095,enterprise,Asia Pacific,none,1,0
CUST-000096,free,Asia Pacific,none,1,0
CUST-000097,enterprise,North America,none,1,0
CUST-000098,enterprise,Latin America,none,1,0
CUST-000099,business,Latin America,none,1,0
CUST-000100,enterprise,North America,none,1,0
CUST-000101,free,Latin America,none,1,0
CUST-000102,pro,North America,none,1,0
CUST-000103,business,Europe West,none,1,0
CUST-000104,business,Europe West,none,1,0
CUST-000105,free,Latin America,none,1,0
CUST-000106,pro,Latin America,none,1,0
CUST-000107,enterprise,Europe East,none,1,0
CUST-000108,enterprise,Asia Pacific,none,1,0
CUST-000109,business,Europe East,none,1,0
CUST-000110,enterprise,Asia Pacific,none,1,0
CUST-000111,free,Latin America,none,1,0
CUST-000112,business,Europe East,none,1,0
CUST-000113,enterprise,Europe East,none,1,0
CUST-000114,free,North America,none,1,0
CUST-000115,business,Asia Pacific,none,1,0
CUST-000116,business,North America,none,1,0
CUST-000117,pro,Europe East,none,1,0
CUST-000118,pro,Asia Pacific,none,1,0
CUST-000119,business,Latin America,none,1,0
CUST-000120,enterprise,Latin America,none,1,0
CUST-000121,enterprise,Latin America,none,1,0
CUST-000122,enterprise,Europe West,none,1,0
CUST-000123,pro,Europe East,none,1,0
CUST-000124,business,Latin America,none,1,0
CUST-000125,pro,Asia Pacific,none,1,0
CUST-000126,enterprise,Asia Pacific,none,1,0
CUST-000127,pro,Europe East,none,1,0
CUST-000128,enterprise,Latin America,none,1,0
CUST-000129,free,Latin America,none,1,0
CUST-000130,free,Europe West,none,1,0
CUST-000131,pro,Latin America,none,1,0
CUST-000132,business,Asia Pacific,none,1,0
CUST-000133,pro,Asia Pacific,none,1,0
CUST-000134,free,Europe West,none,1,0
CUST-000135,pro,Europe West,none,1,0
CUST-000136,business,Asia Pacific,none,1,0
CUST-000137,free,Europe West,none,1,0
CUST-000138,pro,Europe East,none,1,0
CUST-000139,enterprise,Europe East,none,1,0
CUST-000140,pro,Europe West,none,1,0
CUST-000141,pro,Europe East,none,1,0
CUST-000142,pro,Europe East,none,1,0
CUST-000143,free,North America,none,1,0
CUST-000144,pro,Europe East,none,1,0
CUST-000145,business,North America,none,1,0
CUST-000146,business,Europe West,none,1,0
CUST-000147,enterprise,Asia Pacific,none,1,0
CUST-000148,business,Latin America,none,1,0
CUST-000149,pro,Asia Pacific,none,1,0
CUST-000150,pro,Europe West,none,1,0
CUST-000151,enterprise,North America,none,1,0
