minute_utc,cdn_error_pct,ttfb_p99_ms,ttfb_p50_ms,request_count,5xx_total_pct,edge_pop,status
2024-06-20T20:00:00Z,0.0325,162,57,3788968,0.0195,BUD07,nominal
2024-06-20T20:01:00Z,0.0388,173,61,3208134,0.0233,MAD05,nominal
2024-06-20T20:02:00Z,0.0327,162,57,934814,0.0196,CDG03,nominal
2024-06-20T20:03:00Z,0.0231,167,58,3932636,0.0139,WAW06,nominal
2024-06-20T20:04:00Z,0.026,162,57,2124140,0.0156,STO09,nominal
2024-06-20T20:05:00Z,0.0389,161,56,3874113,0.0233,BUD07,nominal
2024-06-20T20:06:00Z,0.0285,181,63,1049290,0.0171,BUD07,nominal
2024-06-20T20:07:00Z,0.0287,194,68,4131502,0.0172,ATH08,nominal
2024-06-20T20:08:00Z,0.0383,189,66,1047215,0.023,HEL11,nominal
2024-06-20T20:09:00Z,0.0445,171,60,3343148,0.0267,AMS01,nominal
2024-06-20T20:10:00Z,0.0377,194,68,1256029,0.0226,BUD07,nominal
2024-06-20T20:11:00Z,0.0125,193,68,3573454,0.0075,BUD07,nominal
2024-06-20T20:12:00Z,0.0255,168,59,1803895,0.0153,MAD05,nominal
2024-06-20T20:13:00Z,0.0173,189,66,2457122,0.0104,LHR02,nominal
2024-06-20T20:14:00Z,0.0289,185,65,2050043,0.0173,MAD05,nominal
2024-06-20T20:15:00Z,0.0377,158,55,3511528,0.0226,STO09,nominal
2024-06-20T20:16:00Z,0.0127,193,68,4097637,0.0076,FRA04,nominal
2024-06-20T20:17:00Z,0.0344,167,58,2180175,0.0206,LHR02,nominal
2024-06-20T20:18:00Z,0.0316,171,60,2636331,0.019,STO09,nominal
2024-06-20T20:19:00Z,0.0253,192,67,889571,0.0152,FRA04,nominal
2024-06-20T20:20:00Z,0.0301,160,56,2340510,0.0181,AMS01,nominal
2024-06-20T20:21:00Z,0.0144,186,65,1267501,0.0086,FRA04,nominal
2024-06-20T20:22:00Z,0.0248,171,60,1205999,0.0149,WAW06,nominal
2024-06-20T20:23:00Z,0.0285,187,65,4430049,0.0171,MAD05,nominal
2024-06-20T20:24:00Z,0.0165,175,61,1332882,0.0099,MAD05,nominal
2024-06-20T20:25:00Z,0.0185,178,62,4178745,0.0111,WAW06,nominal
2024-06-20T20:26:00Z,0.01,181,63,1052613,0.006,TLL12,nominal
2024-06-20T20:27:00Z,0.0147,158,55,4324578,0.0088,STO09,nominal
2024-06-20T20:28:00Z,0.0281,174,61,4305116,0.0169,WAW06,nominal
2024-06-20T20:29:00Z,0.0374,191,67,3843962,0.0224,LHR02,nominal
2024-06-20T20:30:00Z,0.0311,159,56,3177946,0.0187,WAW06,nominal
2024-06-20T20:31:00Z,0.0111,187,65,3110643,0.0067,WAW06,nominal
2024-06-20T20:32:00Z,0.0166,155,54,1182168,0.01,FRA04,nominal
2024-06-20T20:33:00Z,0.0422,159,56,3608286,0.0253,BUD07,nominal
2024-06-20T20:34:00Z,0.0381,158,55,1843363,0.0229,TLL12,nominal
2024-06-20T20:35:00Z,0.0188,159,56,2715033,0.0113,AMS01,nominal
2024-06-20T20:36:00Z,0.0236,193,68,1992661,0.0142,STO09,nominal
2024-06-20T20:37:00Z,0.0368,169,59,2690420,0.0221,OSL10,nominal
2024-06-20T20:38:00Z,0.0443,187,65,980150,0.0266,AMS01,nominal
2024-06-20T20:39:00Z,0.0256,171,60,3680874,0.0154,OSL10,nominal
2024-06-20T20:40:00Z,0.0207,191,67,2857050,0.0124,WAW06,nominal
2024-06-20T20:41:00Z,0.0276,180,63,2684191,0.0166,LHR02,nominal
2024-06-20T20:42:00Z,0.0319,164,57,2422562,0.0191,WAW06,nominal
2024-06-20T20:43:00Z,0.0492,179,63,2693775,0.0295,BUD07,nominal
2024-06-20T20:44:00Z,0.0442,180,63,1375878,0.0265,STO09,nominal
2024-06-20T20:45:00Z,0.0175,183,64,1054726,0.0105,TLL12,nominal
2024-06-20T20:46:00Z,0.0153,159,56,1425512,0.0092,BUD07,nominal
2024-06-20T20:47:00Z,0.0328,180,63,1509310,0.0197,FRA04,nominal
2024-06-20T20:48:00Z,0.0148,185,65,1039010,0.0089,ATH08,nominal
2024-06-20T20:49:00Z,0.0236,190,66,1992312,0.0142,BUD07,nominal
2024-06-20T20:50:00Z,0.013,180,63,2979081,0.0078,ATH08,nominal
2024-06-20T20:51:00Z,0.0293,167,58,1690734,0.0176,TLL12,nominal
2024-06-20T20:52:00Z,0.028,158,55,2326667,0.0168,ATH08,nominal
2024-06-20T20:53:00Z,0.0296,162,57,1672313,0.0178,HEL11,nominal
2024-06-20T20:54:00Z,0.0168,165,58,2547572,0.0101,WAW06,nominal
2024-06-20T20:55:00Z,0.043,156,55,3832339,0.0258,OSL10,nominal
2024-06-20T20:56:00Z,0.0319,187,65,866945,0.0191,HEL11,nominal
2024-06-20T20:57:00Z,0.028,178,62,2653072,0.0168,AMS01,nominal
2024-06-20T20:58:00Z,0.0442,193,68,3589239,0.0265,STO09,nominal
2024-06-20T20:59:00Z,0.0323,188,66,2781286,0.0194,WAW06,nominal
2024-06-20T21:00:00Z,0.0326,184,64,1760595,0.0196,CDG03,nominal
