date,category,channel,gmv_v1_rmb_million,gmv_v2_rmb_million,delta_rmb_million,delta_pct,is_bug_date,v1_method,v2_method
2025-05-13,apparel,tmall,185.418,138.361,-47.057,-25.38,yes,method1,method2
2025-05-13,apparel,jd,71.571,53.407,-18.164,-25.38,yes,method1,method2
2025-05-13,apparel,douyin,66.751,49.81,-16.941,-25.38,yes,method1,method2
2025-05-13,apparel,kuaishou,15.575,11.622,-3.953,-25.38,yes,method1,method2
2025-05-13,electronics,tmall,336.071,250.78,-85.291,-25.38,yes,method1,method2
2025-05-13,electronics,jd,129.723,96.801,-32.922,-25.38,yes,method1,method2
2025-05-13,electronics,douyin,120.985,90.281,-30.704,-25.38,yes,method1,method2
2025-05-13,electronics,kuaishou,28.23,21.066,-7.164,-25.38,yes,method1,method2
2025-05-13,beauty,tmall,121.681,90.8,-30.881,-25.38,yes,method1,method2
2025-05-13,beauty,jd,46.969,35.049,-11.92,-25.38,yes,method1,method2
2025-05-13,beauty,douyin,43.805,32.688,-11.117,-25.38,yes,method1,method2
2025-05-13,beauty,kuaishou,10.221,7.627,-2.594,-25.38,yes,method1,method2
2025-05-13,home,tmall,84.018,62.695,-21.323,-25.38,yes,method1,method2
2025-05-13,home,jd,32.431,24.2,-8.231,-25.38,yes,method1,method2
2025-05-13,home,douyin,30.246,22.57,-7.676,-25.38,yes,method1,method2
2025-05-13,home,kuaishou,7.057,5.266,-1.791,-25.38,yes,method1,method2
2025-05-13,food,tmall,37.663,28.105,-9.558,-25.38,yes,method1,method2
2025-05-13,food,jd,14.538,10.848,-3.69,-25.38,yes,method1,method2
2025-05-13,food,douyin,13.559,10.118,-3.441,-25.38,yes,method1,method2
2025-05-13,food,kuaishou,3.164,2.361,-0.803,-25.38,yes,method1,method2
2025-05-14,apparel,tmall,225.934,168.595,-57.339,-25.38,yes,method1,method2
2025-05-14,apparel,jd,87.211,65.078,-22.133,-25.38,yes,method1,method2
2025-05-14,apparel,douyin,81.336,60.694,-20.642,-25.38,yes,method1,method2
2025-05-14,apparel,kuaishou,18.978,14.162,-4.816,-25.38,yes,method1,method2
2025-05-14,electronics,tmall,409.506,305.578,-103.928,-25.38,yes,method1,method2
2025-05-14,electronics,jd,158.069,117.953,-40.116,-25.38,yes,method1,method2
2025-05-14,electronics,douyin,147.422,110.008,-37.414,-25.38,yes,method1,method2
2025-05-14,electronics,kuaishou,34.398,25.669,-8.729,-25.38,yes,method1,method2
2025-05-14,beauty,tmall,148.269,110.64,-37.629,-25.38,yes,method1,method2
2025-05-14,beauty,jd,57.232,42.707,-14.525,-25.38,yes,method1,method2
2025-05-14,beauty,douyin,53.377,39.831,-13.546,-25.38,yes,method1,method2
2025-05-14,beauty,kuaishou,12.455,9.294,-3.161,-25.38,yes,method1,method2
2025-05-14,home,tmall,102.376,76.395,-25.981,-25.38,yes,method1,method2
2025-05-14,home,jd,39.517,29.488,-10.029,-25.38,yes,method1,method2
2025-05-14,home,douyin,36.856,27.502,-9.354,-25.38,yes,method1,method2
2025-05-14,home,kuaishou,8.6,6.417,-2.183,-25.38,yes,method1,method2
2025-05-14,food,tmall,45.893,34.246,-11.647,-25.38,yes,method1,method2
2025-05-14,food,jd,17.715,13.219,-4.496,-25.38,yes,method1,method2
2025-05-14,food,douyin,16.521,12.328,-4.193,-25.38,yes,method1,method2
2025-05-14,food,kuaishou,3.855,2.877,-0.978,-25.37,yes,method1,method2
2025-05-15,apparel,tmall,231.088,172.441,-58.647,-25.38,yes,method1,method2
2025-05-15,apparel,jd,89.2,66.562,-22.638,-25.38,yes,method1,method2
2025-05-15,apparel,douyin,83.192,62.079,-21.113,-25.38,yes,method1,method2
2025-05-15,apparel,kuaishou,19.411,14.485,-4.926,-25.38,yes,method1,method2
2025-05-15,electronics,tmall,418.847,312.549,-106.298,-25.38,yes,method1,method2
2025-05-15,electronics,jd,161.675,120.644,-41.031,-25.38,yes,method1,method2
2025-05-15,electronics,douyin,150.785,112.518,-38.267,-25.38,yes,method1,method2
2025-05-15,electronics,kuaishou,35.183,26.254,-8.929,-25.38,yes,method1,method2
2025-05-15,beauty,tmall,151.652,113.164,-38.488,-25.38,yes,method1,method2
2025-05-15,beauty,jd,58.538,43.681,-14.857,-25.38,yes,method1,method2
2025-05-15,beauty,douyin,54.595,40.739,-13.856,-25.38,yes,method1,method2
