user_id,segment,plan_type,experiment_id,variant,metric_value,session_count,days_active,revenue_usd,is_converted,cohort_week
u0000001,casual,free,exp002,treatment,0.7339,23,61,112.98,0,2023-W38
u0000002,new_user,free,exp004,treatment,0.7447,5,15,84.13,0,2023-W36
u0000003,power_user,starter,exp003,control,0.1649,2,28,105.39,0,2023-W40
u0000004,casual,free,exp001,treatment,0.0309,7,76,71.9,0,2023-W38
u0000005,new_user,pro,exp004,control,0.6926,1,82,95.32,1,2023-W40
u0000006,new_user,starter,exp002,treatment,0.7527,30,69,3.14,0,2023-W43
u0000007,at_risk,starter,exp001,control,0.1504,6,80,27.86,0,2023-W38
u0000008,power_user,free,exp002,treatment,0.3487,13,11,20.26,0,2023-W38
u0000009,new_user,pro,exp004,control,0.1575,14,39,41.67,0,2023-W42
u0000010,casual,free,exp004,treatment,0.017,18,49,86.54,1,2023-W45
u0000011,casual,pro,exp002,treatment,0.7289,10,45,28.0,0,2023-W46
u0000012,at_risk,free,exp004,treatment,0.6301,11,55,100.46,0,2023-W35
u0000013,casual,pro,exp004,control,0.7625,10,59,119.33,0,2023-W35
u0000014,new_user,free,exp003,control,0.8904,30,40,66.87,0,2023-W44
u0000015,at_risk,free,exp001,control,0.2234,3,78,53.42,0,2023-W39
u0000016,at_risk,free,exp002,control,0.2917,22,86,58.31,0,2023-W45
u0000017,new_user,free,exp003,control,0.1435,16,66,80.55,0,2023-W37
u0000018,casual,free,exp001,treatment,0.2912,7,90,1.61,0,2023-W43
u0000019,casual,starter,exp002,control,0.8241,3,83,26.65,0,2023-W40
u0000020,at_risk,free,exp002,treatment,0.4232,23,47,64.59,0,2023-W40
u0000021,power_user,free,exp001,treatment,0.4549,2,84,23.69,0,2023-W37
u0000022,casual,pro,exp003,treatment,0.5275,7,47,9.67,0,2023-W44
u0000023,casual,pro,exp003,control,0.2224,20,51,12.49,0,2023-W41
u0000024,casual,starter,exp001,control,0.5435,1,84,72.18,0,2023-W35
u0000025,new_user,free,exp002,treatment,0.7798,10,75,92.57,0,2023-W41
u0000026,casual,pro,exp004,treatment,0.1627,20,54,45.09,0,2023-W38
u0000027,casual,free,exp003,treatment,0.0525,25,86,9.91,0,2023-W40
