paper_id	paper_doi	researcher_group	journal	year	fig_pair	similarity_score	verdict	method	review_status	analyst	notes
UPD1-0001	10.1182/bld.upd1-0000	Ghobrial	Leukemia	1998	Fig.7C	0.9699	DUPLICATE	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #1
UPD1-0002	10.1182/bld.upd1-0001	Anderson	Leukemia	2012	Fig.2C	0.7748	DISTINCT	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #1
UPD1-0003	10.1182/bld.upd1-0002	Ghobrial	Leukemia	2009	Fig.1B	0.9737	DUPLICATE	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #1
UPD1-0004	10.1182/bld.upd1-0003	Ghobrial	Leukemia	2003	Fig.5C	0.4605	DISTINCT	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #1
UPD1-0005	10.1182/bld.upd1-0004	Ghobrial	Nature Medicine	1995	Fig.7C	0.4946	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #1
UPD1-0006	10.1182/bld.upd1-0005	Anderson	Cancer Cell	2010	Fig.2B	0.884	SIMILAR	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #1
UPD1-0007	10.1182/bld.upd1-0006	Ghobrial	Leukemia	2016	Fig.5A	0.8637	SIMILAR	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #1
UPD1-0008	10.1182/bld.upd1-0007	Hahn	Nature Medicine	2003	Fig.3A	0.8848	SIMILAR	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #1
UPD1-0009	10.1182/bld.upd1-0008	Carrasco	Cancer Cell	2014	Fig.5A	0.5243	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #1
UPD1-0010	10.1182/bld.upd1-0009	Carrasco	Science	2006	Fig.1B	0.7718	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #1
UPD1-0011	10.1182/bld.upd1-0010	Ghobrial	Science	2023	Fig.5A	0.7739	DISTINCT	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #1
UPD1-0012	10.1182/bld.upd1-0011	Carrasco	Nature Medicine	1997	Fig.6B	0.4667	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #1
