doi,journal,year,lead_author,issue_type,researcher_group,flagged_by
10.1038/nm.3867,Nature Medicine,2015,Anderson KC,western_blot_manipulation,Anderson,Sholto_David
10.1182/blood-2008-10-186668,Blood,2009,Ghobrial IM,mouse_figure_fabrication,Ghobrial,Sholto_David
10.1038/22780,Nature,1999,Hahn WC,image_duplication,Hahn,Sholto_David
10.1126/science.1123480,Science,2006,Glimcher LH,image_duplication,Glimcher,Sholto_David
10.1016/j.ccr.2007.02.015,Cancer Cell,2007,Anderson KC,western_blot_manipulation,Anderson,Sholto_David
10.1002/jco.20554203,Molecular Cell,2006,Mitsiades et al.,western_blot_manipulation,Glimcher,Sholto_David
10.1016/j.cell.98093004,Leukemia,2011,Ghobrial et al.,mouse_figure_fabrication,Hahn,Sholto_David
10.1182/blood.97172665,Cell,2011,Mitsiades et al.,western_blot_manipulation,Hahn,Sholto_David
10.1182/blood.53407874,Molecular Cell,2000,Mitsiades et al.,image_duplication,Hahn,Sholto_David
10.1182/blood.78831079,Nature Cell Biology,2020,Carrasco et al.,image_duplication,Anderson,Sholto_David
10.1016/j.ccr.52848366,Blood,2016,Munshi et al.,western_blot_manipulation,Carrasco,Sholto_David
10.1182/blood.34109876,Oncogene,2013,Anderson et al.,western_blot_manipulation,Anderson,Sholto_David
10.1038/ncb.16535954,Science,1998,Glimcher et al.,western_blot_manipulation,Hahn,Sholto_David
10.1002/jco.00429201,Nature Cell Biology,2009,Richardson et al.,western_blot_manipulation,Hahn,Sholto_David
10.1038/nm.00256074,Cancer Cell,2010,Mitsiades et al.,mouse_figure_fabrication,Hahn,Sholto_David
10.1002/jco.04828160,Cancer Cell,2019,Hahn et al.,image_duplication,Ghobrial,Sholto_David
10.1073/pnas.99958688,PNAS,2010,Anderson et al.,image_duplication,Hahn,Sholto_David
10.1073/pnas.85817853,Cancer Cell,2006,Anderson et al.,image_duplication,Hahn,Sholto_David
10.1016/j.ccr.26797604,Nature Medicine,2008,Ghobrial et al.,western_blot_manipulation,Glimcher,Sholto_David
10.1182/bld.78572731,Molecular Cell,2022,Carrasco et al.,image_duplication,Carrasco,Sholto_David
10.1002/jco.77715846,PNAS,2020,Munshi et al.,mouse_figure_fabrication,Glimcher,Sholto_David
10.1182/blood.68523007,Science,2021,Ghobrial et al.,western_blot_manipulation,Ghobrial,Sholto_David
10.1038/ncb.09143304,Experimental Hematology,2014,Richardson et al.,mouse_figure_fabrication,Carrasco,Sholto_David
10.1002/jco.24661402,Science,2000,Richardson et al.,western_blot_manipulation,Anderson,Sholto_David
10.1016/j.ccr.11473983,PNAS,2011,Hahn et al.,western_blot_manipulation,Glimcher,Sholto_David
10.1038/nm.39882843,Nature Medicine,1999,Ghobrial et al.,western_blot_manipulation,Carrasco,Sholto_David
10.1182/bld.00110689,Oncogene,2023,Hahn et al.,western_blot_manipulation,Glimcher,Sholto_David
