paper_id	paper_doi	researcher_group	journal	year	fig_pair	similarity_score	verdict	method	researcher_confirmed_identity	review_status	notes
UPD2-0001	10.1038/nm.3867	Anderson	Cancer Cell	2005	Fig.2B	0.6253	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0002	10.1182/bld.anderson-0001	Anderson	Blood	2008	Fig.5B	0.6352	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0003	10.1182/bld.anderson-0002	Anderson	Blood	2010	Fig.6C	0.8845	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0004	10.1038/nm.3867	Anderson	Cancer Cell	2008	Fig.4C	0.5218	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0005	10.1182/bld.anderson-0004	Anderson	Blood	2004	Fig.5C	0.8359	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0006	10.1182/bld.anderson-0005	Anderson	Blood	2007	Fig.2C	0.6493	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0007	10.1038/nm.3867	Anderson	Cancer Cell	2011	Fig.4A	0.8559	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0008	10.1182/bld.anderson-0007	Anderson	Blood	2016	Fig.3C	0.7737	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0009	10.1182/bld.anderson-0008	Anderson	Blood	2010	Fig.6C	0.7946	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0010	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2011	Fig.4A	0.9751	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0011	10.1182/bld.anderson-0010	Anderson	Blood	2013	Fig.6C	0.9064	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0012	10.1182/bld.anderson-0011	Anderson	Blood	2016	Fig.1B	0.4612	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0013	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2017	Fig.6C	0.7743	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0014	10.1182/bld.anderson-0013	Anderson	Blood	2003	Fig.4B	0.5423	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0015	10.1182/bld.anderson-0014	Anderson	Blood	2021	Fig.6C	0.9309	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0016	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2016	Fig.5C	0.9644	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0017	10.1182/bld.anderson-0016	Anderson	Blood	2018	Fig.6C	0.9734	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
