study_id,paper_doi,condition,participant_id,dv_primary,dv_secondary,manipulation_check,age,gender,education,session_date,response_time_ms,attrition_flag,note
S0001,10.1177/0956797615575277,treatment_a,P00001,5.865,3.588,3.32,54,F,BA,2019-03-04,1973723,0,upd2_reanalysis_row_1
S0002,10.1177/0956797614520714,treatment_b,P00002,4.036,3.809,5.36,56,F,Other,2019-01-23,455445,0,upd2_reanalysis_row_2
S0003,10.1073/pnas.1209746109,treatment_b,P00003,4.329,4.626,6.32,57,F,PhD,2019-05-25,324913,0,upd2_reanalysis_row_3
S0004,10.1177/0956797614520714,control,P00004,5.378,3.689,4.14,57,F,BA,2019-11-28,1836070,0,upd2_reanalysis_row_4
S0005,10.1037/pspa0000226,control,P00005,4.785,3.353,4.13,33,F,Other,2019-11-21,1865313,0,upd2_reanalysis_row_5
S0006,10.1073/pnas.1209746109,control,P00006,4.326,3.692,5.84,31,F,HS,2019-05-19,1736630,0,upd2_reanalysis_row_6
S0007,10.1073/pnas.1209746109,treatment_a,P00007,4.794,3.285,5.54,51,F,Other,2019-06-20,1863839,0,upd2_reanalysis_row_7
S0008,10.1037/pspa0000226,treatment_a,P00008,6.736,5.081,4.02,19,F,BA,2019-03-15,201433,0,upd2_reanalysis_row_8
S0009,10.1177/0956797614520714,control,P00009,6.927,4.335,4.11,41,F,PhD,2019-08-13,1612703,0,upd2_reanalysis_row_9
S0010,10.1037/pspa0000226,treatment_a,P00010,4.581,3.104,4.05,31,M,MA,2019-06-10,764853,0,upd2_reanalysis_row_10
S0011,10.1177/0956797615575277,treatment_b,P00011,4.402,2.471,6.45,40,NB,BA,2019-12-21,1241011,0,upd2_reanalysis_row_11
S0012,10.1177/0956797615575277,treatment_b,P00012,3.75,3.276,4.58,40,NB,Other,2019-04-21,1512604,0,upd2_reanalysis_row_12
S0013,10.1177/0956797615575277,treatment_a,P00013,3.176,4.362,5.17,61,F,HS,2019-10-04,274423,0,upd2_reanalysis_row_13
S0014,10.1073/pnas.1209746109,treatment_a,P00014,5.243,4.998,5.35,50,F,MA,2019-06-10,1925782,1,upd2_reanalysis_row_14
S0015,10.1073/pnas.1209746109,control,P00015,3.565,4.222,4.39,24,F,MA,2019-12-24,584796,0,upd2_reanalysis_row_15
S0016,10.1177/0956797614520714,control,P00016,6.134,4.104,5.79,33,F,PhD,2019-08-06,245781,0,upd2_reanalysis_row_16
S0017,10.1037/pspa0000226,control,P00017,4.87,4.163,5.85,24,F,HS,2019-09-09,1358169,0,upd2_reanalysis_row_17
S0018,10.1037/pspa0000226,treatment_a,P00018,5.854,3.867,6.31,30,F,MA,2019-08-20,352664,1,upd2_reanalysis_row_18
S0019,10.1073/pnas.1209746109,treatment_b,P00019,4.819,3.746,5.21,35,F,BA,2019-01-03,1920134,0,upd2_reanalysis_row_19
S0020,10.1073/pnas.1209746109,treatment_a,P00020,4.109,4.424,3.3,28,M,Other,2019-10-21,632528,0,upd2_reanalysis_row_20
S0021,10.1177/0956797614520714,treatment_b,P00021,4.749,5.005,5.09,58,F,MA,2019-11-16,2204035,0,upd2_reanalysis_row_21
S0022,10.1177/0956797614520714,treatment_b,P00022,5.707,4.251,4.51,55,F,Other,2019-02-26,348118,1,upd2_reanalysis_row_22
S0023,10.1037/pspa0000226,treatment_b,P00023,4.575,3.662,4.91,26,NB,PhD,2019-06-21,383665,0,upd2_reanalysis_row_23
S0024,10.1177/0956797615575277,control,P00024,4.655,1.565,5.44,58,M,Other,2019-08-18,1863316,0,upd2_reanalysis_row_24
S0025,10.1177/0956797615575277,treatment_a,P00025,7.707,4.7,5.94,64,NB,MA,2019-01-10,1911264,0,upd2_reanalysis_row_25
S0026,10.1037/pspa0000226,treatment_a,P00026,6.555,5.955,5.13,58,M,BA,2019-01-18,1858282,0,upd2_reanalysis_row_26
S0027,10.1177/0956797615575277,control,P00027,4.942,2.922,4.19,41,NB,PhD,2019-04-09,1539314,0,upd2_reanalysis_row_27
S0028,10.1073/pnas.1209746109,control,P00028,5.388,3.406,4.36,20,F,HS,2019-02-18,1568009,0,upd2_reanalysis_row_28
S0029,10.1037/pspa0000226,treatment_a,P00029,4.736,3.76,4.82,45,M,Other,2019-02-19,707335,0,upd2_reanalysis_row_29
S0030,10.1073/pnas.1209746109,control,P00030,3.748,4.959,4.28,60,M,HS,2019-03-03,1782339,0,upd2_reanalysis_row_30
S0031,10.1177/0956797614520714,treatment_a,P00031,1.792,4.021,4.87,62,M,Other,2019-02-24,1199353,0,upd2_reanalysis_row_31
S0032,10.1177/0956797614520714,treatment_a,P00032,5.346,2.361,4.57,48,NB,BA,2019-05-13,1442527,1,upd2_reanalysis_row_32
S0033,10.1037/pspa0000226,control,P00033,4.189,2.214,7.22,58,M,BA,2019-04-18,996311,0,upd2_reanalysis_row_33
S0034,10.1073/pnas.1209746109,control,P00034,4.742,4.667,3.72,34,F,BA,2019-04-26,584651,1,upd2_reanalysis_row_34
S0035,10.1177/0956797614520714,treatment_a,P00035,6.72,3.608,3.87,58,M,MA,2019-05-13,1440509,0,upd2_reanalysis_row_35
S0036,10.1037/pspa0000226,control,P00036,5.749,3.249,5.63,27,F,Other,2019-06-08,1915848,0,upd2_reanalysis_row_36
S0037,10.1177/0956797615575277,treatment_a,P00037,6.137,4.833,4.2,20,M,Other,2019-11-26,1330598,0,upd2_reanalysis_row_37
S0038,10.1073/pnas.1209746109,control,P00038,4.244,2.771,5.18,32,F,Other,2019-12-17,863035,0,upd2_reanalysis_row_38
S0039,10.1177/0956797614520714,treatment_a,P00039,4.912,3.844,6.33,52,M,MA,2019-09-24,241662,0,upd2_reanalysis_row_39
S0040,10.1177/0956797615575277,treatment_a,P00040,4.141,4.127,4.55,36,M,PhD,2019-03-07,335715,1,upd2_reanalysis_row_40
