record_id,facility_id,state,device_serial,sw_version,event_date,event_type,battery_health_at_event,reported_soc_pct,actual_soc_pct,rate_programmed_mlhr,rate_actual_mlhr,patient_impact,mdr_submitted,cfr_basis,corrective_action_taken
REC-00001,FAC-FL-445,FL,IVX-349273,5.10.1,2025-04-08,normal_operation,97.0,97.0,97.0,100.0,100.0,injury,Y,21 CFR 803.50(a)(1),No action required
REC-00002,FAC-VA-762,VA,IVX-752124,5.10.1,2025-03-21,ui_freeze_dual_zero,72.2,72.2,72.2,5.0,0.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00003,FAC-FL-365,FL,IVX-433017,5.10.1,2025-01-06,battery_soc_error,71.4,91.6,52.4,50.0,50.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00004,FAC-CA-980,CA,IVX-981889,5.10.0,2025-02-18,unexpected_shutdown,93.6,11.8,6.5,25.0,25.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00005,FAC-WA-721,WA,IVX-605903,5.9.3,2025-05-10,normal_operation,62.4,62.4,62.4,100.0,100.0,no_harm,Y,21 CFR 803.50(a)(1),No action required
REC-00006,FAC-FL-947,FL,IVX-965184,5.9.3,2025-09-02,battery_soc_error,64.1,93.3,58.5,125.0,125.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00007,FAC-CA-771,CA,IVX-631550,5.10.1,2025-06-25,rate_deviation,61.5,61.5,61.5,125.0,129.7,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00008,FAC-MI-727,MI,IVX-364823,5.10.0,2025-06-26,unexpected_shutdown,96.8,7.3,0.9,5.0,5.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00009,FAC-CA-175,CA,IVX-589410,5.10.0,2025-01-20,battery_soc_error,57.0,73.3,36.1,125.0,125.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00010,FAC-VA-474,VA,IVX-650522,5.10.0,2025-03-15,normal_operation,74.5,74.5,74.5,25.0,25.0,injury,Y,21 CFR 803.50(a)(1),No action required
REC-00011,FAC-CA-765,CA,IVX-144543,5.10.0,2025-09-19,normal_operation,80.6,80.6,80.6,10.0,10.0,no_harm,N,N/A,No action required
REC-00012,FAC-FL-110,FL,IVX-403243,5.10.1,2025-12-07,battery_soc_error,51.4,74.4,30.5,50.0,50.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00013,FAC-TX-638,TX,IVX-758478,5.10.0,2025-06-26,normal_operation,69.6,69.6,69.6,50.0,50.0,near_miss,N,N/A,No action required
REC-00014,FAC-MI-214,MI,IVX-181367,5.9.3,2025-08-18,battery_soc_error,71.8,100,58.7,10.0,10.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00015,FAC-MI-527,MI,IVX-149285,5.10.1,2025-10-11,unexpected_shutdown,87.9,7.8,0.6,25.0,25.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00016,FAC-MI-103,MI,IVX-106773,5.9.3,2025-11-11,unexpected_shutdown,58.4,19.9,13.4,50.0,50.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00017,FAC-TX-696,TX,IVX-958009,5.10.1,2025-12-05,unexpected_shutdown,94.1,8.2,0,10.0,10.0,no_harm,N,N/A,Software updated to 5.10.2
