shift_id,date,shift,unit,nurses_on_duty_count,patient_count,ratio_actual,legal_max,is_violation,sb596_daily,notes
SH-TEL-U1-001,2025-12-28,Night (19:00-07:00),Telemetry,2,9,4.5,4,True,False,"Pre-SB596: night shift, 2 nurses, 9 patients → 1:4.5 (violation)"
SH-TEL-U1-002,2025-12-29,Night (19:00-07:00),Telemetry,2,9,4.5,4,True,False,"Pre-SB596: night shift, 2 nurses, 9 patients → 1:4.5 (violation)"
SH-TEL-U1-003,2025-12-30,Night (19:00-07:00),Telemetry,2,9,4.5,4,True,False,"Pre-SB596: night shift, 2 nurses, 9 patients → 1:4.5 (violation)"
SH-TEL-U1-004,2025-12-31,Night (19:00-07:00),Telemetry,2,9,4.5,4,True,False,"Pre-SB596: night shift, 2 nurses, 9 patients → 1:4.5 (violation)"
SH-TEL-U1-005,2026-01-02,Night (19:00-07:00),Telemetry,2,9,4.5,4,True,True,Post-SB596 (eff. 2026-01-01): each day = separate violation
SH-TEL-U1-006,2026-01-03,Night (19:00-07:00),Telemetry,2,9,4.5,4,True,True,Post-SB596 (eff. 2026-01-01): each day = separate violation
SH-TEL-U1-007,2026-01-04,Night (19:00-07:00),Telemetry,2,9,4.5,4,True,True,Post-SB596 (eff. 2026-01-01): each day = separate violation
SH-TEL-U1-008,2026-01-05,Night (19:00-07:00),Telemetry,2,9,4.5,4,True,True,Post-SB596 (eff. 2026-01-01): each day = separate violation
SH-TEL-U1-009,2026-01-06,Night (19:00-07:00),Telemetry,2,9,4.5,4,True,True,Post-SB596 (eff. 2026-01-01): each day = separate violation
SH-TEL-U1-010,2026-01-07,Night (19:00-07:00),Telemetry,2,9,4.5,4,True,True,Post-SB596 (eff. 2026-01-01): each day = separate violation
SH-TEL-U1-011,2026-01-08,Night (19:00-07:00),Telemetry,2,9,4.5,4,True,True,Post-SB596 (eff. 2026-01-01): each day = separate violation
