hostname,ip,ssh_version,os,env,owner,is_vulnerable,rhel_version
r8s0001.internal.example.com,10.60.157.9,OpenSSH_8.0p1,RHEL 8,staging,data-infra,true,8.10
r8p0002.internal.example.com,10.77.158.198,OpenSSH_8.0p1,RHEL 8,prod,backend,true,8.10
r8s0003.internal.example.com,10.76.102.108,OpenSSH_8.0p1,RHEL 8,staging,backend,true,8.10
r8s0004.internal.example.com,10.58.98.107,OpenSSH_8.0p1,RHEL 8,staging,data-infra,true,8.10
r8d0005.internal.example.com,10.71.25.175,OpenSSH_8.0p1,RHEL 8,dev,sre,true,8.10
r8s0006.internal.example.com,10.78.157.176,OpenSSH_8.0p1,RHEL 8,staging,devops,true,8.10
r8s0007.internal.example.com,10.73.66.152,OpenSSH_8.0p1,RHEL 8,staging,backend,true,8.10
r8s0008.internal.example.com,10.74.91.214,OpenSSH_8.0p1,RHEL 8,staging,devops,true,8.10
r8d0009.internal.example.com,10.59.92.163,OpenSSH_8.0p1,RHEL 8,dev,devops,true,8.10
r8s0010.internal.example.com,10.60.52.139,OpenSSH_8.0p1,RHEL 8,staging,sre,true,8.10
r8s0011.internal.example.com,10.61.179.142,OpenSSH_8.0p1,RHEL 8,staging,data-infra,true,8.10
r8s0012.internal.example.com,10.51.137.169,OpenSSH_8.0p1,RHEL 8,staging,sre,true,8.10
r8s0013.internal.example.com,10.51.149.238,OpenSSH_8.0p1,RHEL 8,staging,devops,true,8.10
r8d0014.internal.example.com,10.66.215.94,OpenSSH_8.0p1,RHEL 8,dev,sre,true,8.10
r8s0015.internal.example.com,10.70.182.24,OpenSSH_8.0p1,RHEL 8,staging,backend,true,8.10
r8p0016.internal.example.com,10.68.11.120,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8p0017.internal.example.com,10.68.238.113,OpenSSH_8.0p1,RHEL 8,prod,sre,true,8.10
r8p0018.internal.example.com,10.53.237.55,OpenSSH_8.0p1,RHEL 8,prod,sre,true,8.10
r8s0019.internal.example.com,10.57.196.165,OpenSSH_8.0p1,RHEL 8,staging,sre,true,8.10
r8p0020.internal.example.com,10.51.225.239,OpenSSH_8.0p1,RHEL 8,prod,sre,true,8.10
r8p0021.internal.example.com,10.74.213.208,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8p0022.internal.example.com,10.73.205.230,OpenSSH_8.0p1,RHEL 8,prod,sre,true,8.10
