hostname,ip,os_version,ssh_version,env,cve_2024_6387_vulnerable,cve_2024_6409_vulnerable,patch_required,errata_applicable
host-p0001-scan.example.com,10.92.194.69,RHEL 9.4,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4340
host-p0002-scan.example.com,10.98.48.27,RHEL 9.4,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-p0003-scan.example.com,10.108.53.3,RHEL 8.10,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4312
host-s0004-scan.example.com,10.81.156.201,Ubuntu 22.04,OpenSSH_9.3p2,staging,true,false,true,RHSA-2024:4312
host-d0005-scan.example.com,10.80.77.110,Ubuntu 22.04,OpenSSH_9.6p1,dev,true,false,true,RHSA-2024:4340
host-d0006-scan.example.com,10.118.4.117,Ubuntu 22.04,OpenSSH_9.6p1,dev,true,false,true,RHSA-2024:4340
host-p0007-scan.example.com,10.102.222.11,RHEL 9.4,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4312
host-p0008-scan.example.com,10.85.21.129,RHEL 9.4,OpenSSH_8.7p1,prod,true,true,true,RHSA-2024:4340
host-d0009-scan.example.com,10.110.107.235,RHEL 8.10,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-p0010-scan.example.com,10.88.148.159,RHEL 8.10,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4312
host-p0011-scan.example.com,10.115.185.223,Ubuntu 22.04,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4340
host-p0012-scan.example.com,10.85.127.103,RHEL 9.4,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4340
host-p0013-scan.example.com,10.119.113.57,RHEL 9.4,OpenSSH_8.7p1,prod,true,true,true,RHSA-2024:4340
host-p0014-scan.example.com,10.113.7.24,Ubuntu 22.04,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
