order_id,symbol,side,quantity,expected_settlement_utc,actual_settlement_utc,closing_price_usd,vwap_usd,price_diff_usd,price_diff_vwap_usd
AROS-020241103000,YM,BUY,41,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4713.39,4718.09,-30.51,54.34
AROS-020241103001,RTY,BUY,17,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4797.28,4797.1,-429.64,166.56
AROS-020241103002,ES,BUY,45,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4914.01,4909.32,135.94,-446.84
AROS-020241103003,ES,BUY,7,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4826.06,4829.78,439.32,-458.16
AROS-020241103004,NQ,SELL,7,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5432.22,5434.89,200.0,-246.73
AROS-020241103005,RTY,BUY,16,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5314.89,5306.91,-433.94,286.1
AROS-020241103006,ES,BUY,45,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5050.22,5043.48,-231.45,-241.17
AROS-020241103007,ES,SELL,46,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5238.61,5243.38,-387.13,149.93
AROS-020241103008,NQ,SELL,33,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4880.53,4873.62,148.93,205.06
AROS-020241103009,ES,SELL,47,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4754.81,4747.14,-422.41,391.06
AROS-020241103010,RTY,SELL,15,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4534.84,4533.16,343.08,413.18
AROS-020241103011,YM,SELL,8,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5496.45,5494.89,-114.79,61.44
AROS-020241103012,NQ,SELL,3,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4978.67,4983.36,-59.58,164.86
AROS-020241103013,NQ,BUY,48,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5686.42,5689.16,-156.47,277.33
AROS-020241103014,YM,BUY,23,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5532.79,5542.41,-177.04,-283.06
AROS-020241103015,ES,BUY,35,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5227.74,5228.47,309.45,-464.67
AROS-020241103016,RTY,BUY,23,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5329.82,5335.75,-97.38,-382.72
AROS-020241103017,RTY,SELL,48,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4555.09,4561.77,-168.01,406.29
AROS-020241103018,NQ,BUY,42,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5398.38,5400.42,130.46,-185.88
AROS-020241103019,YM,BUY,40,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5374.55,5366.48,6.24,214.41
AROS-020241103020,RTY,BUY,16,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5298.5,5291.4,-141.22,138.32
AROS-020241103021,NQ,BUY,7,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5246.21,5240.01,-324.54,-363.98
AROS-020241103022,NQ,SELL,50,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5581.72,5584.4,-439.67,-347.82
AROS-020241103023,YM,SELL,10,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5140.42,5141.39,184.94,-450.89
AROS-020241103024,ES,BUY,47,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4601.24,4608.88,-383.86,296.94
AROS-020241103025,YM,BUY,26,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5657.46,5662.33,270.88,-106.99
AROS-020241103026,RTY,BUY,38,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5251.87,5261.0,237.83,148.69
AROS-020241103027,NQ,SELL,2,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5002.0,5000.2,-252.96,274.48
AROS-020241103028,RTY,BUY,2,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5325.43,5332.86,-326.16,-83.18
AROS-020241103029,YM,SELL,16,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5325.81,5316.23,-412.55,-371.54
AROS-020241103030,YM,SELL,47,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5765.54,5768.42,-148.97,61.94
AROS-020241103031,YM,SELL,21,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4608.79,4600.07,172.11,143.73
AROS-020241103032,NQ,BUY,4,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4601.02,4593.19,-79.69,-178.04
AROS-020241103033,ES,SELL,50,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5004.61,5009.6,31.26,68.71
AROS-020241103034,YM,BUY,18,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4940.66,4935.4,-330.94,-276.71
AROS-020241103035,YM,BUY,20,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4871.87,4864.47,33.37,-104.95
AROS-020241103036,NQ,BUY,48,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4694.5,4694.36,19.85,-12.12
AROS-020241103037,NQ,SELL,9,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4935.74,4937.1,41.8,-88.24
AROS-020241103038,ES,SELL,41,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5410.29,5414.74,-396.34,-315.96
AROS-020241103039,ES,SELL,49,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5743.33,5751.98,226.74,-33.28
AROS-020241103040,YM,BUY,44,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5050.62,5047.05,339.08,-237.02
