LocationID,Borough,Zone,service_zone
1,EWR,Newark Airport,EWR
2,Staten Island,Upper Square,Boro Zone
3,Staten Island,East Beach,Boro Zone
4,Brooklyn,East Terminal,Boro Zone
5,Queens,Lower Heights,Boro Zone
6,Manhattan,Lower Junction,Yellow Zone
7,Brooklyn,Upper Point,Boro Zone
8,Manhattan,South Bay,Yellow Zone
9,Bronx,Upper Park,Boro Zone
10,Bronx,East Heights,Boro Zone
11,Brooklyn,South Junction,Boro Zone
12,Queens,South Hill,Boro Zone
13,Staten Island,West Point,Boro Zone
14,Manhattan,Central Heights,Yellow Zone
15,Queens,Central Square,Boro Zone
16,Staten Island,North Corners,Boro Zone
17,Queens,Central Bay,Boro Zone
18,Brooklyn,Upper Junction,Boro Zone
19,Queens,Central Heights,Boro Zone
20,Queens,South Gardens,Boro Zone
21,Staten Island,Upper Bay,Boro Zone
22,Brooklyn,Upper Hill,Boro Zone
23,Brooklyn,South Village,Boro Zone
24,Manhattan,Lower Terminal,Yellow Zone
25,Queens,Central Junction,Boro Zone
26,Queens,East Square,Boro Zone
27,Bronx,East Heights,Boro Zone
28,Brooklyn,Lower Gardens,Boro Zone
29,Brooklyn,Upper Harbor,Boro Zone
30,Manhattan,East Village,Yellow Zone
31,Bronx,South Yards,Boro Zone
32,Staten Island,North Junction,Boro Zone
33,Manhattan,Central Yards,Yellow Zone
34,Bronx,South Point,Boro Zone
35,Manhattan,Central Terminal,Yellow Zone
36,Queens,North Village,Boro Zone
37,Bronx,Lower Park,Boro Zone
38,Manhattan,South Junction,Yellow Zone
39,Bronx,South Terminal,Boro Zone
40,Manhattan,West Point,Yellow Zone
41,Queens,West Corners,Boro Zone
42,Staten Island,Upper Gardens,Boro Zone
43,Queens,Lower Junction,Boro Zone
44,Manhattan,Lower Harbor,Yellow Zone
45,Queens,North Square,Boro Zone
46,Staten Island,West Heights,Boro Zone
47,Brooklyn,Central Gardens,Boro Zone
48,Bronx,North Gardens,Boro Zone
49,Brooklyn,Central Terminal,Boro Zone
50,Bronx,East Yards,Boro Zone
51,Queens,South Heights,Boro Zone
52,Queens,Upper Village,Boro Zone
53,Bronx,East Bay,Boro Zone
54,Brooklyn,Upper Park,Boro Zone
55,Manhattan,North Gardens,Yellow Zone
56,Manhattan,West Park,Yellow Zone
57,Brooklyn,East Junction,Boro Zone
58,Manhattan,Upper Terminal,Yellow Zone
59,Queens,Upper Yards,Boro Zone
60,Manhattan,Central Corners,Yellow Zone
61,Brooklyn,North Village,Boro Zone
62,Manhattan,North Bay,Yellow Zone
63,Brooklyn,South Harbor,Boro Zone
64,Manhattan,South Hill,Yellow Zone
65,Brooklyn,North Heights,Boro Zone
66,Bronx,Lower Hill,Boro Zone
67,Brooklyn,South Terminal,Boro Zone
68,Queens,Central Village,Boro Zone
69,Brooklyn,South Park,Boro Zone
70,Brooklyn,Central Hill,Boro Zone
71,Manhattan,Lower Square,Yellow Zone
72,Staten Island,Upper Yards,Boro Zone
73,Manhattan,Upper Square,Yellow Zone
74,Queens,Central Bay,Boro Zone
75,Queens,Central Gardens,Boro Zone
76,Bronx,Upper Heights,Boro Zone
77,Queens,Lower Corners,Boro Zone
78,Staten Island,South Gardens,Boro Zone
79,Brooklyn,East Junction,Boro Zone
80,Manhattan,Upper Bay,Yellow Zone
81,Brooklyn,South Terminal,Boro Zone
82,Queens,North Corners,Boro Zone
83,Brooklyn,West Heights,Boro Zone
84,Staten Island,West Beach,Boro Zone
85,Bronx,South Bay,Boro Zone
86,Queens,West Park,Boro Zone
87,Brooklyn,Upper Park,Boro Zone
88,Manhattan,East Terminal,Yellow Zone
89,Staten Island,West Point,Boro Zone
90,Queens,Central Point,Boro Zone
91,Bronx,West Gardens,Boro Zone
92,Brooklyn,West Gardens,Boro Zone
93,Brooklyn,East Village,Boro Zone
94,Bronx,North Beach,Boro Zone
95,Manhattan,South Terminal,Yellow Zone
96,Brooklyn,Lower Bay,Boro Zone
97,Staten Island,East Terminal,Boro Zone
98,Staten Island,Lower Harbor,Boro Zone
99,Brooklyn,North Point,Boro Zone
100,Staten Island,East Corners,Boro Zone
101,Queens,North Village,Boro Zone
102,Queens,Central Heights,Boro Zone
103,Brooklyn,South Beach,Boro Zone
104,Queens,South Heights,Boro Zone
105,Manhattan,Central Corners,Yellow Zone
106,Manhattan,Central Yards,Yellow Zone
107,Brooklyn,West Hill,Boro Zone
108,Brooklyn,East Park,Boro Zone
109,Brooklyn,East Terminal,Boro Zone
110,Manhattan,North Terminal,Yellow Zone
111,Staten Island,North Point,Boro Zone
112,Queens,West Hill,Boro Zone
113,Staten Island,Central Village,Boro Zone
114,Staten Island,Lower Yards,Boro Zone
115,Queens,Upper Heights,Boro Zone
116,Queens,West Heights,Boro Zone
