minute_utc,5xx_total_pct,5xx_origin_pct,5xx_edge_pct,http_503_count,http_502_count,http_504_count
2024-06-20T14:00:00Z,0.1026,0.041,0.0616,983,281,140
2024-06-20T14:01:00Z,0.1357,0.0543,0.0814,865,247,123
2024-06-20T14:02:00Z,0.0658,0.0263,0.0395,347,99,49
2024-06-20T14:03:00Z,0.0769,0.0308,0.0461,323,92,46
2024-06-20T14:04:00Z,0.1358,0.0543,0.0815,793,226,113
2024-06-20T14:05:00Z,0.0906,0.0362,0.0544,596,170,85
2024-06-20T14:06:00Z,0.0697,0.0279,0.0418,394,112,56
2024-06-20T14:07:00Z,0.1045,0.0418,0.0627,472,135,67
2024-06-20T14:08:00Z,0.1232,0.0493,0.0739,719,205,102
2024-06-20T14:09:00Z,0.099,0.0396,0.0594,918,262,131
2024-06-20T14:10:00Z,0.0771,0.0308,0.0463,715,204,102
2024-06-20T14:11:00Z,0.0835,0.0334,0.0501,760,217,108
2024-06-20T14:12:00Z,0.0873,0.0349,0.0524,728,208,104
2024-06-20T14:13:00Z,0.0968,0.0387,0.0581,757,216,108
2024-06-20T14:14:00Z,0.082,0.0328,0.0492,809,231,115
2024-06-20T14:15:00Z,0.0714,0.0286,0.0428,579,165,82
2024-06-20T14:16:00Z,0.103,0.0412,0.0618,935,267,133
2024-06-20T14:17:00Z,0.0787,0.0315,0.0472,413,118,59
2024-06-20T14:18:00Z,0.1222,0.0489,0.0733,1208,345,172
2024-06-20T14:19:00Z,0.1023,0.0409,0.0614,455,130,65
2024-06-20T14:20:00Z,0.0638,0.0255,0.0383,603,172,86
2024-06-20T14:21:00Z,0.1139,0.0456,0.0683,784,224,112
2024-06-20T14:22:00Z,0.1267,0.0507,0.076,664,189,94
2024-06-20T14:23:00Z,0.1065,0.0426,0.0639,893,255,127
2024-06-20T14:24:00Z,0.08,0.032,0.048,729,208,104
2024-06-20T14:25:00Z,0.1445,0.0578,0.0867,1021,292,146
2024-06-20T14:26:00Z,0.0967,0.0387,0.058,579,165,82
2024-06-20T14:27:00Z,0.0751,0.03,0.0451,726,207,103
2024-06-20T14:28:00Z,0.1302,0.0521,0.0781,1324,378,189
2024-06-20T14:29:00Z,0.0621,0.0248,0.0373,440,125,62
2024-06-20T14:30:00Z,0.1241,0.0496,0.0745,500,143,71
2024-06-20T14:31:00Z,0.0672,0.0269,0.0403,443,126,63
2024-06-20T14:32:00Z,0.1223,0.0489,0.0734,1104,315,157
2024-06-20T14:33:00Z,0.1475,0.059,0.0885,1228,351,175
2024-06-20T14:34:00Z,0.0932,0.0373,0.0559,602,172,86
2024-06-20T14:35:00Z,0.1097,0.0439,0.0658,781,223,111
2024-06-20T14:36:00Z,0.0654,0.0262,0.0392,382,109,54
2024-06-20T14:37:00Z,0.0908,0.0363,0.0545,931,266,133
2024-06-20T14:38:00Z,0.1243,0.0497,0.0746,1017,290,145
2024-06-20T14:39:00Z,0.1379,0.0552,0.0827,1146,327,163
2024-06-20T14:40:00Z,0.1244,0.0498,0.0746,636,181,90
2024-06-20T14:41:00Z,0.0863,0.0345,0.0518,434,124,62
2024-06-20T14:42:00Z,0.0872,0.0349,0.0523,659,188,94
2024-06-20T14:43:00Z,0.1217,0.0487,0.073,1115,318,159
2024-06-20T14:44:00Z,0.0659,0.0264,0.0395,262,75,37
2024-06-20T14:45:00Z,0.0733,0.0293,0.044,516,147,73
2024-06-20T14:46:00Z,0.1349,0.054,0.0809,660,188,94
2024-06-20T14:47:00Z,0.0515,0.0206,0.0309,468,134,67
2024-06-20T14:48:00Z,0.1302,0.0521,0.0781,978,279,139
2024-06-20T14:49:00Z,0.0771,0.0308,0.0463,501,143,71
2024-06-20T14:50:00Z,0.1271,0.0508,0.0763,497,142,71
2024-06-20T14:51:00Z,0.0778,0.0311,0.0467,672,192,96
2024-06-20T14:52:00Z,0.1178,0.0471,0.0707,675,193,96
2024-06-20T14:53:00Z,0.122,0.0488,0.0732,1077,307,153
2024-06-20T14:54:00Z,0.0835,0.0334,0.0501,722,206,103
2024-06-20T14:55:00Z,0.0951,0.038,0.0571,993,283,141
2024-06-20T14:56:00Z,0.0772,0.0309,0.0463,784,224,112
2024-06-20T14:57:00Z,0.0506,0.0202,0.0304,448,128,64
2024-06-20T14:58:00Z,0.0519,0.0208,0.0311,233,66,33
2024-06-20T14:59:00Z,0.0747,0.0299,0.0448,713,203,101
2024-06-20T15:00:00Z,0.1351,0.054,0.0811,1167,333,166
2024-06-20T15:01:00Z,0.095,0.038,0.057,935,267,133
2024-06-20T15:02:00Z,0.0862,0.0345,0.0517,496,142,71
2024-06-20T15:03:00Z,0.0996,0.0398,0.0598,447,127,63
2024-06-20T15:04:00Z,0.0648,0.0259,0.0389,574,164,82
2024-06-20T15:05:00Z,0.0555,0.0222,0.0333,534,152,76
2024-06-20T15:06:00Z,0.1147,0.0459,0.0688,819,234,117
2024-06-20T15:07:00Z,0.0596,0.0238,0.0358,336,96,48
2024-06-20T15:08:00Z,0.0712,0.0285,0.0427,364,104,52
2024-06-20T15:09:00Z,0.093,0.0372,0.0558,519,148,74
2024-06-20T15:10:00Z,0.0525,0.021,0.0315,400,114,57
2024-06-20T15:11:00Z,0.0543,0.0217,0.0326,304,87,43
2024-06-20T15:12:00Z,0.1004,0.0402,0.0602,356,101,50
2024-06-20T15:13:00Z,0.0683,0.0273,0.041,321,91,45
2024-06-20T15:14:00Z,0.1027,0.0411,0.0616,835,238,119
2024-06-20T15:15:00Z,0.1433,0.0573,0.086,579,165,82
2024-06-20T15:16:00Z,0.1416,0.0566,0.085,719,205,102
2024-06-20T15:17:00Z,0.1388,0.0555,0.0833,1311,374,187
2024-06-20T15:18:00Z,0.0619,0.0248,0.0371,471,134,67
2024-06-20T15:19:00Z,0.1197,0.0479,0.0718,1087,310,155
2024-06-20T15:20:00Z,0.0688,0.0275,0.0413,450,128,64
2024-06-20T15:21:00Z,0.0647,0.0259,0.0388,361,103,51
