minute_utc,cdn_error_pct,request_count,edge_pop,region
2024-06-20T14:00:00Z,0.0768,83485,FRA04,Europe East
2024-06-20T14:01:00Z,0.0633,64367,HEL11,Europe West
2024-06-20T14:02:00Z,0.0218,132832,VIE16,Europe West
2024-06-20T14:03:00Z,0.0364,170645,AMS01,Europe West
2024-06-20T14:04:00Z,0.0773,62086,STO09,Europe East
2024-06-20T14:05:00Z,0.0715,174103,AMS01,Europe West
2024-06-20T14:06:00Z,0.0675,55970,WAW06,Europe West
2024-06-20T14:07:00Z,0.0258,177446,VIE16,Europe West
2024-06-20T14:08:00Z,0.0336,69909,ATH08,Europe West
2024-06-20T14:09:00Z,0.0652,167811,CDG03,Europe East
2024-06-20T14:10:00Z,0.0473,102563,MUC15,Europe East
2024-06-20T14:11:00Z,0.0315,60014,LHR02,Europe West
2024-06-20T14:12:00Z,0.0329,155693,BUD07,Europe East
2024-06-20T14:13:00Z,0.0212,59064,VIE16,Europe East
2024-06-20T14:14:00Z,0.0521,156560,STO09,Europe East
2024-06-20T14:15:00Z,0.0206,162229,TLL12,Europe East
2024-06-20T14:16:00Z,0.0478,91773,HEL11,Europe West
2024-06-20T14:17:00Z,0.0419,144337,STO09,Europe West
2024-06-20T14:18:00Z,0.0563,173388,BUD07,Europe West
2024-06-20T14:19:00Z,0.0119,177379,STO09,Europe West
2024-06-20T14:20:00Z,0.0782,120294,ATH08,Europe West
2024-06-20T14:21:00Z,0.0417,158249,ATH08,Europe West
2024-06-20T14:22:00Z,0.0364,139037,LHR02,Europe West
2024-06-20T14:23:00Z,0.0707,190587,CDG03,Europe West
2024-06-20T14:24:00Z,0.0526,191897,MUC15,Europe West
2024-06-20T14:25:00Z,0.05,175391,OSL10,Europe West
2024-06-20T14:26:00Z,0.0321,122110,HEL11,Europe West
2024-06-20T14:27:00Z,0.0365,68790,ATH08,Europe East
2024-06-20T14:28:00Z,0.0662,98252,AMS01,Europe East
2024-06-20T14:29:00Z,0.0673,146568,VIE16,Europe West
2024-06-20T14:30:00Z,0.0474,180035,OSL10,Europe West
2024-06-20T14:31:00Z,0.0717,149206,OSL10,Europe East
2024-06-20T14:32:00Z,0.0797,84773,FRA04,Europe East
2024-06-20T14:33:00Z,0.0728,130413,FRA04,Europe West
2024-06-20T14:34:00Z,0.0276,129754,LHR02,Europe West
2024-06-20T14:35:00Z,0.0671,133649,RIG13,Europe West
2024-06-20T14:36:00Z,0.021,122314,VIE16,Europe East
2024-06-20T14:37:00Z,0.0134,70160,HEL11,Europe East
2024-06-20T14:38:00Z,0.0163,105753,LHR02,Europe West
2024-06-20T14:39:00Z,0.0426,173061,HEL11,Europe West
2024-06-20T14:40:00Z,0.074,115256,OSL10,Europe West
2024-06-20T14:41:00Z,0.0736,186692,ATH08,Europe West
2024-06-20T14:42:00Z,0.0531,130283,WAW06,Europe East
2024-06-20T14:43:00Z,0.0685,168706,VIE16,Europe West
2024-06-20T14:44:00Z,0.0287,176230,WAW06,Europe East
2024-06-20T14:45:00Z,0.0565,135179,STO09,Europe East
2024-06-20T14:46:00Z,0.0689,185211,OSL10,Europe West
2024-06-20T14:47:00Z,0.0475,111630,AMS01,Europe West
2024-06-20T14:48:00Z,0.0664,194891,VIL14,Europe West
2024-06-20T14:49:00Z,0.0263,76392,MUC15,Europe West
2024-06-20T14:50:00Z,0.0531,84746,MUC15,Europe East
2024-06-20T14:51:00Z,0.0662,181536,AMS01,Europe West
2024-06-20T14:52:00Z,0.0332,83659,TLL12,Europe West
2024-06-20T14:53:00Z,0.0632,178087,ATH08,Europe East
2024-06-20T14:54:00Z,0.0577,85002,MUC15,Europe West
2024-06-20T14:55:00Z,0.0172,144524,WAW06,Europe East
2024-06-20T14:56:00Z,0.0648,183317,RIG13,Europe West
2024-06-20T14:57:00Z,0.0623,101367,MAD05,Europe East
2024-06-20T14:58:00Z,0.0519,80234,VIL14,Europe East
2024-06-20T14:59:00Z,0.0332,112590,ATH08,Europe East
2024-06-20T15:00:00Z,0.0771,178462,CDG03,Europe West
2024-06-20T15:01:00Z,0.0223,154534,ATH08,Europe East
2024-06-20T15:02:00Z,0.0717,67418,FRA04,Europe West
2024-06-20T15:03:00Z,0.0527,67976,RIG13,Europe West
2024-06-20T15:04:00Z,0.0419,87337,MUC15,Europe West
2024-06-20T15:05:00Z,0.0463,98153,WAW06,Europe West
2024-06-20T15:06:00Z,0.0349,78934,WAW06,Europe West
2024-06-20T15:07:00Z,0.0355,50644,CDG03,Europe East
2024-06-20T15:08:00Z,0.0448,172038,ATH08,Europe East
2024-06-20T15:09:00Z,0.0521,134706,VIE16,Europe West
2024-06-20T15:10:00Z,0.0384,118938,HEL11,Europe East
2024-06-20T15:11:00Z,0.0112,181080,WAW06,Europe East
2024-06-20T15:12:00Z,0.0481,100811,VIL14,Europe West
2024-06-20T15:13:00Z,0.0481,177193,MAD05,Europe West
2024-06-20T15:14:00Z,0.0394,132442,WAW06,Europe West
2024-06-20T15:15:00Z,0.0158,106325,LHR02,Europe East
2024-06-20T15:16:00Z,0.0683,166959,TLL12,Europe East
2024-06-20T15:17:00Z,0.074,142712,MUC15,Europe West
2024-06-20T15:18:00Z,0.0422,185534,WAW06,Europe West
2024-06-20T15:19:00Z,0.0581,149780,MAD05,Europe West
2024-06-20T15:20:00Z,0.0494,178028,LHR02,Europe East
2024-06-20T15:21:00Z,0.0562,196023,MUC15,Europe East
2024-06-20T15:22:00Z,0.0732,60555,MUC15,Europe East
2024-06-20T15:23:00Z,0.0423,106873,VIL14,Europe East
2024-06-20T15:24:00Z,0.0717,196598,VIE16,Europe West
2024-06-20T15:25:00Z,0.0114,152790,OSL10,Europe West
2024-06-20T15:26:00Z,0.0764,84589,STO09,Europe West
2024-06-20T15:27:00Z,0.0771,153945,MUC15,Europe East
2024-06-20T15:28:00Z,0.0323,50927,BUD07,Europe East
2024-06-20T15:29:00Z,0.0742,94748,OSL10,Europe West
2024-06-20T15:30:00Z,0.0614,97059,STO09,Europe West
2024-06-20T15:31:00Z,0.0384,174194,VIL14,Europe East
2024-06-20T15:32:00Z,0.0541,173281,MUC15,Europe West
2024-06-20T15:33:00Z,0.0568,168427,VIE16,Europe East
2024-06-20T15:34:00Z,0.0404,64720,STO09,Europe West
2024-06-20T15:35:00Z,0.0246,109683,HEL11,Europe East
2024-06-20T15:36:00Z,0.0727,168461,LHR02,Europe East
2024-06-20T15:37:00Z,0.0213,157928,STO09,Europe East
2024-06-20T15:38:00Z,0.0396,71664,WAW06,Europe West
2024-06-20T15:39:00Z,0.033,81686,AMS01,Europe East
2024-06-20T15:40:00Z,0.0702,107764,WAW06,Europe East
2024-06-20T15:41:00Z,0.0445,62655,VIL14,Europe West
2024-06-20T15:42:00Z,0.0618,63277,WAW06,Europe East
2024-06-20T15:43:00Z,0.0429,103895,LHR02,Europe West
2024-06-20T15:44:00Z,0.0258,186419,VIL14,Europe West
2024-06-20T15:45:00Z,0.0279,96035,ATH08,Europe West
2024-06-20T15:46:00Z,0.0715,167360,AMS01,Europe East
2024-06-20T15:47:00Z,0.0739,65776,LHR02,Europe East
2024-06-20T15:48:00Z,0.0359,144072,BUD07,Europe West
2024-06-20T15:49:00Z,0.0198,63280,FRA04,Europe West
2024-06-20T15:50:00Z,0.0327,196104,ATH08,Europe East
2024-06-20T15:51:00Z,0.0141,95346,WAW06,Europe East
2024-06-20T15:52:00Z,0.021,67049,LHR02,Europe West
2024-06-20T15:53:00Z,0.0798,87384,STO09,Europe East
2024-06-20T15:54:00Z,0.0386,127399,TLL12,Europe West
2024-06-20T15:55:00Z,0.0794,143916,TLL12,Europe West
2024-06-20T15:56:00Z,0.0256,145660,WAW06,Europe East
2024-06-20T15:57:00Z,0.0702,152606,FRA04,Europe East
2024-06-20T15:58:00Z,0.054,169027,HEL11,Europe East
2024-06-20T15:59:00Z,0.0513,142150,RIG13,Europe East
2024-06-20T16:00:00Z,0.0427,57595,VIE16,Europe East
2024-06-20T16:01:00Z,0.0158,95413,HEL11,Europe East
2024-06-20T16:02:00Z,0.0657,107412,VIE16,Europe West
2024-06-20T16:03:00Z,0.0305,78908,TLL12,Europe East
2024-06-20T16:04:00Z,0.0196,175016,OSL10,Europe East
2024-06-20T16:05:00Z,0.0366,173402,TLL12,Europe West
2024-06-20T16:06:00Z,0.0413,183446,VIE16,Europe East
2024-06-20T16:07:00Z,0.0383,79567,VIL14,Europe West
2024-06-20T16:08:00Z,0.0195,199373,CDG03,Europe East
2024-06-20T16:09:00Z,0.0152,133157,AMS01,Europe East
2024-06-20T16:10:00Z,0.0472,74445,VIE16,Europe East
2024-06-20T16:11:00Z,0.0335,173441,TLL12,Europe West
2024-06-20T16:12:00Z,0.061,113073,CDG03,Europe West
2024-06-20T16:13:00Z,0.0394,198932,CDG03,Europe East
2024-06-20T16:14:00Z,0.0418,123830,HEL11,Europe West
2024-06-20T16:15:00Z,0.0357,85361,STO09,Europe East
2024-06-20T16:16:00Z,0.0106,177447,MAD05,Europe West
2024-06-20T16:17:00Z,0.018,187569,WAW06,Europe East
2024-06-20T16:18:00Z,0.0336,84043,WAW06,Europe East
2024-06-20T16:19:00Z,0.078,127861,MAD05,Europe East
2024-06-20T16:20:00Z,0.0616,132530,VIE16,Europe West
2024-06-20T16:21:00Z,0.0157,158111,WAW06,Europe West
2024-06-20T16:22:00Z,0.0574,54354,MUC15,Europe East
2024-06-20T16:23:00Z,0.0449,69651,MUC15,Europe West
2024-06-20T16:24:00Z,0.0564,51631,MAD05,Europe East
2024-06-20T16:25:00Z,0.042,50781,MAD05,Europe West
2024-06-20T16:26:00Z,0.0564,101812,LHR02,Europe East
2024-06-20T16:27:00Z,0.0432,63754,STO09,Europe West
2024-06-20T16:28:00Z,0.0518,131673,HEL11,Europe East
2024-06-20T16:29:00Z,0.0692,130997,VIE16,Europe West
2024-06-20T16:30:00Z,0.0619,103005,HEL11,Europe West
2024-06-20T16:31:00Z,0.0675,169097,MAD05,Europe East
2024-06-20T16:32:00Z,0.0748,63235,STO09,Europe East
