sku_id,category,sku_name,inventory_units,unit_cost_rmb,inventory_value_rmb,warehouse,snapshot_date
APP-0001,apparel,Apparel SKU 0001,3745,897.42,3360837.9,WH-SH,2025-06-10
APP-0002,apparel,Apparel SKU 0002,3827,561.86,2150238.22,WH-BJ,2025-06-10
APP-0003,apparel,Apparel SKU 0003,1261,689.61,869598.21,WH-SH,2025-06-10
APP-0004,apparel,Apparel SKU 0004,2396,1637.88,3924360.48,WH-CD,2025-06-10
APP-0005,apparel,Apparel SKU 0005,2889,95.41,275639.49,WH-SH,2025-06-10
APP-0006,apparel,Apparel SKU 0006,1194,1954.15,2333255.1,WH-CD,2025-06-10
APP-0007,apparel,Apparel SKU 0007,3566,1628.58,5807516.28,WH-BJ,2025-06-10
APP-0008,apparel,Apparel SKU 0008,1003,1911.82,1917555.46,WH-BJ,2025-06-10
APP-0009,apparel,Apparel SKU 0009,3211,1899.97,6100803.67,WH-SH,2025-06-10
APP-0010,apparel,Apparel SKU 0010,410,1148.52,470893.2,WH-SH,2025-06-10
APP-0011,apparel,Apparel SKU 0011,753,1102.48,830167.44,WH-CD,2025-06-10
APP-0012,apparel,Apparel SKU 0012,618,692.17,427761.06,WH-CD,2025-06-10
APP-0013,apparel,Apparel SKU 0013,2628,248.14,652111.92,WH-SH,2025-06-10
APP-0014,apparel,Apparel SKU 0014,2936,466.56,1369820.16,WH-GZ,2025-06-10
APP-0015,apparel,Apparel SKU 0015,573,601.02,344384.46,WH-GZ,2025-06-10
APP-0016,apparel,Apparel SKU 0016,268,544.53,145934.04,WH-SH,2025-06-10
APP-0017,apparel,Apparel SKU 0017,1669,1929.66,3220602.54,WH-CD,2025-06-10
APP-0018,apparel,Apparel SKU 0018,1721,36.12,62162.52,WH-CD,2025-06-10
APP-0019,apparel,Apparel SKU 0019,4093,1944.76,7959902.68,WH-GZ,2025-06-10
APP-0020,apparel,Apparel SKU 0020,516,1944.24,1003227.84,WH-GZ,2025-06-10
APP-0021,apparel,Apparel SKU 0021,1695,624.61,1058713.95,WH-BJ,2025-06-10
APP-0022,apparel,Apparel SKU 0022,2690,617.14,1660106.6,WH-CD,2025-06-10
APP-0023,apparel,Apparel SKU 0023,198,359.72,71224.56,WH-SH,2025-06-10
APP-0024,apparel,Apparel SKU 0024,872,353.36,308129.92,WH-GZ,2025-06-10
APP-0025,apparel,Apparel SKU 0025,3299,1154.95,3810180.05,WH-GZ,2025-06-10
APP-0026,apparel,Apparel SKU 0026,453,1867.26,845868.78,WH-BJ,2025-06-10
APP-0027,apparel,Apparel SKU 0027,1547,1923.07,2974989.29,WH-SH,2025-06-10
APP-0028,apparel,Apparel SKU 0028,653,355.57,232187.21,WH-SH,2025-06-10
APP-0029,apparel,Apparel SKU 0029,4861,377.78,1836388.58,WH-CD,2025-06-10
APP-0030,apparel,Apparel SKU 0030,2682,668.58,1793131.56,WH-CD,2025-06-10
APP-0031,apparel,Apparel SKU 0031,2905,132.95,386219.75,WH-SH,2025-06-10
APP-0032,apparel,Apparel SKU 0032,4468,428.28,1913555.04,WH-SH,2025-06-10
APP-0033,apparel,Apparel SKU 0033,3662,1128.61,4132969.82,WH-CD,2025-06-10
APP-0034,apparel,Apparel SKU 0034,2976,850.78,2531921.28,WH-CD,2025-06-10
APP-0035,apparel,Apparel SKU 0035,1534,685.83,1052063.22,WH-SH,2025-06-10
APP-0036,apparel,Apparel SKU 0036,4437,578.66,2567514.42,WH-CD,2025-06-10
APP-0037,apparel,Apparel SKU 0037,477,622.42,296894.34,WH-BJ,2025-06-10
APP-0038,apparel,Apparel SKU 0038,3688,1836.0,6771168.0,WH-GZ,2025-06-10
APP-0039,apparel,Apparel SKU 0039,2429,1862.43,4523842.47,WH-GZ,2025-06-10
APP-0040,apparel,Apparel SKU 0040,4671,1726.49,8064434.79,WH-CD,2025-06-10
APP-0041,apparel,Apparel SKU 0041,2931,337.54,989329.74,WH-SH,2025-06-10
