date,variant,users,checkout_conversion_rate,revenue_per_user,cart_abandonment_rate,page_time_on_page,add_to_cart_rate,session_duration,bounce_rate,repeat_visit_rate,impressions,clicks,ctr,avg_order_value,new_users,returning_users,mobile_pct,desktop_pct,tablet_pct
2023-08-01,control,96,0.0822,17.67,0.6533,62.0,0.1896,163.3,0.3195,0.4274,1199,123,0.1026,48.98,68,28,0.4551,0.4537,0.0912
2023-08-01,treatment,110,0.1157,16.73,0.6593,78.2,0.1913,150.1,0.3427,0.4426,809,122,0.1508,62.55,60,50,0.5403,0.4487,0.011
2023-08-02,control,98,0.0845,15.56,0.6245,70.0,0.2035,138.4,0.2916,0.3535,848,127,0.1498,49.23,53,45,0.5079,0.4566,0.0355
2023-08-02,treatment,101,0.1161,17.53,0.6665,51.2,0.2066,172.9,0.3202,0.3559,1022,73,0.0714,61.64,43,58,0.5188,0.4328,0.0484
2023-08-03,control,101,0.0841,15.11,0.6416,46.0,0.2202,170.5,0.2838,0.3628,862,142,0.1647,54.5,60,41,0.5321,0.4059,0.062
2023-08-03,treatment,98,0.1196,17.6,0.6218,80.1,0.2091,169.9,0.3164,0.3872,834,128,0.1535,51.56,50,48,0.4975,0.4585,0.044
2023-08-04,control,103,0.0849,14.94,0.6381,84.0,0.2,133.1,0.2869,0.3809,1057,73,0.0691,46.46,46,57,0.5284,0.4054,0.0662
2023-08-04,treatment,104,0.1104,12.69,0.6269,49.3,0.2319,172.2,0.2974,0.439,902,115,0.1275,54.34,56,48,0.543,0.4675,0
2023-08-05,control,109,0.0918,16.69,0.65,74.8,0.2278,123.8,0.2969,0.4217,1131,134,0.1185,53.86,44,65,0.5096,0.4132,0.0772
2023-08-05,treatment,114,0.1229,14.16,0.6755,48.4,0.2273,127.0,0.3002,0.3911,1169,109,0.0932,45.59,45,69,0.4936,0.3926,0.1138
2023-08-06,control,111,0.08,17.21,0.6734,84.6,0.236,150.9,0.3056,0.4459,1081,148,0.1369,55.53,55,56,0.4667,0.3958,0.1375
2023-08-06,treatment,112,0.1356,13.24,0.621,56.9,0.2226,171.6,0.342,0.4113,1147,119,0.1037,54.05,69,43,0.5102,0.4171,0.0727
2023-08-07,control,112,0.0863,16.38,0.6751,53.3,0.1972,130.2,0.2812,0.3768,1171,144,0.123,52.86,54,58,0.4624,0.3848,0.1528
2023-08-07,treatment,108,0.1192,18.25,0.6697,81.8,0.2016,147.4,0.3236,0.3744,1062,139,0.1309,62.34,58,50,0.4945,0.3863,0.1192
2023-08-08,control,109,0.0804,12.56,0.6307,84.5,0.2012,151.2,0.2929,0.4395,903,129,0.1429,60.85,57,52,0.5492,0.4393,0.0115
2023-08-08,treatment,96,0.1173,16.21,0.6309,49.2,0.2091,140.8,0.3312,0.3797,855,111,0.1298,58.5,56,40,0.531,0.4725,0
2023-08-09,control,107,0.0762,15.77,0.6309,51.1,0.2101,170.4,0.2871,0.4436,963,120,0.1246,60.46,59,48,0.5146,0.4309,0.0545
2023-08-09,treatment,102,0.1242,12.78,0.6591,48.4,0.2331,125.1,0.338,0.4079,1116,124,0.1111,56.74,40,62,0.499,0.4613,0.0397
2023-08-10,control,115,0.0813,15.3,0.6593,79.9,0.2363,173.2,0.3111,0.3606,942,110,0.1168,58.7,56,59,0.5376,0.3963,0.0661
2023-08-10,treatment,107,0.1194,17.27,0.6523,71.5,0.2198,141.2,0.2997,0.433,1136,56,0.0493,48.53,48,59,0.5439,0.4339,0.0222
2023-08-11,control,98,0.0864,13.28,0.6755,66.3,0.208,126.1,0.2887,0.3633,810,143,0.1765,58.03,60,38,0.5089,0.4464,0.0447
2023-08-11,treatment,109,0.1164,14.8,0.6525,73.3,0.223,148.7,0.3307,0.4281,1018,103,0.1012,64.68,53,56,0.5062,0.4092,0.0846
2023-08-12,control,107,0.083,17.13,0.6756,65.1,0.2004,135.4,0.2827,0.4249,898,59,0.0657,58.83,47,60,0.5029,0.3805,0.1166
2023-08-12,treatment,112,0.1179,16.39,0.6684,66.4,0.2006,176.6,0.3433,0.3857,1082,124,0.1146,46.2,42,70,0.4571,0.3931,0.1498
2023-08-13,control,104,0.0846,13.91,0.6381,64.3,0.1881,169.3,0.3045,0.4236,1055,56,0.0531,57.47,54,50,0.518,0.4717,0.0103
2023-08-13,treatment,99,0.1164,15.19,0.6559,78.2,0.1885,171.7,0.2882,0.3772,950,102,0.1074,47.3,46,53,0.4655,0.4118,0.1227
2023-08-14,control,103,0.0826,15.65,0.6537,77.9,0.2302,170.1,0.3184,0.4233,1156,91,0.0787,58.41,40,63,0.5073,0.4682,0.0245
2023-08-14,treatment,100,0.1213,17.49,0.6208,51.3,0.2082,158.7,0.3157,0.3916,1059,105,0.0992,47.14,65,35,0.4667,0.4095,0.1238
2023-08-15,control,97,0.0899,16.07,0.6625,76.8,0.2131,178.3,0.3137,0.384,1180,134,0.1136,50.99,48,49,0.521,0.3887,0.0903
2023-08-15,treatment,100,0.1252,17.07,0.6319,61.9,0.2024,173.7,0.3348,0.3618,1103,70,0.0635,58.91,40,60,0.4633,0.4383,0.0984
2023-08-16,control,109,0.0753,14.64,0.652,89.1,0.1843,157.0,0.2929,0.411,1164,146,0.1254,47.79,56,53,0.4843,0.4593,0.0564
2023-08-16,treatment,98,0.1214,17.3,0.6486,56.7,0.2038,151.7,0.3231,0.3612,1010,101,0.1,60.47,56,42,0.5316,0.4084,0.06
2023-08-17,control,111,0.0897,12.77,0.6321,55.6,0.2257,161.0,0.3481,0.3927,955,53,0.0555,55.07,66,45,0.5094,0.4045,0.0861
2023-08-17,treatment,106,0.1126,13.62,0.645,55.6,0.1935,169.9,0.3352,0.416,825,94,0.1139,59.46,55,51,0.4828,0.4734,0.0438
2023-08-18,control,95,0.0835,15.98,0.6517,74.4,0.1814,168.4,0.3193,0.4249,1106,143,0.1293,50.22,51,44,0.539,0.4175,0.0435
2023-08-18,treatment,96,0.1208,18.07,0.6314,59.4,0.1938,174.3,0.3369,0.4332,1014,104,0.1026,59.66,63,33,0.4977,0.4234,0.0789
2023-08-19,control,100,0.0966,15.74,0.632,76.2,0.2106,148.1,0.3,0.3561,1070,103,0.0963,46.93,61,39,0.5383,0.4059,0.0558
2023-08-19,treatment,109,0.123,18.08,0.6412,70.6,0.2204,145.6,0.3045,0.3704,806,73,0.0906,55.94,47,62,0.4613,0.4614,0.0773
2023-08-20,control,111,0.087,13.67,0.6522,73.7,0.2359,165.1,0.3388,0.3781,863,55,0.0637,61.3,48,63,0.4784,0.3828,0.1388
2023-08-20,treatment,103,0.1199,15.55,0.6269,45.1,0.2311,157.1,0.3059,0.4435,1033,141,0.1365,48.95,70,33,0.4869,0.4519,0.0612
